OMIM Search - 'autism',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
%209850,AUTISM,"AUTISM, SUSCEPTIBILITY TO, 1, INCLUDED; AUTS1, INCLUDED;;AUTISM SPECTRUM DISORDER, INCLUDED; ASD, INCLUDED",7q22,7:98400000-107800000,100188832
%606053,"AUTISM, SUSCEPTIBILITY TO, 5; AUTS5",,2q,2:93900000-242193529,94313
%609378,"AUTISM, SUSCEPTIBILITY TO, 6; AUTS6",,17q11,17:25100000-33500000,554314
#613670,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES,,3p13,,
#608636,CHROMOSOME 15q11-q13 DUPLICATION SYNDROME,"AUTISM, SUSCEPTIBILITY TO, 4, INCLUDED; AUTS4, INCLUDED;;CHROMOSOME 15q11.2 DUPLICATION SYNDROME, INCLUDED",15q11,15:19000000-25500000,
%611015,"AUTISM, SUSCEPTIBILITY TO, 9; AUTS9",,7q31,7:107800000-127500000,
*300005,METHYL-CpG-BINDING PROTEIN 2; MECP2,,Xq28,X:154021812-154097730,4204
#611913,"CHROMOSOME 16p11.2 DELETION SYNDROME, 593-KB","AUTISM, SUSCEPTIBILITY TO, 14A, INCLUDED; AUTS14A, INCLUDED",16p11.2,16:28500000-35300000,
#613410,"AUTISM, SUSCEPTIBILITY TO, 16; AUTS16",,3q24,,
#606232,PHELAN-MCDERMID SYNDROME; PHMDS,,22q13.33,,
%611016,"AUTISM, SUSCEPTIBILITY TO, 10; AUTS10",,7q36,7:148200000-159345973,
#614671,CHROMOSOME 16p11.2 DUPLICATION SYNDROME,"AUTISM, SUSCEPTIBILITY TO, 14B, INCLUDED; AUTS14B, INCLUDED",16p11.2,16:28500000-35300000,
#300847,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 5; AUTSX5",,Xq28,,
*606230,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS 3; SHANK3,,22q13.33,22:50674641-50733211,85358
+601728,PHOSPHATASE AND TENSIN HOMOLOG; PTEN,"PTEN HAMARTOMA TUMOR SYNDROME, INCLUDED; PHTS, INCLUDED;;PTEN HAMARTOMA TUMOR SYNDROME WITH GRANULAR CELL TUMOR, INCLUDED",10q23.31,10:87863437-87971929,5728
#300830,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 4; AUTSX4",,Xp22.11,,
#615091,"AUTISM, SUSCEPTIBILITY TO, 19; AUTS19",,4q23,,
#612100,"AUTISM, SUSCEPTIBILITY TO, 15; AUTS15",,7q35-q36,,
#300496,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 3; AUTSX3",,Xq28,,
#300624,FRAGILE X MENTAL RETARDATION SYNDROME,"PRIMARY OVARIAN INSUFFICIENCY, FRAGILE X-ASSOCIATED, INCLUDED;;FRAGILE X PREMATURE OVARIAN FAILURE, INCLUDED",Xq27.3,,
