Reading and parsing the obo file.
Parsing complete -  ./go.obo
Directory tfnd
Processing file  alzheimer.txt
Processing file  amyotrophic.txt
Processing file  huntington.txt
Processing file  parkinson.txt
Processing file  prion.txt
Directory tfes
Processing file  adrenal-hyperplasia.txt
Processing file  diabetes-mellitus.txt
Processing file  endocrine-bone.txt
Processing file  hypothyroidism.txt
Processing file  osteoporosis.txt

 GO: Cellular Component
amyotrophic          osteoporosis         85.33%
prion                osteoporosis         84.06%
alzheimer            osteoporosis         83.82%
amyotrophic          diabetes-mellitus    81.25%
parkinson            osteoporosis         78.21%
parkinson            diabetes-mellitus    77.50%
alzheimer            diabetes-mellitus    77.46%
parkinson            adrenal-hyperplasia  72.73%
amyotrophic          adrenal-hyperplasia  72.15%
amyotrophic          endocrine-bone       71.23%
alzheimer            endocrine-bone       71.21%
huntington           osteoporosis         69.62%
prion                endocrine-bone       69.57%
prion                diabetes-mellitus    69.44%
alzheimer            adrenal-hyperplasia  69.12%
huntington           endocrine-bone       62.82%
huntington           adrenal-hyperplasia  62.03%
prion                adrenal-hyperplasia  61.11%
parkinson            endocrine-bone       58.97%
huntington           diabetes-mellitus    58.54%
prion                hypothyroidism       49.46%
amyotrophic          hypothyroidism       48.48%
parkinson            hypothyroidism       47.00%
alzheimer            hypothyroidism       43.75%
huntington           hypothyroidism       38.24%

 GO: Molecular Function
huntington           endocrine-bone       76.25%
prion                endocrine-bone       73.42%
parkinson            endocrine-bone       73.08%
prion                adrenal-hyperplasia  70.73%
parkinson            adrenal-hyperplasia  69.88%
huntington           adrenal-hyperplasia  67.47%
prion                osteoporosis         67.05%
alzheimer            osteoporosis         65.82%
alzheimer            diabetes-mellitus    65.71%
alzheimer            adrenal-hyperplasia  63.29%
huntington           hypothyroidism       60.61%
parkinson            hypothyroidism       60.00%
amyotrophic          diabetes-mellitus    56.96%
parkinson            osteoporosis         56.32%
prion                hypothyroidism       56.12%
parkinson            diabetes-mellitus    53.75%
prion                diabetes-mellitus    53.66%
huntington           osteoporosis         51.61%
alzheimer            endocrine-bone       51.25%
amyotrophic          adrenal-hyperplasia  49.40%
huntington           diabetes-mellitus    47.13%
amyotrophic          osteoporosis         46.34%
amyotrophic          endocrine-bone       44.30%
alzheimer            hypothyroidism       44.00%
amyotrophic          hypothyroidism       35.79%

 GO: Biological Process
alzheimer            adrenal-hyperplasia  59.74%
parkinson            adrenal-hyperplasia  58.23%
alzheimer            osteoporosis         58.11%
alzheimer            diabetes-mellitus    56.76%
parkinson            diabetes-mellitus    53.16%
alzheimer            endocrine-bone       51.95%
parkinson            osteoporosis         51.25%
huntington           adrenal-hyperplasia  51.16%
prion                osteoporosis         47.62%
parkinson            endocrine-bone       46.25%
amyotrophic          osteoporosis         45.83%
prion                diabetes-mellitus    45.68%
amyotrophic          adrenal-hyperplasia  44.44%
huntington           osteoporosis         43.53%
prion                adrenal-hyperplasia  43.53%
amyotrophic          endocrine-bone       40.54%
amyotrophic          diabetes-mellitus    39.19%
prion                hypothyroidism       39.13%
alzheimer            hypothyroidism       37.50%
huntington           endocrine-bone       37.08%
huntington           diabetes-mellitus    36.36%
parkinson            hypothyroidism       35.16%
prion                endocrine-bone       33.72%
huntington           hypothyroidism       24.21%
amyotrophic          hypothyroidism       18.82%

 Pathway
alzheimer            osteoporosis         16.28%
prion                osteoporosis         16.28%
parkinson            osteoporosis         13.64%
huntington           adrenal-hyperplasia  11.11%
alzheimer            diabetes-mellitus    11.11%
amyotrophic          osteoporosis         10.84%
parkinson            diabetes-mellitus    9.89%
prion                endocrine-bone       9.89%
huntington           osteoporosis         8.70%
alzheimer            endocrine-bone       8.70%
prion                diabetes-mellitus    8.70%
huntington           diabetes-mellitus    7.53%
alzheimer            adrenal-hyperplasia  7.53%
prion                hypothyroidism       7.29%
parkinson            endocrine-bone       6.38%
parkinson            adrenal-hyperplasia  6.38%
huntington           endocrine-bone       6.38%
amyotrophic          diabetes-mellitus    5.75%
amyotrophic          adrenal-hyperplasia  5.75%
prion                adrenal-hyperplasia  5.26%
amyotrophic          endocrine-bone       4.55%
parkinson            hypothyroidism       4.04%
alzheimer            hypothyroidism       4.04%
amyotrophic          hypothyroidism       2.15%
huntington           hypothyroidism       0.00%

 Mouse Phenotype
prion                osteoporosis         13.64%
alzheimer            diabetes-mellitus    12.36%
alzheimer            endocrine-bone       11.11%
huntington           endocrine-bone       9.89%
alzheimer            adrenal-hyperplasia  6.38%
prion                endocrine-bone       6.38%
prion                diabetes-mellitus    6.38%
amyotrophic          endocrine-bone       4.35%
amyotrophic          diabetes-mellitus    4.35%
amyotrophic          adrenal-hyperplasia  3.23%
huntington           diabetes-mellitus    3.09%
alzheimer            hypothyroidism       3.09%
parkinson            endocrine-bone       2.04%
huntington           osteoporosis         2.04%
huntington           adrenal-hyperplasia  2.04%
alzheimer            osteoporosis         2.04%
prion                adrenal-hyperplasia  2.04%
amyotrophic          osteoporosis         1.05%
parkinson            diabetes-mellitus    1.01%
parkinson            osteoporosis         1.01%
parkinson            adrenal-hyperplasia  1.01%
parkinson            hypothyroidism       0.00%
huntington           hypothyroidism       0.00%
amyotrophic          hypothyroidism       0.00%
prion                hypothyroidism       0.00%

 Human Phenotype
parkinson            diabetes-mellitus    11.11%
alzheimer            diabetes-mellitus    4.17%
huntington           osteoporosis         2.83%
huntington           endocrine-bone       2.80%
huntington           hypothyroidism       2.78%
alzheimer            osteoporosis         2.52%
parkinson            hypothyroidism       2.48%
huntington           adrenal-hyperplasia  2.22%
prion                osteoporosis         1.72%
prion                hypothyroidism       1.69%
alzheimer            endocrine-bone       1.65%
alzheimer            hypothyroidism       1.64%
huntington           diabetes-mellitus    1.16%
prion                diabetes-mellitus    1.05%
amyotrophic          diabetes-mellitus    1.02%
prion                adrenal-hyperplasia  1.00%
amyotrophic          adrenal-hyperplasia  0.97%
parkinson            adrenal-hyperplasia  0.96%
alzheimer            adrenal-hyperplasia  0.96%
prion                endocrine-bone       0.85%
amyotrophic          osteoporosis         0.83%
amyotrophic          endocrine-bone       0.83%
parkinson            endocrine-bone       0.00%
parkinson            osteoporosis         0.00%
amyotrophic          hypothyroidism       0.00%


Jaccard Index across all factors, sorted by Average

prion                osteoporosis                  38.39%
alzheimer            osteoporosis                  38.10%
alzheimer            diabetes-mellitus             37.93%
parkinson            adrenal-hyperplasia           34.86%
alzheimer            adrenal-hyperplasia           34.50%
parkinson            diabetes-mellitus             34.40%
parkinson            osteoporosis                  33.40%
huntington           adrenal-hyperplasia           32.67%
alzheimer            endocrine-bone                32.64%
huntington           endocrine-bone                32.54%
prion                endocrine-bone                32.30%
amyotrophic          osteoporosis                  31.71%
amyotrophic          diabetes-mellitus             31.42%
parkinson            endocrine-bone                31.12%
prion                diabetes-mellitus             30.82%
prion                adrenal-hyperplasia           30.61%
huntington           osteoporosis                  29.72%
amyotrophic          adrenal-hyperplasia           29.32%
amyotrophic          endocrine-bone                27.63%
huntington           diabetes-mellitus             25.63%
prion                hypothyroidism                25.62%
parkinson            hypothyroidism                24.78%
alzheimer            hypothyroidism                22.34%
huntington           hypothyroidism                20.97%
amyotrophic          hypothyroidism                17.54%
