Reading and parsing the obo file.
Parsing complete -  ./go.obo
Directory tfnd
Processing file  alzheimer.txt
Processing file  amyotrophic.txt
Processing file  huntington.txt
Processing file  parkinson.txt
Processing file  prion.txt
Directory tfrt
Processing file  alpha-1-antitrypsin.txt
Processing file  asthma.txt
Processing file  bronchiectasis.txt
Processing file  cystic-fibrosis.txt
Processing file  obstructive-pulmonary.txt

 GO: Molecular Function
alzheimer            asthma               66.67%
alzheimer            obstructive-pulmonary 66.27%
prion                asthma               60.24%
amyotrophic          cystic-fibrosis      59.49%
prion                obstructive-pulmonary 58.33%
parkinson            obstructive-pulmonary 54.76%
parkinson            asthma               53.01%
amyotrophic          asthma               52.50%
amyotrophic          obstructive-pulmonary 50.62%
huntington           obstructive-pulmonary 48.89%
huntington           asthma               44.32%
huntington           cystic-fibrosis      40.66%
amyotrophic          alpha-1-antitrypsin  39.00%
parkinson            cystic-fibrosis      38.64%
alzheimer            cystic-fibrosis      34.88%
alzheimer            alpha-1-antitrypsin  33.96%
amyotrophic          bronchiectasis       32.73%
prion                cystic-fibrosis      31.82%
alzheimer            bronchiectasis       30.00%
parkinson            alpha-1-antitrypsin  28.70%
huntington           alpha-1-antitrypsin  25.93%
prion                alpha-1-antitrypsin  25.00%
prion                bronchiectasis       24.17%
parkinson            bronchiectasis       23.14%
huntington           bronchiectasis       19.67%

 Mouse Phenotype
prion                obstructive-pulmonary 47.06%
prion                asthma               42.86%
prion                cystic-fibrosis      33.33%
alzheimer            obstructive-pulmonary 13.64%
alzheimer            cystic-fibrosis      11.11%
alzheimer            asthma               9.89%
prion                alpha-1-antitrypsin  8.13%
alzheimer            alpha-1-antitrypsin  4.72%
amyotrophic          obstructive-pulmonary 4.35%
amyotrophic          asthma               2.13%
amyotrophic          cystic-fibrosis      2.13%
prion                bronchiectasis       2.04%
parkinson            obstructive-pulmonary 1.01%
parkinson            cystic-fibrosis      1.01%
huntington           obstructive-pulmonary 0.00%
huntington           bronchiectasis       0.00%
huntington           asthma               0.00%
huntington           alpha-1-antitrypsin  0.00%
huntington           cystic-fibrosis      0.00%
amyotrophic          bronchiectasis       0.00%
amyotrophic          alpha-1-antitrypsin  0.00%
alzheimer            bronchiectasis       0.00%
parkinson            bronchiectasis       0.00%
parkinson            asthma               0.00%
parkinson            alpha-1-antitrypsin  0.00%

 Pathway
prion                obstructive-pulmonary 23.46%
prion                asthma               17.65%
alzheimer            obstructive-pulmonary 17.65%
prion                cystic-fibrosis      16.28%
parkinson            obstructive-pulmonary 16.28%
alzheimer            cystic-fibrosis      14.94%
parkinson            cystic-fibrosis      14.94%
alzheimer            asthma               12.36%
parkinson            asthma               11.11%
amyotrophic          obstructive-pulmonary 9.52%
amyotrophic          asthma               8.24%
huntington           obstructive-pulmonary 7.53%
prion                alpha-1-antitrypsin  7.08%
amyotrophic          cystic-fibrosis      6.98%
alzheimer            bronchiectasis       5.79%
huntington           asthma               4.17%
prion                bronchiectasis       4.07%
amyotrophic          bronchiectasis       3.45%
huntington           cystic-fibrosis      3.09%
alzheimer            alpha-1-antitrypsin  2.54%
parkinson            alpha-1-antitrypsin  2.54%
huntington           bronchiectasis       2.40%
parkinson            bronchiectasis       2.40%
amyotrophic          alpha-1-antitrypsin  0.89%
huntington           alpha-1-antitrypsin  0.83%

 GO: Biological Process
prion                cystic-fibrosis      71.62%
prion                obstructive-pulmonary 68.42%
prion                asthma               62.03%
parkinson            cystic-fibrosis      55.42%
alzheimer            cystic-fibrosis      44.58%
alzheimer            obstructive-pulmonary 40.96%
parkinson            obstructive-pulmonary 36.05%
huntington           cystic-fibrosis      35.96%
prion                alpha-1-antitrypsin  35.16%
amyotrophic          cystic-fibrosis      29.11%
alzheimer            asthma               29.07%
huntington           obstructive-pulmonary 26.88%
parkinson            asthma               26.44%
amyotrophic          obstructive-pulmonary 25.93%
huntington           asthma               24.18%
amyotrophic          asthma               21.52%
huntington           alpha-1-antitrypsin  14.43%
amyotrophic          bronchiectasis       12.64%
alzheimer            alpha-1-antitrypsin  11.58%
parkinson            alpha-1-antitrypsin  9.28%
prion                bronchiectasis       4.04%
amyotrophic          alpha-1-antitrypsin  1.15%
huntington           bronchiectasis       0.00%
alzheimer            bronchiectasis       0.00%
parkinson            bronchiectasis       0.00%

 Human Phenotype
alzheimer            cystic-fibrosis      3.23%
huntington           obstructive-pulmonary 2.53%
alzheimer            obstructive-pulmonary 2.17%
amyotrophic          asthma               1.68%
alzheimer            asthma               1.67%
prion                cystic-fibrosis      1.64%
prion                obstructive-pulmonary 1.12%
amyotrophic          obstructive-pulmonary 1.09%
huntington           asthma               0.93%
huntington           cystic-fibrosis      0.88%
prion                asthma               0.85%
parkinson            asthma               0.83%
amyotrophic          cystic-fibrosis      0.79%
huntington           bronchiectasis       0.00%
huntington           alpha-1-antitrypsin  0.00%
amyotrophic          bronchiectasis       0.00%
amyotrophic          alpha-1-antitrypsin  0.00%
prion                bronchiectasis       0.00%
prion                alpha-1-antitrypsin  0.00%
alzheimer            bronchiectasis       0.00%
alzheimer            alpha-1-antitrypsin  0.00%
parkinson            obstructive-pulmonary 0.00%
parkinson            bronchiectasis       0.00%
parkinson            alpha-1-antitrypsin  0.00%
parkinson            cystic-fibrosis      0.00%

 GO: Cellular Component
amyotrophic          asthma               82.43%
amyotrophic          cystic-fibrosis      81.25%
prion                obstructive-pulmonary 80.00%
prion                asthma               80.00%
alzheimer            cystic-fibrosis      78.67%
alzheimer            obstructive-pulmonary 77.46%
alzheimer            asthma               76.81%
amyotrophic          obstructive-pulmonary 76.25%
prion                cystic-fibrosis      75.68%
parkinson            cystic-fibrosis      74.07%
parkinson            asthma               71.79%
huntington           cystic-fibrosis      68.67%
parkinson            obstructive-pulmonary 68.29%
huntington           obstructive-pulmonary 62.65%
huntington           asthma               62.03%
amyotrophic          bronchiectasis       40.52%
prion                bronchiectasis       39.82%
parkinson            bronchiectasis       39.32%
alzheimer            bronchiectasis       39.13%
prion                alpha-1-antitrypsin  34.67%
huntington           bronchiectasis       31.93%
alzheimer            alpha-1-antitrypsin  27.85%
amyotrophic          alpha-1-antitrypsin  26.83%
parkinson            alpha-1-antitrypsin  26.19%
huntington           alpha-1-antitrypsin  17.07%


Jaccard Index across all factors, sorted by Average

prion                obstructive-pulmonary          46.40%
prion                asthma                        43.94%
prion                cystic-fibrosis               38.39%
alzheimer            obstructive-pulmonary          36.36%
alzheimer            asthma                        32.74%
alzheimer            cystic-fibrosis               31.23%
parkinson            cystic-fibrosis               30.68%
amyotrophic          cystic-fibrosis               29.96%
parkinson            obstructive-pulmonary          29.40%
amyotrophic          asthma                        28.08%
amyotrophic          obstructive-pulmonary          27.96%
parkinson            asthma                        27.20%
huntington           cystic-fibrosis               24.88%
huntington           obstructive-pulmonary          24.75%
huntington           asthma                        22.60%
prion                alpha-1-antitrypsin           18.34%
amyotrophic          bronchiectasis                14.89%
alzheimer            alpha-1-antitrypsin           13.44%
alzheimer            bronchiectasis                12.49%
prion                bronchiectasis                12.36%
amyotrophic          alpha-1-antitrypsin           11.31%
parkinson            alpha-1-antitrypsin           11.12%
parkinson            bronchiectasis                10.81%
huntington           alpha-1-antitrypsin            9.71%
huntington           bronchiectasis                 9.00%
