Reading and parsing the obo file.
Parsing complete -  ./go.obo
Directory tfnd
Processing file  alzheimer.txt
Processing file  amyotrophic.txt
Processing file  huntington.txt
Processing file  parkinson.txt
Processing file  prion.txt
Directory tfsc
Processing file  albinism.txt
Processing file  dermatitis.txt
Processing file  ectodermal-dysplacia.txt
Processing file  osteogenesis-imperfecta.txt
Processing file  psoriasis.txt

 GO: Molecular Function
prion                dermatitis           70.93%
alzheimer            dermatitis           70.73%
alzheimer            psoriasis            67.86%
parkinson            dermatitis           63.53%
prion                psoriasis            62.07%
parkinson            psoriasis            58.62%
huntington           dermatitis           56.04%
amyotrophic          psoriasis            54.43%
amyotrophic          dermatitis           53.75%
huntington           psoriasis            50.00%
parkinson            ectodermal-dysplacia 42.45%
huntington           ectodermal-dysplacia 42.20%
prion                ectodermal-dysplacia 38.89%
huntington           albinism             34.78%
alzheimer            albinism             34.07%
parkinson            albinism             32.26%
amyotrophic          albinism             31.33%
amyotrophic          ectodermal-dysplacia 26.67%
prion                albinism             26.09%
alzheimer            ectodermal-dysplacia 24.78%
alzheimer            osteogenesis-imperfecta 22.58%
huntington           osteogenesis-imperfecta 12.90%
parkinson            osteogenesis-imperfecta 11.29%
amyotrophic          osteogenesis-imperfecta 11.11%
prion                osteogenesis-imperfecta 9.84%

 GO: Biological Process
prion                psoriasis            72.22%
prion                dermatitis           58.54%
parkinson            psoriasis            41.18%
alzheimer            psoriasis            40.48%
prion                ectodermal-dysplacia 36.73%
huntington           psoriasis            35.96%
huntington           ectodermal-dysplacia 34.69%
amyotrophic          psoriasis            32.89%
parkinson            ectodermal-dysplacia 30.61%
alzheimer            dermatitis           13.68%
alzheimer            osteogenesis-imperfecta 13.64%
huntington           osteogenesis-imperfecta 13.64%
parkinson            dermatitis           13.40%
alzheimer            ectodermal-dysplacia 13.27%
amyotrophic          osteogenesis-imperfecta 12.00%
parkinson            osteogenesis-imperfecta 11.61%
amyotrophic          ectodermal-dysplacia 9.30%
huntington           dermatitis           9.18%
prion                osteogenesis-imperfecta 9.09%
amyotrophic          dermatitis           8.14%
prion                albinism             8.08%
alzheimer            albinism             6.06%
huntington           albinism             3.00%
parkinson            albinism             2.00%
amyotrophic          albinism             0.00%

 Mouse Phenotype
prion                psoriasis            44.93%
prion                dermatitis           38.89%
alzheimer            psoriasis            8.70%
alzheimer            dermatitis           6.38%
amyotrophic          ectodermal-dysplacia 1.05%
amyotrophic          albinism             1.05%
amyotrophic          dermatitis           1.05%
parkinson            psoriasis            1.01%
prion                ectodermal-dysplacia 1.01%
alzheimer            ectodermal-dysplacia 1.01%
huntington           ectodermal-dysplacia 1.01%
huntington           albinism             1.01%
parkinson            ectodermal-dysplacia 0.00%
parkinson            albinism             0.00%
parkinson            dermatitis           0.00%
parkinson            osteogenesis-imperfecta 0.00%
prion                albinism             0.00%
prion                osteogenesis-imperfecta 0.00%
alzheimer            albinism             0.00%
alzheimer            osteogenesis-imperfecta 0.00%
huntington           psoriasis            0.00%
huntington           dermatitis           0.00%
huntington           osteogenesis-imperfecta 0.00%
amyotrophic          psoriasis            0.00%
amyotrophic          osteogenesis-imperfecta 0.00%

 GO: Cellular Component
amyotrophic          psoriasis            80.77%
alzheimer            psoriasis            77.63%
prion                psoriasis            75.68%
amyotrophic          dermatitis           69.66%
alzheimer            dermatitis           66.28%
prion                dermatitis           63.53%
parkinson            psoriasis            62.79%
parkinson            dermatitis           58.51%
prion                osteogenesis-imperfecta 58.10%
huntington           psoriasis            57.65%
huntington           dermatitis           46.88%
amyotrophic          ectodermal-dysplacia 41.13%
alzheimer            ectodermal-dysplacia 36.29%
prion                ectodermal-dysplacia 35.71%
huntington           osteogenesis-imperfecta 33.64%
alzheimer            osteogenesis-imperfecta 32.41%
parkinson            osteogenesis-imperfecta 32.14%
amyotrophic          osteogenesis-imperfecta 31.25%
huntington           ectodermal-dysplacia 26.56%
parkinson            ectodermal-dysplacia 24.81%
prion                albinism             16.36%
parkinson            albinism             12.73%
alzheimer            albinism             12.73%
huntington           albinism             12.73%
amyotrophic          albinism             12.73%

 Pathway
prion                psoriasis            20.48%
prion                dermatitis           16.28%
parkinson            psoriasis            12.36%
parkinson            dermatitis           11.11%
alzheimer            psoriasis            11.11%
alzheimer            dermatitis           9.89%
prion                ectodermal-dysplacia 8.70%
amyotrophic          psoriasis            8.24%
parkinson            ectodermal-dysplacia 5.26%
huntington           psoriasis            5.26%
amyotrophic          ectodermal-dysplacia 4.55%
amyotrophic          dermatitis           4.55%
alzheimer            ectodermal-dysplacia 3.09%
huntington           ectodermal-dysplacia 2.04%
parkinson            osteogenesis-imperfecta 1.80%
alzheimer            osteogenesis-imperfecta 1.80%
huntington           dermatitis           1.01%
amyotrophic          osteogenesis-imperfecta 0.96%
prion                osteogenesis-imperfecta 0.89%
huntington           osteogenesis-imperfecta 0.89%
parkinson            albinism             0.00%
prion                albinism             0.00%
alzheimer            albinism             0.00%
huntington           albinism             0.00%
amyotrophic          albinism             0.00%

 Human Phenotype
alzheimer            dermatitis           3.42%
prion                dermatitis           2.63%
alzheimer            psoriasis            1.61%
prion                osteogenesis-imperfecta 1.05%
alzheimer            albinism             0.98%
huntington           dermatitis           0.93%
amyotrophic          dermatitis           0.84%
parkinson            dermatitis           0.83%
parkinson            psoriasis            0.80%
parkinson            ectodermal-dysplacia 0.00%
parkinson            albinism             0.00%
parkinson            osteogenesis-imperfecta 0.00%
prion                ectodermal-dysplacia 0.00%
prion                psoriasis            0.00%
prion                albinism             0.00%
alzheimer            ectodermal-dysplacia 0.00%
alzheimer            osteogenesis-imperfecta 0.00%
huntington           ectodermal-dysplacia 0.00%
huntington           psoriasis            0.00%
huntington           albinism             0.00%
huntington           osteogenesis-imperfecta 0.00%
amyotrophic          ectodermal-dysplacia 0.00%
amyotrophic          psoriasis            0.00%
amyotrophic          albinism             0.00%
amyotrophic          osteogenesis-imperfecta 0.00%


Jaccard Index across all factors, sorted by Average

prion                psoriasis                     45.90%
prion                dermatitis                    41.80%
alzheimer            psoriasis                     34.56%
parkinson            psoriasis                     29.46%
amyotrophic          psoriasis                     29.39%
alzheimer            dermatitis                    28.40%
huntington           psoriasis                     24.81%
parkinson            dermatitis                    24.56%
amyotrophic          dermatitis                    23.00%
prion                ectodermal-dysplacia          20.17%
huntington           dermatitis                    19.01%
huntington           ectodermal-dysplacia          17.75%
parkinson            ectodermal-dysplacia          17.19%
amyotrophic          ectodermal-dysplacia          13.78%
prion                osteogenesis-imperfecta          13.16%
alzheimer            ectodermal-dysplacia          13.07%
alzheimer            osteogenesis-imperfecta          11.74%
huntington           osteogenesis-imperfecta          10.18%
parkinson            osteogenesis-imperfecta           9.47%
amyotrophic          osteogenesis-imperfecta           9.22%
alzheimer            albinism                       8.97%
huntington           albinism                       8.59%
prion                albinism                       8.42%
parkinson            albinism                       7.83%
amyotrophic          albinism                       7.52%
