1: GO: Molecular Function [Display Chart] 762 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0019899	enzyme binding		8.352E-18	6.364E-15	4.591E-14	6.364E-15	50	1851
2	GO:0005102	receptor binding		1.679E-17	6.398E-15	4.615E-14	1.280E-14	46	1581
3	GO:0005496	steroid binding		6.041E-16	1.535E-13	1.107E-12	4.604E-13	15	103
4	GO:0042562	hormone binding		4.473E-13	8.522E-11	6.147E-10	3.409E-10	12	81
5	GO:0003707	steroid hormone receptor activity		8.792E-12	1.340E-9	9.665E-9	6.699E-9	10	58
6	GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding		6.670E-11	7.261E-9	5.238E-8	5.083E-8	9	50
7	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding		6.670E-11	7.261E-9	5.238E-8	5.083E-8	9	50
8	GO:0044877	macromolecular complex binding		1.648E-10	1.570E-8	1.133E-7	1.256E-7	36	1578
9	GO:0019900	kinase binding		2.204E-9	1.866E-7	1.346E-6	1.679E-6	22	677
10	GO:0004716	receptor signaling protein tyrosine kinase activity		4.044E-9	3.082E-7	2.223E-6	3.082E-6	5	10
11	GO:0004871	signal transducer activity		5.645E-9	3.911E-7	2.821E-6	4.302E-6	35	1710
12	GO:0019902	phosphatase binding		7.920E-9	5.029E-7	3.628E-6	6.035E-6	12	185
13	GO:0005057	receptor signaling protein activity		8.889E-9	5.210E-7	3.759E-6	6.773E-6	11	149
14	GO:0019901	protein kinase binding		1.050E-8	5.713E-7	4.122E-6	7.999E-6	20	608
15	GO:0008289	lipid binding		1.714E-8	8.166E-7	5.891E-6	1.306E-5	21	691
16	GO:0005179	hormone activity		1.715E-8	8.166E-7	5.891E-6	1.307E-5	10	123
17	GO:0032403	protein complex binding		1.997E-8	8.952E-7	6.458E-6	1.522E-5	26	1053
18	GO:0030234	enzyme regulator activity		3.019E-8	1.278E-6	9.221E-6	2.301E-5	25	999
19	GO:0060089	molecular transducer activity		3.396E-8	1.362E-6	9.825E-6	2.588E-5	36	1925
20	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding		3.959E-8	1.508E-6	1.088E-5	3.016E-5	13	259
21	GO:0019903	protein phosphatase binding		5.924E-8	2.150E-6	1.551E-5	4.514E-5	10	140
22	GO:0046914	transition metal ion binding		7.582E-8	2.626E-6	1.894E-5	5.777E-5	30	1453
23	GO:0004857	enzyme inhibitor activity		1.270E-7	4.207E-6	3.035E-5	9.676E-5	15	393
24	GO:0042802	identical protein binding		1.670E-7	5.303E-6	3.826E-5	1.273E-4	28	1336
25	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding		2.469E-7	7.525E-6	5.428E-5	1.881E-4	14	357
26	GO:0020037	heme binding		3.886E-7	1.139E-5	8.216E-5	2.961E-4	9	131
27	GO:0098772	molecular function regulator		4.361E-7	1.231E-5	8.879E-5	3.323E-4	27	1315
28	GO:0004714	transmembrane receptor protein tyrosine kinase activity		4.652E-7	1.238E-5	8.928E-5	3.544E-4	7	67
29	GO:0019838	growth factor binding		4.710E-7	1.238E-5	8.928E-5	3.589E-4	9	134
30	GO:0015485	cholesterol binding		5.535E-7	1.406E-5	1.014E-4	4.218E-4	6	43
31	GO:0051427	hormone receptor binding		6.529E-7	1.596E-5	1.151E-4	4.975E-4	10	181
32	GO:0046906	tetrapyrrole binding		6.823E-7	1.596E-5	1.151E-4	5.199E-4	9	140
33	GO:0008134	transcription factor binding		6.911E-7	1.596E-5	1.151E-4	5.266E-4	17	577
34	GO:0004713	protein tyrosine kinase activity		8.649E-7	1.938E-5	1.398E-4	6.591E-4	9	144
35	GO:0003690	double-stranded DNA binding		1.013E-6	2.154E-5	1.554E-4	7.722E-4	20	807
36	GO:0019887	protein kinase regulator activity		1.018E-6	2.154E-5	1.554E-4	7.754E-4	10	190
37	GO:0032934	sterol binding		1.082E-6	2.229E-5	1.608E-4	8.248E-4	6	48
