1: GO: Molecular Function [Display Chart] 1011 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		1.329E-45	1.344E-42	1.007E-41	1.344E-42	107	1581
2	GO:0019899	enzyme binding		6.081E-33	3.074E-30	2.304E-29	6.148E-30	99	1851
3	GO:0005179	hormone activity		1.841E-31	6.205E-29	4.652E-28	1.862E-28	32	123
4	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding		1.281E-28	3.238E-26	2.427E-25	1.295E-25	57	655
5	GO:0008134	transcription factor binding		8.483E-27	1.715E-24	1.286E-23	8.576E-24	52	577
6	GO:0042562	hormone binding		2.400E-25	4.043E-23	3.031E-22	2.426E-22	24	81
7	GO:0044212	transcription regulatory region DNA binding		9.619E-25	1.389E-22	1.041E-21	9.725E-22	59	840
8	GO:0000975	regulatory region DNA binding		1.155E-24	1.460E-22	1.095E-21	1.168E-21	59	843
9	GO:0001067	regulatory region nucleic acid binding		1.387E-24	1.558E-22	1.168E-21	1.402E-21	59	846
10	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding		5.428E-24	5.488E-22	4.114E-21	5.488E-21	35	259
11	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding		3.428E-23	3.151E-21	2.362E-20	3.466E-20	39	357
12	GO:0043565	sequence-specific DNA binding		4.239E-23	3.571E-21	2.677E-20	4.285E-20	64	1069
13	GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding		1.067E-22	7.703E-21	5.774E-20	1.078E-19	19	50
14	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding		1.067E-22	7.703E-21	5.774E-20	1.078E-19	19	50
15	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding		5.984E-22	4.033E-20	3.024E-19	6.050E-19	38	363
16	GO:0044877	macromolecular complex binding		8.837E-22	5.584E-20	4.186E-19	8.934E-19	76	1578
17	GO:0003707	steroid hormone receptor activity		3.000E-21	1.784E-19	1.337E-18	3.033E-18	19	58
18	GO:0004871	signal transducer activity		1.049E-19	5.894E-18	4.418E-17	1.061E-16	76	1710
19	GO:0003700	transcription factor activity, sequence-specific DNA binding		3.159E-19	1.597E-17	1.197E-16	3.194E-16	63	1230
20	GO:0001071	nucleic acid binding transcription factor activity		3.159E-19	1.597E-17	1.197E-16	3.194E-16	63	1230
21	GO:0003682	chromatin binding		8.904E-19	4.286E-17	3.213E-16	9.002E-16	40	501
22	GO:0060089	molecular transducer activity		1.844E-18	8.472E-17	6.351E-16	1.864E-15	79	1925
23	GO:0003690	double-stranded DNA binding		6.879E-18	3.024E-16	2.267E-15	6.954E-15	49	807
24	GO:0001012	RNA polymerase II regulatory region DNA binding		6.302E-17	2.655E-15	1.990E-14	6.372E-14	42	626
25	GO:1990837	sequence-specific double-stranded DNA binding		6.603E-17	2.670E-15	2.002E-14	6.676E-14	45	721
26	GO:0046983	protein dimerization activity		8.263E-17	3.213E-15	2.409E-14	8.354E-14	61	1298
27	GO:0051427	hormone receptor binding		1.460E-16	5.466E-15	4.098E-14	1.476E-13	24	181
28	GO:0038023	signaling receptor activity		3.422E-16	1.236E-14	9.262E-14	3.460E-13	63	1418
29	GO:0000976	transcription regulatory region sequence-specific DNA binding		3.736E-16	1.302E-14	9.763E-14	3.777E-13	43	690
30	GO:0005496	steroid binding		4.373E-16	1.474E-14	1.105E-13	4.421E-13	19	103
31	GO:0004872	receptor activity		6.228E-15	2.031E-13	1.523E-12	6.297E-12	66	1635
32	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding		7.243E-15	2.288E-13	1.716E-12	7.323E-12	39	619
33	GO:0019902	phosphatase binding		2.824E-14	8.651E-13	6.485E-12	2.855E-11	22	185
34	GO:0008083	growth factor activity		3.195E-14	9.500E-13	7.121E-12	3.230E-11	21	166
35	GO:0017046	peptide hormone binding		4.070E-14	1.176E-12	8.812E-12	4.114E-11	13	45
36	GO:0046982	protein heterodimerization activity		4.779E-14	1.342E-12	1.006E-11	4.832E-11	36	560
37	GO:0019838	growth factor binding		6.703E-14	1.832E-12	1.373E-11	6.777E-11	19	134
38	GO:0001047	core promoter binding		1.890E-13	5.028E-12	3.769E-11	1.910E-10	20	161
39	GO:0042802	identical protein binding		2.493E-13	6.462E-12	4.844E-11	2.520E-10	56	1336
40	GO:0044389	ubiquitin-like protein ligase binding		1.512E-12	3.822E-11	2.865E-10	1.529E-9	24	273
41	GO:0019903	protein phosphatase binding		1.733E-12	4.272E-11	3.203E-10	1.752E-9	18	140
42	GO:0019900	kinase binding		2.815E-12	6.776E-11	5.080E-10	2.846E-9	37	677
43	GO:0019199	transmembrane receptor protein kinase activity		3.245E-12	7.629E-11	5.719E-10	3.280E-9	15	91
44	GO:0005126	cytokine receptor binding		4.426E-12	1.017E-10	7.624E-10	4.475E-9	24	287
45	GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding		7.832E-12	1.756E-10	1.317E-9	7.918E-9	27	378
46	GO:0031625	ubiquitin protein ligase binding		7.992E-12	1.756E-10	1.317E-9	8.080E-9	23	269
47	GO:0032403	protein complex binding		1.237E-11	2.661E-10	1.995E-9	1.251E-8	46	1053
48	GO:0000987	core promoter proximal region sequence-specific DNA binding		2.422E-11	5.102E-10	3.825E-9	2.449E-8	27	397
49	GO:0001159	core promoter proximal region DNA binding		2.717E-11	5.606E-10	4.203E-9	2.747E-8	27	399
50	GO:0001046	core promoter sequence-specific DNA binding		6.226E-11	1.259E-9	9.437E-9	6.294E-8	15	111
2: GO: Biological Process [Display Chart] 6931 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0042127	regulation of cell proliferation		1.742E-104	1.207E-100	1.137E-99	1.207E-100	164	1646
2	GO:0009719	response to endogenous stimulus		8.009E-91	2.776E-87	2.615E-86	5.551E-87	156	1744
3	GO:1901700	response to oxygen-containing compound		2.792E-87	6.450E-84	6.076E-83	1.935E-83	151	1684
4	GO:0014070	response to organic cyclic compound		9.379E-79	1.625E-75	1.531E-74	6.500E-75	113	879
5	GO:0033993	response to lipid		4.942E-78	6.851E-75	6.454E-74	3.425E-74	112	870
6	GO:0009891	positive regulation of biosynthetic process		4.969E-75	5.740E-72	5.408E-71	3.444E-71	147	1910
7	GO:0051094	positive regulation of developmental process		6.196E-75	6.135E-72	5.780E-71	4.295E-71	126	1277
8	GO:0071495	cellular response to endogenous stimulus		7.325E-75	6.346E-72	5.979E-71	5.077E-71	127	1306
