1: GO: Molecular Function [Display Chart] 992 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		1.982E-38	1.966E-35	1.470E-34	1.966E-35	95	1581
2	GO:0019899	enzyme binding		1.496E-15	7.423E-13	5.550E-12	1.485E-12	69	1851
3	GO:0042802	identical protein binding		1.111E-14	3.674E-12	2.748E-11	1.102E-11	56	1336
4	GO:0005125	cytokine activity		2.923E-14	7.248E-12	5.420E-11	2.899E-11	23	221
5	GO:0005496	steroid binding		5.398E-13	1.071E-10	8.007E-10	5.354E-10	16	103
6	GO:0004871	signal transducer activity		7.420E-13	1.227E-10	9.174E-10	7.361E-10	61	1710
7	GO:0001664	G-protein coupled receptor binding		2.044E-12	2.897E-10	2.166E-9	2.028E-9	23	270
8	GO:0060089	molecular transducer activity		3.982E-12	4.938E-10	3.692E-9	3.951E-9	64	1925
9	GO:0005126	cytokine receptor binding		5.023E-11	5.536E-9	4.139E-8	4.982E-8	22	287
10	GO:0005179	hormone activity		1.040E-10	1.032E-8	7.716E-8	1.032E-7	15	123
11	GO:0038023	signaling receptor activity		2.126E-10	1.917E-8	1.434E-7	2.109E-7	50	1418
12	GO:0044877	macromolecular complex binding		3.171E-10	2.621E-8	1.960E-7	3.145E-7	53	1578
13	GO:0002020	protease binding		4.533E-10	3.459E-8	2.586E-7	4.497E-7	14	115
14	GO:0008083	growth factor activity		8.552E-10	6.060E-8	4.531E-7	8.483E-7	16	166
15	GO:0004872	receptor activity		1.127E-9	7.454E-8	5.574E-7	1.118E-6	53	1635
16	GO:0042562	hormone binding		1.076E-8	6.670E-7	4.988E-6	1.067E-5	11	81
17	GO:0032403	protein complex binding		2.411E-8	1.407E-6	1.052E-5	2.392E-5	38	1053
18	GO:0005539	glycosaminoglycan binding		3.802E-8	2.095E-6	1.567E-5	3.772E-5	16	216
19	GO:0008201	heparin binding		4.694E-8	2.451E-6	1.833E-5	4.657E-5	14	164
20	GO:0019825	oxygen binding		4.973E-8	2.467E-6	1.845E-5	4.934E-5	8	40
21	GO:0008289	lipid binding		5.672E-8	2.649E-6	1.981E-5	5.627E-5	29	691
22	GO:0019955	cytokine binding		5.874E-8	2.649E-6	1.981E-5	5.827E-5	11	95
23	GO:0070851	growth factor receptor binding		6.802E-8	2.934E-6	2.194E-5	6.747E-5	13	143
24	GO:0046983	protein dimerization activity		8.756E-8	3.619E-6	2.706E-5	8.686E-5	42	1298
25	GO:0004888	transmembrane signaling receptor activity		1.152E-7	4.570E-6	3.418E-5	1.143E-4	42	1311
26	GO:0042803	protein homodimerization activity		1.552E-7	5.920E-6	4.427E-5	1.539E-4	31	811
27	GO:0030545	receptor regulator activity		2.628E-7	9.656E-6	7.220E-5	2.607E-4	8	49
28	GO:0008144	drug binding		3.040E-7	1.077E-5	8.052E-5	3.015E-4	12	136
29	GO:0098772	molecular function regulator		3.434E-7	1.175E-5	8.784E-5	3.407E-4	41	1315
30	GO:1901681	sulfur compound binding		4.131E-7	1.366E-5	1.021E-4	4.098E-4	16	257
31	GO:0005499	vitamin D binding		2.121E-6	6.786E-5	5.075E-4	2.104E-3	4	8
32	GO:0033218	amide binding		4.239E-6	1.280E-4	9.573E-4	4.205E-3	16	307
33	GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding		4.388E-6	1.280E-4	9.573E-4	4.353E-3	7	50
34	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding		4.388E-6	1.280E-4	9.573E-4	4.353E-3	7	50
35	GO:0042277	peptide binding		5.359E-6	1.484E-4	1.109E-3	5.316E-3	15	277
36	GO:0005158	insulin receptor binding		5.384E-6	1.484E-4	1.109E-3	5.341E-3	6	34
37	GO:0019902	phosphatase binding		7.831E-6	2.099E-4	1.570E-3	7.768E-3	12	185
38	GO:0042813	Wnt-activated receptor activity		9.116E-6	2.380E-4	1.779E-3	9.043E-3	5	22
39	GO:0005109	frizzled binding		1.057E-5	2.688E-4	2.010E-3	1.048E-2	6	38
40	GO:0003707	steroid hormone receptor activity		1.206E-5	2.990E-4	2.236E-3	1.196E-2	7	58
41	GO:0019838	growth factor binding		1.339E-5	3.241E-4	2.423E-3	1.329E-2	10	134
42	GO:0005031	tumor necrosis factor-activated receptor activity		1.439E-5	3.321E-4	2.483E-3	1.428E-2	5	24
43	GO:0005035	death receptor activity		1.439E-5	3.321E-4	2.483E-3	1.428E-2	5	24
44	GO:0005506	iron ion binding		1.536E-5	3.464E-4	2.590E-3	1.524E-2	11	166
45	GO:0043178	alcohol binding		1.740E-5	3.836E-4	2.868E-3	1.726E-2	9	110
46	GO:0030284	estrogen receptor activity		2.338E-5	5.041E-4	3.770E-3	2.319E-2	3	5
47	GO:0051427	hormone receptor binding		3.433E-5	7.246E-4	5.418E-3	3.406E-2	11	181
48	GO:0072341	modified amino acid binding		4.193E-5	8.667E-4	6.480E-3	4.160E-2	7	70
49	GO:0032813	tumor necrosis factor receptor superfamily binding		5.317E-5	1.076E-3	8.049E-3	
5.275E-2
6	50
50	GO:0017147	Wnt-protein binding		6.248E-5	1.240E-3	9.269E-3	
6.198E-2
5	32
2: GO: Biological Process [Display Chart] 6647 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:2000026	regulation of multicellular organismal development		2.269E-56	1.451E-52	1.361E-51	1.508E-52	120	1777
2	GO:0042127	regulation of cell proliferation		4.366E-56	1.451E-52	1.361E-51	2.902E-52	116	1646
3	GO:0009719	response to endogenous stimulus		2.532E-55	5.610E-52	5.262E-51	1.683E-51	118	1744
