1: GO: Molecular Function [Display Chart] 1049 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005126	cytokine receptor binding		3.743E-27	3.926E-24	2.958E-23	3.926E-24	42	287
2	GO:0019899	enzyme binding		9.948E-26	3.983E-23	3.000E-22	1.044E-22	98	1851
3	GO:0005102	receptor binding		1.139E-25	3.983E-23	3.000E-22	1.195E-22	90	1581
4	GO:0000975	regulatory region DNA binding		2.699E-22	6.796E-20	5.120E-19	2.831E-19	61	843
5	GO:0001067	regulatory region nucleic acid binding		3.239E-22	6.796E-20	5.120E-19	3.398E-19	61	846
6	GO:0044212	transcription regulatory region DNA binding		6.378E-21	1.115E-18	8.400E-18	6.690E-18	59	840
7	GO:0005125	cytokine activity		1.053E-19	1.578E-17	1.189E-16	1.104E-16	31	221
8	GO:0044877	macromolecular complex binding		6.187E-19	8.112E-17	6.111E-16	6.490E-16	79	1578
9	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding		4.291E-17	5.001E-15	3.767E-14	4.501E-14	47	655
10	GO:0008134	transcription factor binding		5.103E-17	5.353E-15	4.033E-14	5.353E-14	44	577
11	GO:0003690	double-stranded DNA binding		3.321E-16	3.167E-14	2.386E-13	3.484E-13	51	807
12	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding		5.619E-16	4.602E-14	3.467E-13	5.894E-13	34	363
13	GO:0043565	sequence-specific DNA binding		5.703E-16	4.602E-14	3.467E-13	5.983E-13	59	1069
14	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding		1.476E-14	1.106E-12	8.330E-12	1.548E-11	32	357
15	GO:0019900	kinase binding		1.699E-14	1.188E-12	8.953E-12	1.783E-11	44	677
16	GO:0070851	growth factor receptor binding		3.977E-14	2.607E-12	1.964E-11	4.172E-11	21	143
17	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding		4.890E-14	3.017E-12	2.273E-11	5.129E-11	27	259
18	GO:0003700	transcription factor activity, sequence-specific DNA binding		7.891E-14	4.357E-12	3.282E-11	8.278E-11	60	1230
19	GO:0001071	nucleic acid binding transcription factor activity		7.891E-14	4.357E-12	3.282E-11	8.278E-11	60	1230
20	GO:0032403	protein complex binding		2.395E-13	1.256E-11	9.462E-11	2.512E-10	54	1053
21	GO:0001047	core promoter binding		4.364E-13	2.180E-11	1.642E-10	4.578E-10	21	161
22	GO:1990837	sequence-specific double-stranded DNA binding		6.533E-13	3.115E-11	2.347E-10	6.853E-10	43	721
23	GO:0060089	molecular transducer activity		1.210E-12	5.518E-11	4.157E-10	1.269E-9	76	1925
24	GO:0000976	transcription regulatory region sequence-specific DNA binding		2.673E-12	1.168E-10	8.802E-10	2.804E-9	41	690
25	GO:0000989	transcription factor activity, transcription factor binding		3.468E-12	1.455E-10	1.096E-9	3.638E-9	38	605
26	GO:0000988	transcription factor activity, protein binding		4.229E-12	1.706E-10	1.285E-9	4.436E-9	38	609
27	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding		2.888E-11	1.122E-9	8.452E-9	3.029E-8	37	619
28	GO:0032813	tumor necrosis factor receptor superfamily binding		3.127E-11	1.171E-9	8.824E-9	3.280E-8	12	50
29	GO:0001012	RNA polymerase II regulatory region DNA binding		3.990E-11	1.443E-9	1.087E-8	4.185E-8	37	626
30	GO:0019901	protein kinase binding		7.124E-11	2.491E-9	1.876E-8	7.473E-8	36	608
31	GO:0046983	protein dimerization activity		7.885E-11	2.668E-9	2.010E-8	8.271E-8	56	1298
32	GO:0005164	tumor necrosis factor receptor binding		1.116E-10	3.659E-9	2.756E-8	1.171E-7	10	33
33	GO:0042802	identical protein binding		2.350E-10	7.469E-9	5.626E-8	2.465E-7	56	1336
34	GO:0004871	signal transducer activity		3.888E-10	1.200E-8	9.037E-8	4.079E-7	65	1710
35	GO:0003713	transcription coactivator activity		7.251E-10	2.173E-8	1.637E-7	7.606E-7	24	311
36	GO:0003684	damaged DNA binding		8.265E-10	2.408E-8	1.814E-7	8.670E-7	12	65
37	GO:0000987	core promoter proximal region sequence-specific DNA binding		1.005E-9	2.839E-8	2.139E-7	1.055E-6	27	397
38	GO:0002020	protease binding		1.028E-9	2.839E-8	2.139E-7	1.079E-6	15	115
39	GO:0001159	core promoter proximal region DNA binding		1.122E-9	3.018E-8	2.274E-7	1.177E-6	27	399
40	GO:0003823	antigen binding		1.881E-9	4.932E-8	3.716E-7	1.973E-6	15	120
41	GO:0019903	protein phosphatase binding		2.051E-9	5.230E-8	3.940E-7	2.151E-6	16	140
42	GO:0003712	transcription cofactor activity		2.094E-9	5.230E-8	3.940E-7	2.196E-6	32	560
43	GO:0003682	chromatin binding		2.336E-9	5.698E-8	4.292E-7	2.450E-6	30	501
44	GO:0035326	enhancer binding		2.456E-9	5.855E-8	4.411E-7	2.576E-6	14	104
45	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding		2.791E-9	6.506E-8	4.901E-7	2.928E-6	14	105
