1: GO: Molecular Function [Display Chart] 1445 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		1.177E-75	1.701E-72	1.336E-71	1.701E-72	210	1581
2	GO:0019899	enzyme binding		4.534E-54	3.276E-51	2.573E-50	6.551E-51	197	1851
3	GO:0005126	cytokine receptor binding		3.636E-43	1.751E-40	1.375E-39	5.254E-40	72	287
4	GO:0005125	cytokine activity		4.203E-37	1.518E-34	1.192E-33	6.074E-34	59	221
5	GO:0044877	macromolecular complex binding		1.086E-34	3.140E-32	2.466E-31	1.570E-31	151	1578
6	GO:0019901	protein kinase binding		3.208E-34	6.814E-32	5.351E-31	4.636E-31	90	608
7	GO:0019900	kinase binding		3.301E-34	6.814E-32	5.351E-31	4.770E-31	95	677
8	GO:0032403	protein complex binding		7.519E-27	1.358E-24	1.067E-23	1.086E-23	108	1053
9	GO:0042802	identical protein binding		2.986E-25	4.794E-23	3.765E-22	4.315E-22	121	1336
10	GO:0060089	molecular transducer activity		2.219E-22	3.206E-20	2.518E-19	3.206E-19	145	1925
11	GO:0070851	growth factor receptor binding		4.647E-21	6.105E-19	4.794E-18	6.715E-18	35	143
12	GO:0008134	transcription factor binding		7.413E-21	8.926E-19	7.010E-18	1.071E-17	69	577
13	GO:0004672	protein kinase activity		6.685E-19	7.431E-17	5.836E-16	9.660E-16	68	610
14	GO:0046983	protein dimerization activity		2.860E-17	2.952E-15	2.318E-14	4.132E-14	103	1298
15	GO:0016773	phosphotransferase activity, alcohol group as acceptor		8.516E-17	8.204E-15	6.443E-14	1.231E-13	71	720
16	GO:0003823	antigen binding		1.625E-16	1.467E-14	1.152E-13	2.348E-13	28	120
17	GO:0016301	kinase activity		2.571E-16	2.186E-14	1.716E-13	3.715E-13	74	788
18	GO:0008083	growth factor activity		4.194E-16	3.367E-14	2.644E-13	6.060E-13	32	166
19	GO:0004871	signal transducer activity		5.427E-16	4.128E-14	3.242E-13	7.843E-13	120	1710
20	GO:0044389	ubiquitin-like protein ligase binding		1.744E-15	1.260E-13	9.896E-13	2.520E-12	40	273
21	GO:0016772	transferase activity, transferring phosphorus-containing groups		3.325E-15	2.288E-13	1.797E-12	4.804E-12	80	938
22	GO:0004872	receptor activity		5.492E-15	3.561E-13	2.797E-12	7.936E-12	114	1635
23	GO:0031625	ubiquitin protein ligase binding		5.668E-15	3.561E-13	2.797E-12	8.191E-12	39	269
24	GO:0046982	protein heterodimerization activity		8.210E-15	4.943E-13	3.882E-12	1.186E-11	58	560
25	GO:0019838	growth factor binding		2.753E-14	1.591E-12	1.250E-11	3.978E-11	27	134
26	GO:0019955	cytokine binding		3.566E-14	1.982E-12	1.557E-11	5.153E-11	23	95
27	GO:0002020	protease binding		3.980E-14	2.130E-12	1.673E-11	5.751E-11	25	115
28	GO:0019904	protein domain specific binding		5.399E-14	2.786E-12	2.188E-11	7.801E-11	66	725
29	GO:0019902	phosphatase binding		6.841E-14	3.409E-12	2.677E-11	9.885E-11	31	185
30	GO:0019207	kinase regulator activity		9.337E-14	4.497E-12	3.532E-11	1.349E-10	33	212
31	GO:0042803	protein homodimerization activity		1.198E-13	5.583E-12	4.384E-11	1.731E-10	70	811
32	GO:0050839	cell adhesion molecule binding		8.969E-13	4.050E-11	3.181E-10	1.296E-9	31	203
33	GO:0001047	core promoter binding		2.809E-12	1.230E-10	9.661E-10	4.059E-9	27	161
34	GO:0019903	protein phosphatase binding		4.308E-12	1.831E-10	1.438E-9	6.226E-9	25	140
35	GO:0005178	integrin binding		4.724E-12	1.950E-10	1.532E-9	6.826E-9	23	118
36	GO:0030234	enzyme regulator activity		1.552E-11	6.229E-10	4.892E-9	2.242E-8	75	999
37	GO:0032813	tumor necrosis factor receptor superfamily binding		3.645E-11	1.424E-9	1.118E-8	5.268E-8	15	50
38	GO:0042379	chemokine receptor binding		4.450E-11	1.692E-9	1.329E-8	6.431E-8	16	59
39	GO:0004713	protein tyrosine kinase activity		5.274E-11	1.954E-9	1.535E-8	7.621E-8	24	144
40	GO:0042826	histone deacetylase binding		7.275E-11	2.628E-9	2.064E-8	1.051E-7	21	111
41	GO:0001618	virus receptor activity		9.581E-11	3.377E-9	2.652E-8	1.384E-7	17	71
42	GO:0098772	molecular function regulator		2.379E-10	8.187E-9	6.429E-8	3.438E-7	87	1315
43	GO:0005164	tumor necrosis factor receptor binding		2.665E-10	8.956E-9	7.034E-8	3.851E-7	12	33
44	GO:0004896	cytokine receptor activity		6.438E-10	2.114E-8	1.660E-7	9.303E-7	18	90
45	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding		6.976E-10	2.240E-8	1.759E-7	1.008E-6	37	357
46	GO:0019887	protein kinase regulator activity		7.394E-10	2.323E-8	1.824E-7	1.068E-6	26	190
47	GO:0019199	transmembrane receptor protein kinase activity		7.784E-10	2.393E-8	1.879E-7	1.125E-6	18	91
48	GO:0048020	CCR chemokine receptor binding		8.590E-10	2.586E-8	2.031E-7	1.241E-6	12	36
49	GO:0001067	regulatory region nucleic acid binding		1.056E-9	3.114E-8	2.446E-7	1.526E-6	63	846
50	GO:0003690	double-stranded DNA binding		1.117E-9	3.228E-8	2.535E-7	1.614E-6	61	807
2: GO: Biological Process [Display Chart] 8029 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0006955	immune response		8.806E-120	7.070E-116	6.765E-115	7.070E-116	272	1762
2	GO:0042127	regulation of cell proliferation		9.177E-119	3.684E-115	3.525E-114	7.368E-115	263	1646
3	GO:0002682	regulation of immune system process		2.577E-115	6.897E-112	6.599E-111	2.069E-111	258	1626
4	GO:0010941	regulation of cell death		2.408E-109	4.833E-106	4.625E-105	1.933E-105	256	1690
5	GO:0043067	regulation of programmed cell death		4.141E-107	6.650E-104	6.362E-103	3.325E-103	246	1579
6	GO:0012501	programmed cell death		3.634E-105	4.862E-102	4.652E-101	2.917E-101	271	1994
7	GO:0006915	apoptotic process		7.639E-104	8.762E-101	8.383E-100	6.133E-100	268	1970
8	GO:0042981	regulation of apoptotic process		1.321E-102	1.326E-99	1.269E-98	1.061E-98	240	1563
9	GO:0001775	cell activation		1.711E-101	1.526E-98	1.460E-97	1.374E-97	201	1057
10	GO:0002684	positive regulation of immune system process		2.172E-97	1.744E-94	1.669E-93	1.744E-93	192	998
11	GO:0006952	defense response		2.551E-96	1.862E-93	1.781E-92	2.048E-92	255	1901
12	GO:0009967	positive regulation of signal transduction		1.976E-91	1.322E-88	1.265E-87	1.587E-87	223	1497
13	GO:0023056	positive regulation of signaling		2.743E-90	1.694E-87	1.621E-86	2.202E-86	234	1682
14	GO:0010647	positive regulation of cell communication		4.303E-90	2.468E-87	2.361E-86	3.455E-86	235	1701
15	GO:0045321	leukocyte activation		2.991E-89	1.601E-86	1.532E-85	2.402E-85	168	813
16	GO:0051240	positive regulation of multicellular organismal process		1.249E-87	6.267E-85	5.997E-84	1.003E-83	224	1577
