1: GO: Molecular Function [Display Chart] 934 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		1.640E-23	1.347E-20	9.994E-20	1.532E-20	86	1581
2	GO:0005126	cytokine receptor binding		3.124E-23	1.347E-20	9.994E-20	2.918E-20	38	287
3	GO:0042802	identical protein binding		4.328E-23	1.347E-20	9.994E-20	4.042E-20	78	1336
4	GO:0003690	double-stranded DNA binding		8.042E-23	1.878E-20	1.393E-19	7.512E-20	60	807
5	GO:0005125	cytokine activity		5.842E-22	1.091E-19	8.094E-19	5.456E-19	33	221
6	GO:0044212	transcription regulatory region DNA binding		3.295E-21	4.857E-19	3.602E-18	3.077E-18	59	840
7	GO:0000975	regulatory region DNA binding		3.928E-21	4.857E-19	3.602E-18	3.669E-18	59	843
8	GO:0044877	macromolecular complex binding		4.431E-21	4.857E-19	3.602E-18	4.138E-18	82	1578
9	GO:0001067	regulatory region nucleic acid binding		4.680E-21	4.857E-19	3.602E-18	4.371E-18	59	846
10	GO:0043565	sequence-specific DNA binding		9.726E-19	9.084E-17	6.738E-16	9.084E-16	63	1069
11	GO:0019899	enzyme binding		6.377E-18	5.414E-16	4.016E-15	5.956E-15	84	1851
12	GO:1990837	sequence-specific double-stranded DNA binding		4.494E-17	3.498E-15	2.594E-14	4.197E-14	49	721
13	GO:0046983	protein dimerization activity		2.275E-16	1.634E-14	1.212E-13	2.125E-13	66	1298
14	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding		6.672E-16	4.451E-14	3.301E-13	6.231E-13	45	655
15	GO:0000976	transcription regulatory region sequence-specific DNA binding		9.506E-16	5.919E-14	4.390E-13	8.878E-13	46	690
16	GO:0001012	RNA polymerase II regulatory region DNA binding		3.180E-15	1.856E-13	1.377E-12	2.970E-12	43	626
17	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding		1.053E-14	5.787E-13	4.292E-12	9.838E-12	42	619
18	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding		1.022E-13	5.303E-12	3.934E-11	9.546E-11	31	363
19	GO:0008134	transcription factor binding		1.164E-13	5.723E-12	4.245E-11	1.087E-10	39	577
20	GO:0032403	protein complex binding		1.402E-13	6.549E-12	4.858E-11	1.310E-10	54	1053
21	GO:0003700	transcription factor activity, sequence-specific DNA binding		5.261E-13	2.233E-11	1.657E-10	4.914E-10	58	1230
22	GO:0001071	nucleic acid binding transcription factor activity		5.261E-13	2.233E-11	1.657E-10	4.914E-10	58	1230
23	GO:0042803	protein homodimerization activity		1.388E-12	5.638E-11	4.182E-10	1.297E-9	45	811
24	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding		2.329E-12	9.063E-11	6.722E-10	2.175E-9	29	357
25	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding		1.258E-11	4.699E-10	3.485E-9	1.175E-8	24	259
26	GO:0001047	core promoter binding		2.802E-11	1.007E-9	7.465E-9	2.617E-8	19	161
27	GO:0019900	kinase binding		6.568E-11	2.272E-9	1.685E-8	6.135E-8	38	677
28	GO:0048020	CCR chemokine receptor binding		2.588E-10	8.633E-9	6.403E-8	2.417E-7	10	36
29	GO:0046982	protein heterodimerization activity		3.795E-10	1.222E-8	9.067E-8	3.545E-7	33	560
30	GO:0003682	chromatin binding		4.100E-10	1.277E-8	9.469E-8	3.830E-7	31	501
31	GO:0019901	protein kinase binding		7.929E-10	2.389E-8	1.772E-7	7.405E-7	34	608
32	GO:0060089	molecular transducer activity		1.746E-9	5.097E-8	3.781E-7	1.631E-6	68	1925
33	GO:0042379	chemokine receptor binding		3.322E-9	9.403E-8	6.975E-7	3.103E-6	11	59
34	GO:0000987	core promoter proximal region sequence-specific DNA binding		3.507E-9	9.635E-8	7.146E-7	3.276E-6	26	397
35	GO:0001159	core promoter proximal region DNA binding		3.895E-9	1.039E-7	7.710E-7	3.638E-6	26	399
36	GO:0008009	chemokine activity		4.480E-9	1.162E-7	8.620E-7	4.184E-6	10	47
37	GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding		5.830E-9	1.472E-7	1.092E-6	5.445E-6	25	378
38	GO:0019903	protein phosphatase binding		1.352E-8	3.324E-7	2.465E-6	1.263E-5	15	140
39	GO:0035326	enhancer binding		1.974E-8	4.639E-7	3.441E-6	1.844E-5	13	104
40	GO:0004713	protein tyrosine kinase activity		1.987E-8	4.639E-7	3.441E-6	1.856E-5	15	144
41	GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding		2.543E-8	5.793E-7	4.297E-6	2.375E-5	11	71
42	GO:0005057	receptor signaling protein activity		3.157E-8	7.020E-7	5.207E-6	2.949E-5	15	149
43	GO:0001158	enhancer sequence-specific DNA binding		3.798E-8	8.250E-7	6.119E-6	3.547E-5	12	91
44	GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding		4.303E-8	9.133E-7	6.774E-6	4.019E-5	16	175
45	GO:0070491	repressing transcription factor binding		5.381E-8	1.117E-6	8.284E-6	5.026E-5	10	60
46	GO:0004715	non-membrane spanning protein tyrosine kinase activity		5.883E-8	1.195E-6	8.860E-6	5.495E-5	9	46
47	GO:0019904	protein domain specific binding		6.378E-8	1.267E-6	9.401E-6	5.957E-5	34	725
48	GO:0019902	phosphatase binding		9.367E-8	1.823E-6	1.352E-5	8.749E-5	16	185
49	GO:0032813	tumor necrosis factor receptor superfamily binding		1.262E-7	2.405E-6	1.784E-5	1.178E-4	9	50
50	GO:0070851	growth factor receptor binding		1.298E-7	2.424E-6	1.798E-5	1.212E-4	14	143
2: GO: Biological Process [Display Chart] 6387 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0006955	immune response		5.568E-77	3.556E-73	3.321E-72	3.556E-73	158	1762
2	GO:0002682	regulation of immune system process		4.397E-67	1.404E-63	1.311E-62	2.808E-63	143	1626
3	GO:0002520	immune system development		4.910E-66	1.045E-62	9.764E-62	3.136E-62	113	929
4	GO:0045321	leukocyte activation		2.169E-61	3.463E-58	3.234E-57	1.385E-57	103	813
5	GO:0046649	lymphocyte activation		1.072E-60	1.369E-57	1.279E-56	6.846E-57	96	690
6	GO:0048534	hematopoietic or lymphoid organ development		4.717E-59	5.021E-56	4.689E-55	3.012E-55	104	879
7	GO:0001775	cell activation		5.789E-58	5.282E-55	4.933E-54	3.697E-54	111	1057
