Results

Go To Start Page
Input Parameters [Show Detail]
Training Results [Expand All] [Download All] [Sparse Matrix] Display pValues and Scores as   Table row limit 
1: GO: Molecular Function [Display Chart] 1591 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		4.697E-38	7.472E-35	5.940E-34	7.472E-35	150	1581
2	GO:0019899	enzyme binding		2.078E-36	1.653E-33	1.314E-32	3.306E-33	161	1851
3	GO:0042802	identical protein binding		1.760E-32	9.336E-30	7.422E-29	2.801E-29	128	1336
4	GO:0001540	beta-amyloid binding		2.272E-28	9.036E-26	7.184E-25	3.615E-25	24	36
5	GO:0033218	amide binding		2.271E-23	7.226E-21	5.744E-20	3.613E-20	51	307
6	GO:0042277	peptide binding		7.214E-23	1.913E-20	1.521E-19	1.148E-19	48	277
7	GO:0019900	kinase binding		8.014E-19	1.821E-16	1.448E-15	1.275E-15	69	677
8	GO:0044877	macromolecular complex binding		3.062E-17	6.090E-15	4.841E-14	4.872E-14	111	1578
9	GO:0019901	protein kinase binding		2.114E-16	3.738E-14	2.971E-13	3.364E-13	61	608
10	GO:0032403	protein complex binding		3.322E-15	5.285E-13	4.202E-12	5.285E-12	82	1053
11	GO:0046983	protein dimerization activity		1.713E-14	2.478E-12	1.970E-11	2.726E-11	92	1298
12	GO:0008289	lipid binding		2.514E-13	3.333E-11	2.650E-10	4.000E-10	60	691
13	GO:0042803	protein homodimerization activity		3.009E-13	3.683E-11	2.928E-10	4.788E-10	66	811
14	GO:0008092	cytoskeletal protein binding		3.508E-13	3.987E-11	3.169E-10	5.581E-10	69	874
15	GO:0008144	drug binding		3.149E-12	3.340E-10	2.655E-9	5.009E-9	24	136
16	GO:0008134	transcription factor binding		9.124E-12	9.073E-10	7.212E-9	1.452E-8	51	577
17	GO:0005126	cytokine receptor binding		1.338E-11	1.252E-9	9.951E-9	2.128E-8	34	287
18	GO:0048156	tau protein binding		3.722E-11	3.290E-9	2.615E-8	5.921E-8	9	14
19	GO:0019904	protein domain specific binding		5.560E-11	4.623E-9	3.675E-8	8.846E-8	57	725
20	GO:0031072	heat shock protein binding		5.811E-11	4.623E-9	3.675E-8	9.245E-8	20	106
21	GO:0004672	protein kinase activity		6.955E-11	5.269E-9	4.189E-8	1.106E-7	51	610
22	GO:0005507	copper ion binding		1.342E-10	9.705E-9	7.715E-8	2.135E-7	15	58
23	GO:0070405	ammonium ion binding		1.489E-10	1.030E-8	8.187E-8	2.369E-7	17	78
24	GO:0005496	steroid binding		2.641E-10	1.751E-8	1.392E-7	4.202E-7	19	103
25	GO:0004175	endopeptidase activity		4.215E-10	2.682E-8	2.132E-7	6.706E-7	39	413
26	GO:0031406	carboxylic acid binding		6.970E-10	4.265E-8	3.391E-7	1.109E-6	28	234
27	GO:0098772	molecular function regulator		8.690E-10	5.121E-8	4.071E-7	1.383E-6	81	1315
28	GO:0043177	organic acid binding		9.347E-10	5.214E-8	4.145E-7	1.487E-6	28	237
29	GO:0031625	ubiquitin protein ligase binding		9.504E-10	5.214E-8	4.145E-7	1.512E-6	30	269
30	GO:0044389	ubiquitin-like protein ligase binding		1.355E-9	7.185E-8	5.712E-7	2.156E-6	30	273
31	GO:0002020	protease binding		1.856E-9	9.525E-8	7.572E-7	2.953E-6	19	115
32	GO:0071813	lipoprotein particle binding		2.186E-9	1.054E-7	8.377E-7	3.478E-6	10	26
33	GO:0071814	protein-lipid complex binding		2.186E-9	1.054E-7	8.377E-7	3.478E-6	10	26
