1: GO: Molecular Function [Display Chart] 889 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0019899	enzyme binding		3.638E-19	3.234E-16	2.383E-15	3.234E-16	60	1851
2	GO:0042802	identical protein binding		7.438E-17	3.306E-14	2.436E-13	6.612E-14	48	1336
3	GO:0044877	macromolecular complex binding		1.040E-14	3.082E-12	2.270E-11	9.245E-12	49	1578
4	GO:0005102	receptor binding		3.640E-12	8.090E-10	5.960E-9	3.236E-9	45	1581
5	GO:0032403	protein complex binding		5.158E-12	9.172E-10	6.757E-9	4.586E-9	36	1053
6	GO:0046983	protein dimerization activity		1.168E-10	1.731E-8	1.276E-7	1.039E-7	38	1298
7	GO:0046982	protein heterodimerization activity		9.655E-9	1.226E-6	9.035E-6	8.584E-6	22	560
8	GO:0031625	ubiquitin protein ligase binding		2.834E-8	3.149E-6	2.320E-5	2.520E-5	15	269
9	GO:0044389	ubiquitin-like protein ligase binding		3.447E-8	3.405E-6	2.508E-5	3.064E-5	15	273
10	GO:0019901	protein kinase binding		4.185E-8	3.721E-6	2.741E-5	3.721E-5	22	608
11	GO:0019900	kinase binding		6.331E-8	5.117E-6	3.770E-5	5.628E-5	23	677
12	GO:0008134	transcription factor binding		3.590E-7	2.660E-5	1.960E-4	3.192E-4	20	577
13	GO:0001046	core promoter sequence-specific DNA binding		8.459E-7	5.785E-5	4.262E-4	7.520E-4	9	111
14	GO:0098772	molecular function regulator		1.033E-6	6.558E-5	4.832E-4	9.181E-4	31	1315
15	GO:0003690	double-stranded DNA binding		1.381E-6	8.182E-5	6.029E-4	1.227E-3	23	807
16	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding		1.556E-6	8.648E-5	6.372E-4	1.384E-3	7	62
17	GO:0001047	core promoter binding		2.392E-6	1.251E-4	9.216E-4	2.126E-3	10	161
18	GO:0019904	protein domain specific binding		3.218E-6	1.586E-4	1.168E-3	2.861E-3	21	725
19	GO:0004672	protein kinase activity		3.472E-6	1.586E-4	1.168E-3	3.087E-3	19	610
20	GO:0002039	p53 binding		3.567E-6	1.586E-4	1.168E-3	3.171E-3	7	70
21	GO:0004674	protein serine/threonine kinase activity		3.785E-6	1.602E-4	1.180E-3	3.365E-3	16	447
22	GO:0035254	glutamate receptor binding		4.295E-6	1.736E-4	1.279E-3	3.818E-3	6	47
23	GO:0008092	cytoskeletal protein binding		5.231E-6	2.022E-4	1.490E-3	4.650E-3	23	874
24	GO:0031072	heat shock protein binding		5.987E-6	2.218E-4	1.634E-3	5.323E-3	8	106
25	GO:0048156	tau protein binding		6.374E-6	2.267E-4	1.670E-3	5.666E-3	4	14
26	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding		6.756E-6	2.310E-4	1.702E-3	6.006E-3	14	363
27	GO:1990841	promoter-specific chromatin binding		7.487E-6	2.465E-4	1.816E-3	6.656E-3	3	5
28	GO:0001085	RNA polymerase II transcription factor binding		9.011E-6	2.775E-4	2.044E-3	8.010E-3	8	112
29	GO:0044212	transcription regulatory region DNA binding		9.210E-6	2.775E-4	2.044E-3	8.188E-3	22	840
30	GO:0051087	chaperone binding		9.509E-6	2.775E-4	2.044E-3	8.453E-3	7	81
31	GO:0000975	regulatory region DNA binding		9.739E-6	2.775E-4	2.044E-3	8.658E-3	22	843
32	GO:0001067	regulatory region nucleic acid binding		1.029E-5	2.775E-4	2.044E-3	9.152E-3	22	846
33	GO:0016773	phosphotransferase activity, alcohol group as acceptor		1.040E-5	2.775E-4	2.044E-3	9.245E-3	20	720
34	GO:1990837	sequence-specific double-stranded DNA binding		1.061E-5	2.775E-4	2.044E-3	9.434E-3	20	721
35	GO:1901338	catecholamine binding		1.142E-5	2.848E-4	2.098E-3	1.016E-2	4	16
36	GO:0016301	kinase activity		1.153E-5	2.848E-4	2.098E-3	1.025E-2	21	788
37	GO:0030544	Hsp70 protein binding		1.375E-5	3.305E-4	2.435E-3	1.223E-2	5	34
38	GO:0030234	enzyme regulator activity		1.475E-5	3.450E-4	2.542E-3	1.311E-2	24	999
39	GO:0042803	protein homodimerization activity		1.773E-5	4.041E-4	2.978E-3	1.576E-2	21	811
40	GO:0004970	ionotropic glutamate receptor activity		2.381E-5	5.292E-4	3.899E-3	2.117E-2	4	19
41	GO:0004952	dopamine neurotransmitter receptor activity		2.585E-5	5.605E-4	4.130E-3	2.298E-2	3	7
42	GO:0003684	damaged DNA binding		2.883E-5	6.102E-4	4.496E-3	2.563E-2	6	65
43	GO:0005234	extracellular-glutamate-gated ion channel activity		2.955E-5	6.110E-4	4.501E-3	2.627E-2	4	20
44	GO:0043130	ubiquitin binding		3.545E-5	7.163E-4	5.278E-3	3.152E-2	7	99
45	GO:0008144	drug binding		3.702E-5	7.314E-4	5.389E-3	3.291E-2	8	136
46	GO:0004972	NMDA glutamate receptor activity		4.108E-5	7.940E-4	5.850E-3	3.652E-2	3	8
47	GO:0019903	protein phosphatase binding		4.554E-5	8.613E-4	6.346E-3	4.048E-2	8	140
48	GO:0051082	unfolded protein binding		4.869E-5	8.994E-4	6.627E-3	4.328E-2	7	104
49	GO:0016772	transferase activity, transferring phosphorus-containing groups		4.957E-5	8.994E-4	6.627E-3	4.407E-2	22	938
