1: GO: Molecular Function [Display Chart] 1244 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		2.417E-22	3.007E-19	2.317E-18	3.007E-19	99	1581
2	GO:0019904	protein domain specific binding		6.746E-16	4.196E-13	3.232E-12	8.392E-13	55	725
3	GO:0005230	extracellular ligand-gated ion channel activity		2.347E-15	9.731E-13	7.496E-12	2.919E-12	19	76
4	GO:0008144	drug binding		2.268E-13	5.702E-11	4.392E-10	2.821E-10	22	136
5	GO:0004872	receptor activity		2.408E-13	5.702E-11	4.392E-10	2.996E-10	83	1635
6	GO:0016917	GABA receptor activity		2.750E-13	5.702E-11	4.392E-10	3.421E-10	11	22
7	GO:0022836	gated channel activity		3.916E-13	6.959E-11	5.361E-10	4.872E-10	33	331
8	GO:0070405	ammonium ion binding		8.089E-13	1.258E-10	9.689E-10	1.006E-9	17	78
9	GO:0022834	ligand-gated channel activity		2.319E-12	2.885E-10	2.222E-9	2.885E-9	22	152
10	GO:0015276	ligand-gated ion channel activity		2.319E-12	2.885E-10	2.222E-9	2.885E-9	22	152
11	GO:0004888	transmembrane signaling receptor activity		7.433E-12	7.549E-10	5.815E-9	9.247E-9	69	1311
12	GO:0022803	passive transmembrane transporter activity		7.889E-12	7.549E-10	5.815E-9	9.814E-9	37	457
13	GO:0015267	channel activity		7.889E-12	7.549E-10	5.815E-9	9.814E-9	37	457
14	GO:0097110	scaffold protein binding		1.170E-11	1.040E-9	8.009E-9	1.455E-8	14	56
15	GO:0060089	molecular transducer activity		1.290E-11	1.070E-9	8.240E-9	1.604E-8	88	1925
16	GO:0004022	alcohol dehydrogenase (NAD) activity		1.798E-11	1.357E-9	1.046E-8	2.236E-8	7	8
17	GO:0022838	substrate-specific channel activity		1.855E-11	1.357E-9	1.046E-8	2.307E-8	35	425
18	GO:0005216	ion channel activity		3.229E-11	2.232E-9	1.719E-8	4.017E-8	34	411
19	GO:0038023	signaling receptor activity		3.486E-11	2.283E-9	1.758E-8	4.337E-8	71	1418
20	GO:0004890	GABA-A receptor activity		8.048E-11	5.006E-9	3.856E-8	1.001E-7	9	19
21	GO:0050839	cell adhesion molecule binding		1.225E-10	7.258E-9	5.591E-8	1.524E-7	23	203
22	GO:0019899	enzyme binding		1.512E-10	8.550E-9	6.587E-8	1.881E-7	83	1851
23	GO:0044877	macromolecular complex binding		2.570E-10	1.390E-8	1.071E-7	3.197E-7	74	1578
24	GO:0015075	ion transmembrane transporter activity		3.272E-10	1.696E-8	1.306E-7	4.070E-7	49	835
25	GO:0030165	PDZ domain binding		3.510E-10	1.747E-8	1.346E-7	4.367E-7	17	112
26	GO:0031406	carboxylic acid binding		3.837E-10	1.836E-8	1.414E-7	4.773E-7	24	234
27	GO:0043177	organic acid binding		4.984E-10	2.296E-8	1.769E-7	6.200E-7	24	237
28	GO:0022891	substrate-specific transmembrane transporter activity		6.103E-10	2.711E-8	2.089E-7	7.592E-7	51	907
29	GO:0042802	identical protein binding		8.871E-10	3.805E-8	2.931E-7	1.104E-6	65	1336
30	GO:0022857	transmembrane transporter activity		1.291E-9	5.353E-8	4.124E-7	1.606E-6	53	985
31	GO:0005215	transporter activity		1.589E-9	6.274E-8	4.833E-7	1.976E-6	62	1262
32	GO:0004871	signal transducer activity		1.614E-9	6.274E-8	4.833E-7	2.008E-6	76	1710
33	GO:0035254	glutamate receptor binding		4.151E-9	1.565E-7	1.205E-6	5.163E-6	11	47
34	GO:0022892	substrate-specific transporter activity		4.337E-9	1.587E-7	1.222E-6	5.395E-6	55	1080
35	GO:0046983	protein dimerization activity		4.686E-9	1.665E-7	1.283E-6	5.829E-6	62	1298
