1: GO: Molecular Function [Display Chart] 1548 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		2.101E-50	3.252E-47	2.576E-46	3.252E-47	161	1581
2	GO:0004871	signal transducer activity		1.645E-35	1.273E-32	1.009E-31	2.547E-32	145	1710
3	GO:0019899	enzyme binding		1.391E-34	7.178E-32	5.686E-31	2.153E-31	150	1851
4	GO:0038023	signaling receptor activity		2.427E-34	9.391E-32	7.440E-31	3.756E-31	129	1418
5	GO:0060089	molecular transducer activity		3.266E-33	1.011E-30	8.010E-30	5.056E-30	151	1925
6	GO:0004872	receptor activity		1.261E-31	3.254E-29	2.578E-28	1.953E-28	135	1635
7	GO:0046983	protein dimerization activity		1.443E-30	3.191E-28	2.528E-27	2.234E-27	117	1298
8	GO:0004888	transmembrane signaling receptor activity		1.475E-29	2.853E-27	2.261E-26	2.283E-26	116	1311
9	GO:0042802	identical protein binding		4.823E-27	8.295E-25	6.572E-24	7.466E-24	113	1336
10	GO:0001664	G-protein coupled receptor binding		8.699E-27	1.347E-24	1.067E-23	1.347E-23	50	270
11	GO:0070405	ammonium ion binding		1.201E-26	1.691E-24	1.339E-23	1.860E-23	30	78
12	GO:0030594	neurotransmitter receptor activity		1.970E-25	2.541E-23	2.013E-22	3.049E-22	31	92
13	GO:0008066	glutamate receptor activity		4.267E-24	5.081E-22	4.025E-21	6.605E-21	19	27
14	GO:0005230	extracellular ligand-gated ion channel activity		5.134E-23	5.609E-21	4.443E-20	7.948E-20	27	76
15	GO:0008144	drug binding		5.435E-23	5.609E-21	4.443E-20	8.413E-20	34	136
16	GO:0005231	excitatory extracellular ligand-gated ion channel activity		1.683E-21	1.628E-19	1.290E-18	2.605E-18	23	56
17	GO:0019900	kinase binding		1.851E-21	1.685E-19	1.335E-18	2.865E-18	70	677
18	GO:0042562	hormone binding		1.104E-19	9.497E-18	7.524E-17	1.709E-16	25	81
19	GO:0019901	protein kinase binding		9.082E-19	7.399E-17	5.862E-16	1.406E-15	62	608
20	GO:0046982	protein heterodimerization activity		1.202E-16	9.305E-15	7.372E-14	1.861E-13	56	560
21	GO:0004930	G-protein coupled receptor activity		1.925E-16	1.419E-14	1.124E-13	2.981E-13	72	878
22	GO:0005179	hormone activity		6.045E-16	4.254E-14	3.370E-13	9.358E-13	26	123
23	GO:0015267	channel activity		7.024E-16	4.530E-14	3.589E-13	1.087E-12	49	457
24	GO:0022803	passive transmembrane transporter activity		7.024E-16	4.530E-14	3.589E-13	1.087E-12	49	457
25	GO:0022838	substrate-specific channel activity		8.608E-16	5.330E-14	4.222E-13	1.332E-12	47	425
26	GO:0022836	gated channel activity		1.298E-15	7.731E-14	6.125E-13	2.010E-12	41	331
27	GO:0022834	ligand-gated channel activity		1.946E-15	1.076E-13	8.524E-13	3.013E-12	28	152
28	GO:0015276	ligand-gated ion channel activity		1.946E-15	1.076E-13	8.524E-13	3.013E-12	28	152
29	GO:0005216	ion channel activity		5.279E-15	2.818E-13	2.233E-12	8.172E-12	45	411
30	GO:0008092	cytoskeletal protein binding		5.934E-15	3.062E-13	2.426E-12	9.186E-12	69	874
31	GO:0004970	ionotropic glutamate receptor activity		8.870E-15	4.429E-13	3.509E-12	1.373E-11	12	19
32	GO:0005126	cytokine receptor binding		9.315E-15	4.506E-13	3.570E-12	1.442E-11	37	287
33	GO:0042803	protein homodimerization activity		1.957E-14	8.929E-13	7.073E-12	3.030E-11	65	811
34	GO:0008227	G-protein coupled amine receptor activity		1.961E-14	8.929E-13	7.073E-12	3.036E-11	17	51
35	GO:0005234	extracellular-glutamate-gated ion channel activity		2.161E-14	9.560E-13	7.573E-12	3.346E-11	12	20
36	GO:0005184	neuropeptide hormone activity		2.705E-14	1.163E-12	9.216E-12	4.188E-11	14	31
37	GO:0001653	peptide receptor activity		5.610E-14	2.347E-12	1.859E-11	8.684E-11	25	135
38	GO:0035254	glutamate receptor binding		7.935E-14	3.233E-12	2.561E-11	1.228E-10	16	47
