1: GO: Molecular Function [Display Chart] 2346 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0019899	enzyme binding		8.121E-42	1.905E-38	1.589E-37	1.905E-38	315	1851
2	GO:0005102	receptor binding		6.686E-32	7.843E-29	6.539E-28	1.569E-28	261	1581
3	GO:0042802	identical protein binding		1.134E-30	8.865E-28	7.391E-27	2.659E-27	230	1336
4	GO:0019904	protein domain specific binding		8.099E-27	4.750E-24	3.960E-23	1.900E-23	147	725
5	GO:0005230	extracellular ligand-gated ion channel activity		1.413E-26	6.629E-24	5.527E-23	3.314E-23	42	76
6	GO:0044877	macromolecular complex binding		7.824E-21	3.059E-18	2.551E-17	1.836E-17	231	1578
7	GO:0008066	glutamate receptor activity		3.335E-20	1.020E-17	8.503E-17	7.825E-17	22	27
8	GO:0019900	kinase binding		3.478E-20	1.020E-17	8.503E-17	8.159E-17	127	677
9	GO:0046983	protein dimerization activity		3.695E-19	9.632E-17	8.031E-16	8.669E-16	196	1298
10	GO:0022836	gated channel activity		1.392E-18	3.265E-16	2.722E-15	3.265E-15	78	331
11	GO:0022834	ligand-gated channel activity		4.944E-18	9.666E-16	8.060E-15	1.160E-14	49	152
12	GO:0015276	ligand-gated ion channel activity		4.944E-18	9.666E-16	8.060E-15	1.160E-14	49	152
13	GO:0019901	protein kinase binding		2.672E-17	4.823E-15	4.021E-14	6.270E-14	112	608
14	GO:0004871	signal transducer activity		4.187E-17	7.017E-15	5.850E-14	9.823E-14	233	1710
15	GO:0005216	ion channel activity		6.291E-17	9.839E-15	8.204E-14	1.476E-13	86	411
16	GO:0060089	molecular transducer activity		7.080E-17	1.038E-14	8.655E-14	1.661E-13	254	1925
17	GO:0005231	excitatory extracellular ligand-gated ion channel activity		1.219E-16	1.682E-14	1.402E-13	2.859E-13	28	56
18	GO:0005234	extracellular-glutamate-gated ion channel activity		1.806E-16	2.354E-14	1.962E-13	4.237E-13	17	20
19	GO:0015075	ion transmembrane transporter activity		4.117E-16	5.083E-14	4.238E-13	9.658E-13	136	835
20	GO:0022838	substrate-specific channel activity		5.239E-16	6.146E-14	5.124E-13	1.229E-12	86	425
21	GO:0032403	protein complex binding		5.803E-16	6.337E-14	5.284E-13	1.361E-12	160	1053
22	GO:0015267	channel activity		6.213E-16	6.337E-14	5.284E-13	1.458E-12	90	457
23	GO:0022803	passive transmembrane transporter activity		6.213E-16	6.337E-14	5.284E-13	1.458E-12	90	457
24	GO:0038023	signaling receptor activity		1.207E-15	1.180E-13	9.837E-13	2.831E-12	198	1418
25	GO:0004970	ionotropic glutamate receptor activity		1.943E-15	1.824E-13	1.520E-12	4.559E-12	16	19
26	GO:0004872	receptor activity		2.989E-15	2.697E-13	2.248E-12	7.011E-12	219	1635
27	GO:0030594	neurotransmitter receptor activity		6.149E-15	5.343E-13	4.455E-12	1.443E-11	34	92
28	GO:0022891	substrate-specific transmembrane transporter activity		1.299E-14	1.088E-12	9.073E-12	3.047E-11	140	907
29	GO:0022857	transmembrane transporter activity		2.073E-14	1.677E-12	1.398E-11	4.863E-11	148	985
30	GO:0004888	transmembrane signaling receptor activity		3.547E-14	2.774E-12	2.313E-11	8.322E-11	182	1311
31	GO:0042803	protein homodimerization activity		8.342E-14	6.216E-12	5.183E-11	1.957E-10	127	811
32	GO:0008092	cytoskeletal protein binding		8.478E-14	6.216E-12	5.183E-11	1.989E-10	134	874
33	GO:0022892	substrate-specific transporter activity		1.139E-13	8.097E-12	6.751E-11	2.672E-10	156	1080
34	GO:0035254	glutamate receptor binding		1.184E-13	8.171E-12	6.813E-11	2.778E-10	23	47
35	GO:0005215	transporter activity		1.309E-13	8.771E-12	7.313E-11	3.070E-10	175	1262
36	GO:0016597	amino acid binding		6.266E-13	4.083E-11	3.405E-10	1.470E-9	36	117
37	GO:0031406	carboxylic acid binding		7.058E-13	4.475E-11	3.731E-10	1.656E-9	54	234
38	GO:0008144	drug binding		8.488E-13	5.240E-11	4.369E-10	1.991E-9	39	136
39	GO:0043177	organic acid binding		1.214E-12	7.303E-11	6.090E-10	2.848E-9	54	237
40	GO:0001664	G-protein coupled receptor binding		2.468E-12	1.448E-10	1.207E-9	5.791E-9	58	270
41	GO:0016917	GABA receptor activity		3.181E-12	1.820E-10	1.518E-9	7.463E-9	15	22
42	GO:0070405	ammonium ion binding		3.453E-12	1.929E-10	1.608E-9	8.101E-9	28	78
43	GO:0016247	channel regulator activity		3.679E-11	2.007E-9	1.674E-8	8.631E-8	37	139
44	GO:0016595	glutamate binding		5.445E-11	2.903E-9	2.421E-8	1.277E-7	11	13
45	GO:0048037	cofactor binding		7.286E-11	3.799E-9	3.167E-8	1.709E-7	56	277
46	GO:0004890	GABA-A receptor activity		8.755E-11	4.465E-9	3.723E-8	2.054E-7	13	19
47	GO:0008324	cation transmembrane transporter activity		6.101E-10	3.045E-8	2.539E-7	1.431E-6	95	624
48	GO:0008289	lipid binding		1.676E-9	8.192E-8	6.830E-7	3.932E-6	101	691
49	GO:0098772	molecular function regulator		3.449E-9	1.651E-7	1.377E-6	8.092E-6	164	1315
50	GO:0033218	amide binding		4.025E-9	1.889E-7	1.575E-6	9.444E-6	56	307
2: GO: Biological Process [Display Chart] 9275 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0007268	synaptic transmission		4.820E-112	4.471E-108	4.342E-107	4.471E-108	274	760
2	GO:0007267	cell-cell signaling		2.234E-107	1.036E-103	1.006E-102	2.072E-103	358	1305
3	GO:0007610	behavior		8.205E-79	2.537E-75	2.464E-74	7.610E-75	246	834
4	GO:0048699	generation of neurons		1.555E-77	3.606E-74	3.502E-73	1.442E-73	375	1759
5	GO:0022008	neurogenesis		2.296E-77	4.259E-74	4.136E-73	2.129E-73	386	1848
6	GO:0048666	neuron development		2.013E-70	3.112E-67	3.023E-66	1.867E-66	311	1363
7	GO:0044708	single-organism behavior		3.462E-70	4.588E-67	4.456E-66	3.211E-66	174	481
8	GO:0030182	neuron differentiation		4.760E-70	5.519E-67	5.360E-66	4.415E-66	346	1634
9	GO:0050804	modulation of synaptic transmission		7.479E-70	7.708E-67	7.486E-66	6.937E-66	143	329
10	GO:0031175	neuron projection development		4.203E-69	3.899E-66	3.787E-65	3.899E-65	288	1211
11	GO:0051049	regulation of transport		2.054E-64	1.732E-61	1.682E-60	1.905E-60	367	1885
12	GO:0030030	cell projection organization		5.840E-57	4.514E-54	4.384E-53	5.416E-53	323	1642
13	GO:0048812	neuron projection morphogenesis		4.463E-54	3.184E-51	3.093E-50	4.140E-50	224	929
14	GO:1901700	response to oxygen-containing compound		7.839E-51	5.193E-48	5.044E-47	7.270E-47	316	1684
15	GO:0010243	response to organonitrogen compound		2.544E-50	1.573E-47	1.528E-46	2.360E-46	226	988
16	GO:0048667	cell morphogenesis involved in neuron differentiation		8.517E-50	4.937E-47	4.795E-46	7.900E-46	212	894
17	GO:0006811	ion transport		1.002E-49	5.466E-47	5.309E-46	9.293E-46	303	1595
18	GO:0009719	response to endogenous stimulus		2.695E-49	1.352E-46	1.313E-45	2.500E-45	320	1744
19	GO:0040011	locomotion		2.770E-49	1.352E-46	1.313E-45	2.569E-45	342	1932
20	GO:0046903	secretion		7.125E-49	3.304E-46	3.209E-45	6.609E-45	251	1194
21	GO:0061564	axon development		2.653E-48	1.172E-45	1.138E-44	2.461E-44	200	827
22	GO:1901698	response to nitrogen compound		5.259E-48	2.217E-45	2.153E-44	4.878E-44	234	1077
23	GO:0032940	secretion by cell		1.130E-47	4.556E-45	4.425E-44	1.048E-43	231	1059
24	GO:0007417	central nervous system development		4.487E-47	1.734E-44	1.684E-43	4.162E-43	216	956
25	GO:0060341	regulation of cellular localization		6.992E-47	2.594E-44	2.519E-43	6.485E-43	266	1341
26	GO:0007270	neuron-neuron synaptic transmission		1.088E-46	3.880E-44	3.768E-43	1.009E-42	78	146
27	GO:0050890	cognition		1.202E-46	4.130E-44	4.011E-43	1.115E-42	110	290
28	GO:0007409	axonogenesis		4.217E-45	1.397E-42	1.357E-41	3.911E-41	190	794
29	GO:0051960	regulation of nervous system development		9.715E-45	3.023E-42	2.936E-41	9.010E-41	198	855
30	GO:0032990	cell part morphogenesis		9.778E-45	3.023E-42	2.936E-41	9.069E-41	245	1208
31	GO:0048858	cell projection morphogenesis		1.660E-44	4.967E-42	4.824E-41	1.540E-40	242	1188
32	GO:0007611	learning or memory		2.424E-44	7.026E-42	6.824E-41	2.248E-40	101	258
33	GO:0010647	positive regulation of cell communication		1.054E-43	2.962E-41	2.877E-40	9.774E-40	303	1701
34	GO:0050767	regulation of neurogenesis		2.682E-43	7.315E-41	7.105E-40	2.487E-39	182	759
