1: GO: Molecular Function [Display Chart] 1170 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		8.803E-33	1.030E-29	7.872E-29	1.030E-29	101	1581
2	GO:0005125	cytokine activity		1.552E-18	9.080E-16	6.939E-15	1.816E-15	30	221
3	GO:0001664	G-protein coupled receptor binding		5.432E-17	1.944E-14	1.485E-13	6.355E-14	31	270
4	GO:0022804	active transmembrane transporter activity		6.645E-17	1.944E-14	1.485E-13	7.775E-14	35	356
5	GO:0042626	ATPase activity, coupled to transmembrane movement of substances		2.092E-16	4.493E-14	3.433E-13	2.448E-13	21	110
6	GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances		2.541E-16	4.493E-14	3.433E-13	2.973E-13	21	111
7	GO:0042802	identical protein binding		2.688E-16	4.493E-14	3.433E-13	3.145E-13	68	1336
8	GO:0005126	cytokine receptor binding		3.104E-16	4.540E-14	3.469E-13	3.632E-13	31	287
9	GO:0015399	primary active transmembrane transporter activity		1.335E-15	1.562E-13	1.194E-12	1.562E-12	21	120
10	GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity		1.335E-15	1.562E-13	1.194E-12	1.562E-12	21	120
11	GO:0043492	ATPase activity, coupled to movement of substances		2.663E-15	2.833E-13	2.165E-12	3.116E-12	21	124
12	GO:0022857	transmembrane transporter activity		7.027E-15	6.851E-13	5.236E-12	8.221E-12	55	985
13	GO:0019899	enzyme binding		3.284E-13	2.956E-11	2.259E-10	3.843E-10	76	1851
14	GO:0005215	transporter activity		4.258E-13	3.559E-11	2.720E-10	4.982E-10	60	1262
15	GO:0022892	substrate-specific transporter activity		1.271E-11	9.916E-10	7.578E-9	1.487E-8	52	1080
16	GO:0008509	anion transmembrane transporter activity		1.557E-11	1.138E-9	8.700E-9	1.821E-8	25	278
17	GO:0015075	ion transmembrane transporter activity		3.327E-11	2.290E-9	1.750E-8	3.893E-8	44	835
18	GO:0022891	substrate-specific transmembrane transporter activity		4.090E-11	2.658E-9	2.032E-8	4.785E-8	46	907
19	GO:0016887	ATPase activity		1.524E-10	9.385E-9	7.172E-8	1.783E-7	30	441
