1: GO: Molecular Function [Display Chart] 1114 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		2.043E-39	2.276E-36	1.728E-35	2.276E-36	113	1581
2	GO:0005125	cytokine activity		1.787E-28	9.953E-26	7.558E-25	1.991E-25	40	221
3	GO:0005126	cytokine receptor binding		5.025E-22	1.866E-19	1.417E-18	5.598E-19	38	287
4	GO:0019899	enzyme binding		2.505E-18	6.976E-16	5.297E-15	2.790E-15	89	1851
5	GO:0008083	growth factor activity		3.479E-15	7.752E-13	5.886E-12	3.876E-12	24	166
6	GO:0001664	G-protein coupled receptor binding		1.323E-14	2.456E-12	1.865E-11	1.474E-11	29	270
7	GO:0042802	identical protein binding		5.010E-13	7.973E-11	6.054E-10	5.581E-10	64	1336
8	GO:0060089	molecular transducer activity		6.423E-13	8.945E-11	6.792E-10	7.156E-10	80	1925
9	GO:0004871	signal transducer activity		8.390E-13	1.038E-10	7.886E-10	9.346E-10	74	1710
10	GO:0001530	lipopolysaccharide binding		3.037E-12	3.384E-10	2.569E-9	3.384E-9	10	23
11	GO:0016209	antioxidant activity		4.528E-12	4.586E-10	3.482E-9	5.044E-9	15	75
12	GO:0046983	protein dimerization activity		1.356E-11	1.259E-9	9.561E-9	1.511E-8	60	1298
13	GO:0004896	cytokine receptor activity		7.120E-11	6.101E-9	4.633E-8	7.931E-8	15	90
14	GO:0008201	heparin binding		1.453E-10	1.156E-8	8.780E-8	1.619E-7	19	164
15	GO:0019955	cytokine binding		1.582E-10	1.175E-8	8.919E-8	1.762E-7	15	95
16	GO:0002020	protease binding		2.717E-10	1.891E-8	1.436E-7	3.026E-7	16	115
17	GO:1901681	sulfur compound binding		3.191E-10	2.091E-8	1.588E-7	3.555E-7	23	257
18	GO:0004872	receptor activity		3.794E-10	2.348E-8	1.783E-7	4.226E-7	66	1635
19	GO:0005539	glycosaminoglycan binding		4.209E-10	2.468E-8	1.874E-7	4.689E-7	21	216
20	GO:0038023	signaling receptor activity		4.658E-10	2.594E-8	1.970E-7	5.188E-7	60	1418
21	GO:0046982	protein heterodimerization activity		7.183E-10	3.810E-8	2.893E-7	8.001E-7	34	560
22	GO:0005179	hormone activity		7.532E-10	3.814E-8	2.896E-7	8.390E-7	16	123
23	GO:0019956	chemokine binding		5.906E-9	2.861E-7	2.172E-6	6.579E-6	7	16
24	GO:0070851	growth factor receptor binding		7.019E-9	3.258E-7	2.474E-6	7.819E-6	16	143
25	GO:0001637	G-protein coupled chemoattractant receptor activity		8.700E-9	3.618E-7	2.747E-6	9.692E-6	8	25
26	GO:0004950	chemokine receptor activity		8.700E-9	3.618E-7	2.747E-6	9.692E-6	8	25
27	GO:0042803	protein homodimerization activity		8.769E-9	3.618E-7	2.747E-6	9.769E-6	40	811
28	GO:0020037	heme binding		1.521E-8	6.051E-7	4.595E-6	1.694E-5	15	131
29	GO:0042056	chemoattractant activity		1.730E-8	6.647E-7	5.047E-6	1.928E-5	8	27
30	GO:0046906	tetrapyrrole binding		3.761E-8	1.375E-6	1.044E-5	4.190E-5	15	140
31	GO:0019958	C-X-C chemokine binding		3.825E-8	1.375E-6	1.044E-5	4.261E-5	5	7
32	GO:0008289	lipid binding		4.185E-8	1.457E-6	1.106E-5	4.662E-5	35	691
33	GO:0004888	transmembrane signaling receptor activity		6.790E-8	2.292E-6	1.740E-5	7.564E-5	52	1311
34	GO:0004866	endopeptidase inhibitor activity		9.002E-8	2.949E-6	2.240E-5	1.003E-4	16	171
35	GO:0042379	chemokine receptor binding		9.362E-8	2.980E-6	2.263E-5	1.043E-4	10	59
36	GO:0051434	BH3 domain binding		1.070E-7	3.310E-6	2.514E-5	1.192E-4	4	4
37	GO:0061134	peptidase regulator activity		1.187E-7	3.572E-6	2.713E-5	1.322E-4	18	221
38	GO:0061135	endopeptidase regulator activity		1.454E-7	4.261E-6	3.236E-5	1.619E-4	16	177
39	GO:0008144	drug binding		1.777E-7	4.980E-6	3.782E-5	1.980E-4	14	136
40	GO:0050839	cell adhesion molecule binding		1.795E-7	4.980E-6	3.782E-5	2.000E-4	17	203
41	GO:0030414	peptidase inhibitor activity		1.833E-7	4.980E-6	3.782E-5	2.042E-4	16	180
42	GO:0032403	protein complex binding		1.895E-7	5.027E-6	3.817E-5	2.111E-4	44	1053
43	GO:0051400	BH domain binding		4.389E-7	1.137E-5	8.634E-5	4.890E-4	5	10
44	GO:0098772	molecular function regulator		4.527E-7	1.146E-5	8.702E-5	5.043E-4	50	1315
45	GO:0001875	lipopolysaccharide receptor activity		5.177E-7	1.282E-5	9.731E-5	5.767E-4	4	5
46	GO:0001618	virus receptor activity		5.678E-7	1.375E-5	1.044E-4	6.326E-4	10	71
47	GO:0044877	macromolecular complex binding		7.773E-7	1.842E-5	1.399E-4	8.659E-4	56	1578
48	GO:0008528	G-protein coupled peptide receptor activity		8.176E-7	1.897E-5	1.441E-4	9.108E-4	13	132
49	GO:0001653	peptide receptor activity		1.058E-6	2.405E-5	1.826E-4	1.178E-3	13	135
50	GO:0008009	chemokine activity		1.789E-6	3.985E-5	3.026E-4	1.993E-3	8	47
