1: GO: Molecular Function [Display Chart] 1146 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005126	cytokine receptor binding		8.221E-63	9.422E-60	7.181E-59	9.422E-60	77	287
2	GO:0005102	receptor binding		5.893E-62	3.377E-59	2.574E-58	6.754E-59	153	1581
3	GO:0005125	cytokine activity		9.626E-56	3.677E-53	2.803E-52	1.103E-52	65	221
4	GO:0060089	molecular transducer activity		2.700E-29	7.737E-27	5.897E-26	3.095E-26	122	1925
5	GO:0042379	chemokine receptor binding		4.131E-28	9.469E-26	7.217E-25	4.734E-25	26	59
6	GO:0004871	signal transducer activity		2.823E-27	5.391E-25	4.109E-24	3.235E-24	111	1710
7	GO:0004872	receptor activity		4.171E-27	6.829E-25	5.205E-24	4.780E-24	108	1635
8	GO:0038023	signaling receptor activity		2.682E-25	3.842E-23	2.929E-22	3.074E-22	97	1418
9	GO:0004896	cytokine receptor activity		3.714E-25	4.729E-23	3.605E-22	4.256E-22	28	90
10	GO:0008009	chemokine activity		1.068E-24	1.224E-22	9.331E-22	1.224E-21	22	47
11	GO:0001664	G-protein coupled receptor binding		4.045E-23	4.214E-21	3.212E-20	4.635E-20	41	270
12	GO:0004888	transmembrane signaling receptor activity		1.083E-21	1.035E-19	7.886E-19	1.242E-18	87	1311
13	GO:0070851	growth factor receptor binding		4.830E-17	4.257E-15	3.245E-14	5.535E-14	26	143
14	GO:0048020	CCR chemokine receptor binding		8.978E-15	7.349E-13	5.601E-12	1.029E-11	14	36
15	GO:0046983	protein dimerization activity		1.688E-11	1.272E-9	9.693E-9	1.935E-8	67	1298
16	GO:0019955	cytokine binding		1.793E-11	1.272E-9	9.693E-9	2.055E-8	17	95
17	GO:0045236	CXCR chemokine receptor binding		1.887E-11	1.272E-9	9.693E-9	2.162E-8	9	17
18	GO:0019899	enzyme binding		1.495E-10	9.519E-9	7.255E-8	1.713E-7	82	1851
19	GO:0042802	identical protein binding		4.268E-10	2.574E-8	1.962E-7	4.891E-7	65	1336
20	GO:0004953	icosanoid receptor activity		4.742E-10	2.717E-8	2.071E-7	5.434E-7	8	16
21	GO:0008083	growth factor activity		5.015E-10	2.737E-8	2.086E-7	5.747E-7	20	166
