1: GO: Molecular Function [Display Chart] 1239 annotations before applied cutoff / 18638 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0005102	receptor binding		3.967E-50	4.916E-47	3.785E-46	4.916E-47	147	1581
2	GO:0005125	cytokine activity		1.501E-47	9.299E-45	7.160E-44	1.860E-44	61	221
3	GO:0005126	cytokine receptor binding		2.433E-41	1.005E-38	7.737E-38	3.015E-38	62	287
4	GO:0060089	molecular transducer activity		1.491E-19	4.618E-17	3.556E-16	1.847E-16	112	1925
5	GO:0004872	receptor activity		7.438E-19	1.843E-16	1.419E-15	9.215E-16	100	1635
6	GO:0019955	cytokine binding		2.755E-18	5.690E-16	4.381E-15	3.414E-15	24	95
7	GO:0004871	signal transducer activity		1.655E-17	2.930E-15	2.256E-14	2.051E-14	100	1710
8	GO:0038023	signaling receptor activity		6.297E-17	9.753E-15	7.509E-14	7.802E-14	88	1418
9	GO:0004896	cytokine receptor activity		2.113E-15	2.909E-13	2.239E-12	2.618E-12	21	90
10	GO:0070851	growth factor receptor binding		5.447E-14	6.749E-12	5.197E-11	6.749E-11	24	143
11	GO:0042802	identical protein binding		1.089E-12	1.227E-10	9.446E-10	1.349E-9	76	1336
12	GO:0004888	transmembrane signaling receptor activity		1.195E-12	1.234E-10	9.500E-10	1.481E-9	75	1311
13	GO:0005031	tumor necrosis factor-activated receptor activity		2.459E-12	2.176E-10	1.676E-9	3.047E-9	11	24
14	GO:0005035	death receptor activity		2.459E-12	2.176E-10	1.676E-9	3.047E-9	11	24
15	GO:0042605	peptide antigen binding		4.456E-12	3.681E-10	2.834E-9	5.521E-9	12	32
16	GO:0046983	protein dimerization activity		5.702E-12	4.245E-10	3.268E-9	7.065E-9	73	1298
17	GO:0042379	chemokine receptor binding		5.824E-12	4.245E-10	3.268E-9	7.216E-9	15	59
18	GO:0019899	enzyme binding		6.747E-12	4.644E-10	3.576E-9	8.359E-9	92	1851
19	GO:0008009	chemokine activity		4.760E-11	3.104E-9	2.390E-8	5.898E-8	13	47
20	GO:0001664	G-protein coupled receptor binding		7.887E-11	4.886E-9	3.762E-8	9.772E-8	28	270
21	GO:0046982	protein heterodimerization activity		2.187E-10	1.290E-8	9.933E-8	2.709E-7	41	560
22	GO:0002020	protease binding		2.650E-10	1.493E-8	1.149E-7	3.284E-7	18	115
23	GO:0048020	CCR chemokine receptor binding		4.568E-10	2.461E-8	1.895E-7	5.659E-7	11	36
24	GO:0003823	antigen binding		5.433E-10	2.805E-8	2.160E-7	6.732E-7	18	120
25	GO:0008134	transcription factor binding		1.805E-9	8.945E-8	6.887E-7	2.236E-6	40	577
26	GO:0042834	peptidoglycan binding		3.062E-9	1.459E-7	1.123E-6	3.794E-6	7	12
27	GO:0042277	peptide binding		3.238E-9	1.475E-7	1.136E-6	4.012E-6	26	277
28	GO:0001637	G-protein coupled chemoattractant receptor activity		3.453E-9	1.475E-7	1.136E-6	4.278E-6	9	25
29	GO:0004950	chemokine receptor activity		3.453E-9	1.475E-7	1.136E-6	4.278E-6	9	25
30	GO:0016019	peptidoglycan receptor activity		7.867E-9	3.249E-7	2.502E-6	9.747E-6	5	5
31	GO:0005149	interleukin-1 receptor binding		9.887E-9	3.952E-7	3.043E-6	1.225E-5	8	20
32	GO:0061134	peptidase regulator activity		1.843E-8	7.135E-7	5.494E-6	2.283E-5	22	221
33	GO:0032813	tumor necrosis factor receptor superfamily binding		2.100E-8	7.884E-7	6.070E-6	2.602E-5	11	50
34	GO:0033218	amide binding		2.735E-8	9.968E-7	7.675E-6	3.389E-5	26	307
35	GO:0004866	endopeptidase inhibitor activity		2.972E-8	1.052E-6	8.100E-6	3.682E-5	19	171
36	GO:0019956	chemokine binding		4.070E-8	1.401E-6	1.079E-5	5.043E-5	7	16
37	GO:0061135	endopeptidase regulator activity		5.202E-8	1.742E-6	1.341E-5	6.445E-5	19	177
38	GO:0042803	protein homodimerization activity		5.495E-8	1.747E-6	1.345E-5	6.808E-5	46	811
39	GO:0005164	tumor necrosis factor receptor binding		5.498E-8	1.747E-6	1.345E-5	6.813E-5	9	33
40	GO:0038187	pattern recognition receptor activity		6.777E-8	2.012E-6	1.549E-5	8.396E-5	7	17
41	GO:0008329	signaling pattern recognition receptor activity		6.777E-8	2.012E-6	1.549E-5	8.396E-5	7	17
42	GO:0030414	peptidase inhibitor activity		6.819E-8	2.012E-6	1.549E-5	8.449E-5	19	180
43	GO:0050839	cell adhesion molecule binding		9.750E-8	2.809E-6	2.163E-5	1.208E-4	20	203
44	GO:0032395	MHC class II receptor activity		1.485E-7	3.917E-6	3.016E-5	1.840E-4	6	12
45	GO:0050786	RAGE receptor binding		1.485E-7	3.917E-6	3.016E-5	1.840E-4	6	12
46	GO:0001653	peptide receptor activity		1.504E-7	3.917E-6	3.016E-5	1.864E-4	16	135
47	GO:0044877	macromolecular complex binding		1.525E-7	3.917E-6	3.016E-5	1.889E-4	71	1578
48	GO:0019957	C-C chemokine binding		1.549E-7	3.917E-6	3.016E-5	1.919E-4	5	7
49	GO:0046977	TAP binding		1.549E-7	3.917E-6	3.016E-5	1.919E-4	5	7
50	GO:0005539	glycosaminoglycan binding		2.692E-7	6.565E-6	5.055E-5	3.336E-4	20	216
2: GO: Biological Process [Display Chart] 7104 annotations before applied cutoff / 18601 genes in category
ID	Name	Source	pValue	FDR B&H	FDR B&Y	Bonferroni	Genes from Input	Genes in Annotation
1	GO:0006952	defense response		2.657E-103	1.888E-99	1.783E-98	1.888E-99	225	1901
2	GO:0006954	inflammatory response		2.109E-99	7.490E-96	7.075E-95	1.498E-95	147	689
3	GO:0006955	immune response		1.995E-96	4.724E-93	4.462E-92	1.417E-92	211	1762
4	GO:0001816	cytokine production		1.316E-76	2.337E-73	2.207E-72	9.346E-73	127	689
5	GO:0009607	response to biotic stimulus		6.224E-76	8.843E-73	8.353E-72	4.422E-72	147	994
6	GO:0001817	regulation of cytokine production		7.523E-76	8.907E-73	8.414E-72	5.344E-72	121	619
7	GO:0002682	regulation of immune system process		5.743E-75	5.829E-72	5.506E-71	4.080E-71	181	1626
8	GO:0009617	response to bacterium		7.372E-75	6.546E-72	6.183E-71	5.237E-71	116	567
9	GO:0051707	response to other organism		2.152E-74	1.528E-71	1.444E-70	1.528E-70	143	955
10	GO:0043207	response to external biotic stimulus		2.152E-74	1.528E-71	1.444E-70	1.528E-70	143	955
11	GO:0002684	positive regulation of immune system process		9.701E-73	6.265E-70	5.918E-69	6.891E-69	144	998
