OMIM Search - 'asthma',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#600807,"ASTHMA, SUSCEPTIBILITY TO","ASTHMA, PROTECTION AGAINST, INCLUDED;;ASTHMA, DIMINISHED RESPONSE TO ANTILEUKOTRIENE TREATMENT IN, INCLUDED","2q22.1, 4q13.3, 5q31.1, 5q32, 5q32, 6p22.1, 6p21.33, 6p12.3, 10q11.21, 13q14.2, 17q12",,
#208550,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE","ASTHMA, ASPIRIN-INDUCED, SUSCEPTIBILITY TO, INCLUDED;;ASTHMA AND NASAL POLYPS, INCLUDED","14q22.1, 17q21.32",,
%610906,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 4",,1p31,1:60800000-84400000,100188823
#147050,"IgE RESPONSIVENESS, ATOPIC; IGER","IgE, ELEVATED LEVEL OF, INCLUDED;;ATOPY, SUSCEPTIBILITY TO, INCLUDED;;ATOPIC HYPERSENSITIVITY, INCLUDED","1q24.2, 5q32, 5q33.3, 6p12.3, 11q12.1, 13q14.2, 16p12.1, 16p12.1",,
#611960,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7; ASRT7",,1q32.1,,
#607277,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 1",,14q22.1,,
#611064,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5",,12q14.3,,
#608584,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 2",,7p14.3,,
%611403,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 6",,17q21,17:39800000-52100000,100188840
%613207,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 8; ASRT8","RHINOCONJUNCTIVITIS, SUSCEPTIBILITY TO, INCLUDED",9q33,9:114900000-127500000,100415896
%609958,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 3",,2p16,2:47500000-61000000,100188801
%605804,"DERMATITIS, ATOPIC, 3; ATOD3",,20p,,117187
208600,"ASTHMA, SHORT STATURE, AND ELEVATED IgA",,,,
*608595,NEUROPEPTIDE S RECEPTOR 1; NPSR1,,7p14.3,7:34658238-34878331,387129
*608596,ASTHMA-ASSOCIATED ALTERNATIVELY SPLICED GENE 1,,7p14.3,7:34346511-34834330,404744
*147683,INTERLEUKIN 13; IL13,,5q31.1,5:132658172-132661108,3596
+109690,BETA-2-ADRENERGIC RECEPTOR; ADRB2,"BETA-2-ADRENORECEPTOR AGONIST, REDUCED RESPONSE TO, INCLUDED",5q32,5:148826592-148828633,154
*191160,TUMOR NECROSIS FACTOR; TNF,,6p21.33,6:31575566-31578335,7124
*147781,INTERLEUKIN 4 RECEPTOR; IL4R,,16p12.1,16:27313667-27364777,3566
%603165,"DERMATITIS, ATOPIC","DERMATITIS, ATOPIC, 1, INCLUDED; ATOD1, INCLUDED",3q21,3:122200000-129500000,64069
*601512,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 6; STAT6,"STAT6b, INCLUDED;;STAT6c, INCLUDED;;STAT6/NAB2 FUSION GENE, INCLUDED",12q13.3,12:57095403-57111432,6778
*601690,"PHOSPHOLIPASE A2, GROUP VII; PLA2G7",,6p12.3,6:46704315-46735700,7941
*142871,"HLA-G HISTOCOMPATIBILITY ANTIGEN, CLASS I; HLA-G",,6p22.1,6:29826978-29831121,3135
*607114,A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 33; ADAM33,,20p13,20:3667972-3682130,80332
%147061,"IMMUNOGLOBULIN E CONCENTRATION, SERUM; IGES",,5q31.1,5:131200000-136900000,3478
*604459,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 3; IRAK3,,12q14.3,12:66189197-66254621,11213
*601156,"CHEMOKINE, CC MOTIF, LIGAND 11; CCL11",,17q12,17:34285667-34288179,6356
*120900,COMPLEMENT COMPONENT 5; C5,,9q33.2,9:120952334-121074924,727
*192020,"SECRETOGLOBIN, FAMILY 1A, MEMBER 1; SCGB1A1",,11q12.3,11:62419034-62423205,7356
