tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1586	0	live	CYP17A1	CPT7, CYP17, P450C17, S17AH	cytochrome P450 family 17 subfamily A member 1	17-alpha-hydroxyprogesterone aldolase|CYPXVII|cytochrome P450 17A1|cytochrome P450, family 17, subfamily A, polypeptide 1|cytochrome P450, subfamily XVII (steroid 17-alpha-hydroxylase), adrenal hyperplasia|cytochrome P450-C17|cytochrome P450c17|cytochrome p450 XVIIA1|steroid 17-alpha-monooxygenase	10q24.3	10	NC_000010.11	102830531	102837533	minus	8	609300	
9606	Homo sapiens	1589	0	live	CYP21A2	CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B	cytochrome P450 family 21 subfamily A member 2	21-OHase|cytochrome P450 XXI|cytochrome P450, family 21, subfamily A, polypeptide 2|cytochrome P450, subfamily XXIA (steroid 21-hydroxylase, congenital adrenal hyperplasia), polypeptide 2|cytochrome P450-C21B|steroid 21 hydroxylase|steroid 21-monooxygenase	6p21.3	6	NC_000006.12	32038316	32041670	plus	10	613815	
9606	Homo sapiens	79798	0	live	ARMC5	AIMAH2	armadillo repeat containing 5		16p11.2	16	NC_000016.10	31458273	31467167	plus	8	615549	
9606	Homo sapiens	1583	0	live	CYP11A1	CYP11A, CYPXIA1, P450SCC	cytochrome P450 family 11 subfamily A member 1	cholesterol 20-22 desmolase|cholesterol monooxygenase (side-chain cleaving)|cytochrome P450 11A1|cytochrome P450 family 11 subfamily A polypeptide 1|cytochrome P450(scc)|cytochrome P450, family 11, subfamily A, polypeptide 1|cytochrome P450, subfamily XIA (cholesterol side chain cleavage)|cytochrome P450C11A1|steroid 20-22-lyase	15q23-q24	15	NC_000015.10	74337762	74367740	minus	10	118485	
9606	Homo sapiens	3643	0	live	INSR	CD220, HHF5	insulin receptor	IR	19p13.3-p13.2	19	NC_000019.10	7112255	7294000	minus	22	147670	
9606	Homo sapiens	6770	0	live	STAR	STARD1	steroidogenic acute regulatory protein	START domain containing 1|START domain-containing protein 1|StAR related lipid transfer (START) domain containing 1|StAR-related lipid transfer (START) domain containing 1|cholesterol trafficker|mitochondrial steroid acute regulatory protein|steroid acute regulatory protein|steroidogenic acute regulator	8p11.2	8	NC_000008.11	38142700	38151265	minus	7	600617	
9606	Homo sapiens	1584	0	live	CYP11B1	CPN1, CYP11B, FHI, P450C11	cytochrome P450 family 11 subfamily B member 1	CYPXIB1|cytochrome P-450c11|cytochrome P450, family 11, subfamily B, polypeptide 1|cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 1|cytochrome P450C11|cytochrome p450 XIB1|steroid 11-beta-hydroxylase|steroid 11-beta-monooxygenase	8q21	8	NC_000008.11	142872354	142879846	minus	11	610613	
9606	Homo sapiens	2908	0	live	NR3C1	GCCR, GCR, GCRST, GR, GRL	nuclear receptor subfamily 3 group C member 1	glucocorticoid nuclear receptor variant 1|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	5q31.3	5	NC_000005.10	143277931	143435512	minus	16	138040	
9606	Homo sapiens	5979	0	live	RET	CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC-ELE1, RET51, RET	ret proto-oncogene	CUX1/RET fusion|RET receptor tyrosine kinase|RET transforming sequence|cadherin family member 12|cadherin-related family member 16|hydroxyaryl-protein kinase|proto-oncogene c-Ret|rearranged during transfection|receptor tyrosine kinase|ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	10q11.2	10	NC_000010.11	43077027	43130351	plus	21	164761	
9606	Homo sapiens	2099	0	live	ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1	estrogen receptor 1	ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|estrogen receptor alpha splice variant, CTERP-1|estrogen receptor alpha splice variant, ERalphaDup5|estrogen receptor alpha splice variant, ERalphai45a|estrogen receptor alpha splice variant, ERalphai45bL|estrogen receptor alpha splice variant, ERalphai45bS|estrogen receptor alpha splice variant, ERalphai45c|estrogen receptor alpha splice variant, ERalphai56|estrogen receptor alpha splice variant, ERalphai67|nuclear receptor subfamily 3 group A member 1	6q25.1	6	NC_000006.12	151690496	152103274	plus	18	133430	
9606	Homo sapiens	367	0	live	AR	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR	androgen receptor	androgen nuclear receptor variant 2|androgen receptor splice variant 4b|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4	Xq12	X	NC_000023.11	67544032	67730619	plus	9	313700	
9606	Homo sapiens	5728	0	live	PTEN	10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, TEP1, PTEN	phosphatase and tensin homolog	MMAC1 phosphatase and tensin homolog deleted on chromosome 10|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	10q23.3	10	NC_000010.11	87863438	87971930	plus	16	601728	
10090	Mus musculus	12387	0	live	Ctnnb1	Bfc, Catnb, Mesc	catenin (cadherin associated protein), beta 1	beta-catenin	9 72.19 cM	9	NC_000075.6	120933400	120960507	plus	15		
9606	Homo sapiens	1956	0	live	EGFR	ERBB, ERBB1, HER1, NISBD2, PIG61, mENA	epidermal growth factor receptor	avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|cell growth inhibiting protein 40|cell proliferation-inducing protein 61|erb-b2 receptor tyrosine kinase 1|proto-oncogene c-ErbB-1|receptor tyrosine-protein kinase erbB-1	7p12	7	NC_000007.14	55019032	55207338	plus	30	131550	
9606	Homo sapiens	7421	0	live	VDR	NR1I1, PPP1R163	vitamin D (1,25- dihydroxyvitamin D3) receptor	1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D nuclear receptor variant 1|vitamin D receptor	12q13.11	12	NC_000012.12	47841537	47905031	minus	11	601769	
9606	Homo sapiens	1499	0	live	CTNNB1	CTNNB, MRD19, armadillo	catenin beta 1	catenin (cadherin-associated protein), beta 1|catenin (cadherin-associated protein), beta 1, 88kDa	3p21	3	NC_000003.12	41199451	41240448	plus	17	116806	
9606	Homo sapiens	3762	0	live	KCNJ5	CIR, GIRK4, KATP1, KIR3.4, LQT13	potassium voltage-gated channel subfamily J member 5	IRK-4|cardiac ATP-sensitive potassium channel|heart KATP channel|inward rectifier K+ channel KIR3.4|potassium channel, inwardly rectifying subfamily J, member 5|potassium inwardly-rectifying channel, subfamily J, member 5	11q24	11	NC_000011.10	128891418	128921163	plus	5	600734	
9606	Homo sapiens	1585	0	live	CYP11B2	ALDOS, CPN2, CYP11B, CYP11BL, CYPXIB2, P-450C18, P450C18, P450aldo	cytochrome P450 family 11 subfamily B member 2	aldosterone synthase|aldosterone-synthesizing enzyme|cytochrome P-450Aldo|cytochrome P-450C18|cytochrome P450, family 11, subfamily B, polypeptide 2|cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 2|mitochondrial cytochrome P450, family 11, subfamily B, polypeptide 2|steroid 11-beta-monooxygenase|steroid 11-beta/18-hydroxylase|steroid 18-hydroxylase, aldosterone synthase, P450C18, P450aldo	8q21-q22	8	NC_000008.11	142910558	142917862	minus	10	124080	
9606	Homo sapiens	7422	0	live	VEGFA	MVCD1, VEGF, VPF	vascular endothelial growth factor A	vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor	6p12	6	NC_000006.12	43770209	43786487	plus	9	192240	
9606	Homo sapiens	6390	0	live	SDHB	CWS2, IP, PGL4, SDH, SDH1, SDH2, SDHIP	succinate dehydrogenase complex iron sulfur subunit B	iron-sulfur subunit of complex II|succinate dehydrogenase [ubiquinone] iron-sulfur subunit|succinate dehydrogenase complex subunit B, iron sulfur (Ip)|succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	1p36.1-p35	1	NC_000001.11	17018722	17054170	minus	8	185470	
9606	Homo sapiens	7490	0	live	WT1	AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33	Wilms tumor 1	Wilms tumor protein isoform Ex4a(+)	11p13	11	NC_000011.10	32387775	32435535	minus	11	607102	
9606	Homo sapiens	3479	0	live	IGF1	IGF-I, IGFI, MGF	insulin like growth factor 1	insulin-like growth factor 1 (somatomedin C)|insulin-like growth factor IB|mechano growth factor|somatomedin-C	12q23.2	12	NC_000012.12	102395867	102481786	minus	7	147440	
9606	Homo sapiens	5443	0	live	POMC	ACTH, CLIP, LPH, MSH, NPP, POC	proopiomelanocortin	adrenocorticotropic hormone|adrenocorticotropin|alpha-MSH|alpha-melanocyte-stimulating hormone|beta-LPH|beta-MSH|beta-endorphin|beta-melanocyte-stimulating hormone|corticotropin-like intermediary peptide|corticotropin-lipotropin|gamma-LPH|gamma-MSH|lipotropin beta|lipotropin gamma|melanotropin alpha|melanotropin beta|melanotropin gamma|met-enkephalin|opiomelanocortin prepropeptide|pro-ACTH-endorphin|proopiomelanocortin preproprotein	2p23.3	2	NC_000002.12	25160853	25168871	minus	4	176830	
9606	Homo sapiens	50940	0	live	PDE11A	PPNAD2	phosphodiesterase 11A	cAMP and cGMP cyclic nucleotide phosphodiesterase 11A	2q31.2	2	NC_000002.12	177623249	178108339	minus	24	604961	
9606	Homo sapiens	7428	0	live	VHL	HRCA1, RCA11, pVHL, VHL	von Hippel-Lindau tumor suppressor	elongin binding protein|protein G7|von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	3p25.3	3	NC_000003.12	10141635	10153670	plus	4	608537	
9606	Homo sapiens	595	0	live	CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	11q13	11	NC_000011.10	69641105	69654474	plus	6	168461	
9606	Homo sapiens	2100	0	live	ESR2	ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2	estrogen receptor 2 (ER beta)	estrogen receptor beta 4|nuclear receptor subfamily 3 group A member 2	14q23.2	14	NC_000014.9	64172925	64338550	minus	20	601663	
9606	Homo sapiens	1588	0	live	CYP19A1	ARO, ARO1, CPV1, CYAR, CYP19, CYPXIX, P-450AROM	cytochrome P450 family 19 subfamily A member 1	cytochrome P-450AROM|cytochrome P450 19A1|cytochrome P450, family 19, subfamily A, polypeptide 1|cytochrome P450, subfamily XIX (aromatization of androgens)|estrogen synthase|estrogen synthetase|flavoprotein-linked monooxygenase|microsomal monooxygenase	15q21.1	15	NC_000015.10	51208057	51338598	minus	13	107910	
9606	Homo sapiens	55654	0	live	TMEM127		transmembrane protein 127		2q11.2	2	NC_000002.12	96250208	96266013	minus	4	613403	
9606	Homo sapiens	3973	0	live	LHCGR	HHG, LCGR, LGR2, LH/CG-R, LH/CGR, LHR, LHRHR, LSH-R, ULG5	luteinizing hormone/choriogonadotropin receptor	hypergonadotropic hypogonadism|lutropin/choriogonadotropin receptor	2p21	2	NC_000002.12	48686774	48755741	minus	14	152790	
9606	Homo sapiens	3106	0	live	HLA-B	AS, Bw-47, Bw-50, HLAB, SPDA1	major histocompatibility complex, class I, B	HLA class I histocompatibility antigen, B alpha chain|HLA class I histocompatibility antigen, B-47 alpha chain|HLA class I histocompatibility antigen, B-50 alpha chain|HLA class I histocompatibility antigen, B-82 alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class I antigen B*47|MHC class I antigen B*50|MHC class I antigen B*82|MHC class I antigen GN00104|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|leukocyte antigen class I-B|lymphocyte antigen|truncated MHC class I antigen	6p21.3	6	NC_000006.12	31353868	31357212	minus	8	142830	
9606	Homo sapiens	3952	0	live	LEP	LEPD, OB, OBS	leptin	leptin (murine obesity homolog)|leptin (obesity homolog, mouse)|obese protein|obese, mouse, homolog of|obesity factor	7q31.3	7	NC_000007.14	128241202	128257629	plus	3	164160	
9606	Homo sapiens	5447	0	live	POR	CPR, CYPOR, P450R	P450 (cytochrome) oxidoreductase	NADPH-dependent cytochrome P450 reductase	7q11.2	7	NC_000007.14	75915102	75986855	plus	16	124015	
10090	Mus musculus	16001	0	live	Igf1r	A330103N21Rik, CD221, D930020L01, IGF-1R, hyft	insulin-like growth factor I receptor	IGF-I receptor|line 186	7 37.27 cM	7	NC_000073.6	67952257	68233668	plus	23		
9606	Homo sapiens	1590	0	live	CYP21A1P	CYP21A, CYP21P, P450c21A	cytochrome P450 family 21 subfamily A member 1, pseudogene	cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene|cytochrome P450, subfamily XXI (steroid 21-hydroxylase) pseudogene|cytochrome P450, subfamily XXIA (steroid 21-hydroxylase), polypeptide 1 pseudogene	6p21.3	6	NC_000006.12	32005636	32008909	plus	8		
