tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	267012	0	live	DAOA	LG72, SG72	D-amino acid oxidase activator	G72 transcript|schizophrenia- and bipolar disorder-associated protein G72	13q34	13	NC_000013.11	105465867	105491034	plus	7	607408	
9606	Homo sapiens	775	0	live	CACNA1C	CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS	calcium voltage-gated channel subunit alpha1 C	DHPR, alpha-1 subunit|calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle|calcium channel, cardic dihydropyridine-sensitive, alpha-1 subunit|calcium channel, voltage-dependent, L type, alpha 1C subunit|voltage-dependent L-type Ca2+ channel alpha 1 subunit|voltage-gated L-type calcium channel Cav1.2 alpha 1 subunit, splice variant 10*	12p13.3	12	NC_000012.12	1970786	2697949	plus	56	114205	
9606	Homo sapiens	288	0	live	ANK3	ANKYRIN-G, MRT37	ankyrin 3, node of Ranvier (ankyrin G)	ankyrin G119	10q21	10	NC_000010.11	60026298	60733526	minus	60	600465	
9606	Homo sapiens	3133	0	live	HLA-E	EA1.2, EA2.1, HLA-6.2, MHC, QA1	major histocompatibility complex, class I, E	HLA class I histocompatibility antigen, E alpha chain|MHC HLA-E alpha-1|MHC HLA-E alpha-2.1|MHC class I antigen E|lymphocyte antigen	6p21.3	6	NC_000006.12	30489406	30494205	plus	8	143010	
9606	Homo sapiens	8379	0	live	MAD1L1	MAD1, PIG9, TP53I9, TXBP181	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1-like protein 1|mitotic arrest deficient 1-like protein 1|mitotic checkpoint MAD1 protein homolog|mitotic-arrest deficient 1, yeast, homolog-like 1|tax-binding protein 181|tumor protein p53 inducible protein 9	7p22	7	NC_000007.14	1815792	2232948	minus	25	602686	
9606	Homo sapiens	23345	0	live	SYNE1	8B, ARCA1, C6orf98, CPG2, EDMD4, MYNE1, Nesp1, SCAR8, dJ45H2.2	spectrin repeat containing, nuclear envelope 1	CPG2 full length|enaptin|myocyte nuclear envelope protein 1|nesprin 1|synaptic nuclear envelope protein 1|synaptic nuclei expressed gene 1	6q25	6	NC_000006.12	152121684	152637399	minus	152	608441	
9606	Homo sapiens	3697	0	live	ITIH1	H1P, IATIH, IGHEP1, ITI-HC1, ITIH, SHAP	inter-alpha-trypsin inhibitor heavy chain 1	ITI heavy chain H1|inter-alpha (globulin) inhibitor, H1 polypeptide|inter-alpha-inhibitor heavy chain 1|inter-alpha-trypsin inhibitor complex component III|serum-derived hyaluronan-associated protein	3p21.1	3	NC_000003.12	52777586	52792068	plus	23	147270	
7227	Drosophila melanogaster	249912	0	live	bip		bipolar oocyte		3-10 cM	3							
9606	Homo sapiens	26011	0	live	TENM4	Doc4, ODZ4, TNM4, Ten-M4	teneurin transmembrane protein 4	odd Oz/ten-m homolog 4|odz, odd Oz/ten-m homolog 4|protein Odd Oz/ten-m homolog 4|ten-4|tenascin-M4	11q14.1	11	NC_000011.10	78653283	79440989	minus	40	610084	
9606	Homo sapiens	79796	0	live	ALG9	CDG1L, DIBD1, LOH11CR1J	ALG9, alpha-1,2-mannosyltransferase	asparagine-linked glycosylation 9 alpha-12-mannosyltransferase-like protein|asparagine-linked glycosylation 9 homolog (S. cerevisiae, alpha- 1,2-mannosyltransferase)|asparagine-linked glycosylation 9 homolog (yeast, alpha- 1,2-mannosyltransferase)|asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog|asparagine-linked glycosylation protein 9 homolog|disrupted in bipolar affective disorder 1|disrupted in bipolar disorder protein 1|dol-P-Man dependent alpha-1,2-mannosyltransferase|dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase|dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase|dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase|dolichyl-P-Man:Man(8)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase|loss of heterozygosity, 11, chromosomal region 1 gene J product	11q23	11	NC_000011.10	111782195	111871581	minus	22	606941	
9606	Homo sapiens	9881	0	live	TRANK1	LBA1	tetratricopeptide repeat and ankyrin repeat containing 1	lupus brain antigen 1 homolog	3p22.2	3	NC_000003.12	36826817	36990981	minus	28		
9606	Homo sapiens	400359	0	live	C15orf53		chromosome 15 open reading frame 53		15q14	15	NC_000015.10	38696598	38700038	plus	2		
10090	Mus musculus	102580	0	live	Alg9	8230402H15Rik, AI747665, B430313H07Rik, Dibd1	asparagine-linked glycosylation 9 (alpha 1,2 mannosyltransferase)	asparagine-linked glycosylation 9 homolog (yeast, alpha 1,2 mannosyltransferase)|asparagine-linked glycosylation 9 protein|asparagine-linked glycosylation protein 9 homolog|disrupted in bipolar disorder 1 homolog|disrupted in bipolar disorder protein 1 homolog|dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase|dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	9 A5.3	9	NC_000075.6	50774881	50843639	plus	17		
3988	Ricinus communis	8278037	0	live	RCOM_1264020	RCOM_1264020	Bipolar kinesin KRP-130, putative										
3988	Ricinus communis	8276608	0	live	RCOM_0294310	RCOM_0294310	Bipolar kinesin KRP-130, putative										
3988	Ricinus communis	8263192	0	live	RCOM_0293150	RCOM_0293150	Bipolar kinesin KRP-130, putative										
644223	Komagataella pastoris GS115	8200360	0	live	PAS_chr3_0660	PAS_chr3_0660	GTP/GDP exchange factor for Rsr1p (Bud1p) required for both axial and bipolar budding patterns			3	NC_012965.1	1263917	1268797	minus	2		
644223	Komagataella pastoris GS115	8199995	0	live	PAS_chr3_0656	PAS_chr3_0656	GTPase activating factor for Rsr1p/Bud1p required for both axial and bipolar budding patterns			3	NC_012965.1	1252692	1255715	plus	1		
644223	Komagataella pastoris GS115	8199371	0	live	PAS_chr3_0087	PAS_chr3_0087	Protein involved in bud site selection during bipolar budding			3	NC_012965.1	193708	195093	minus	1		
644223	Komagataella pastoris GS115	8196665	0	live	PAS_chr1-1_0161	PAS_chr1-1_0161	N-glycosylated protein involved in the maintenance of bud site selection during bipolar budding			1	NC_012963.1	858046	861792	plus	1		
871575	Ogataea parapolymorpha DL-1	25772313	0	live	HPODL_02865	HPODL_02865	Protein involved in bud site selection during bipolar budding			VII	NC_027860.1	851817	853160	minus	1		
423536	Perkinsus marinus ATCC 50983	9056465	0	live	Pmar_PMAR020063	Pmar_PMAR020063	Bipolar kinesin KRP-130, putative										
370354	Entamoeba dispar SAW760	5886184	0	live	EDI_043400	EDI_043400	Bipolar kinesin KRP-130										
370354	Entamoeba dispar SAW760	5878893	0	live	EDI_348920	EDI_348920	Bipolar kinesin KRP-130										
1183377	Pyrococcus sp. ST04	13022395	0	live	PY04_RS05995	PY04_RS05995, Py04_1147	bipolar DNA helicase				NC_017946.1	1156708	1158381	minus	0		
523850	Thermococcus onnurineus NA1	7018454	0	live	TON_RS07235	TON_RS07235, TON_1420	bipolar DNA helicase				NC_011529.1	1296243	1298003	plus	0		
69014	Thermococcus kodakarensis KOD1	3235696	0	live	TK_RS11120	TK_RS11120, TK2213	bipolar DNA helicase				NC_006624.1	2000598	2002376	minus	0		
666510	Acidilobus saccharovorans 345-15	9499197	0	live	ASAC_RS04815	ASAC_RS04815, ASAC_0955	Bipolar DNA helicase				NC_014374.1	961035	962591	minus	0		
1365176	Thermofilum sp. 1910b	16574556	0	live	N186_RS09230	N186_RS09230, N186_09570	bipolar DNA helicase				NC_022093.1	1713741	1715342	plus	0		
70448	Ostreococcus tauri	9834320	0	live	Ot04g01190	Ot04g01190	disrupted in bipolar disorder 1 (ISS)			4	NC_014429.1	172562	174439	minus	1		
610380	Harpegnathos saltator	105182911	0	live	LOC105182911	EAI_00937	bipolar kinesin KRP-130-like	Bipolar kinesin KRP-130		Un							
