OMIM Search - 'huntington',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#143100,HUNTINGTON DISEASE; HD,,4p16.3,,
#603218,HUNTINGTON DISEASE-LIKE 1; HDL1,,20p13,,
%604802,HUNTINGTON DISEASE-LIKE 3; HDL3,,4p15.3,4:11300000-21300000,53369
*613004,HUNTINGTIN; HTT,,4p16.3,4:3074509-3243959,3064
#607136,SPINOCEREBELLAR ATAXIA 17; SCA17,,6q27,,
#606438,HUNTINGTON DISEASE-LIKE 2; HDL2,,16q24.2,,
#125370,DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY; DRPLA,,12p13.31,,
*600947,HUNTINGTIN-ASSOCIATED PROTEIN 1; HAP1,,17q21.2,17:41722638-41734645,9001
#200150,CHOREOACANTHOCYTOSIS; CHAC,,9q21.2,,
*600075,TATA BOX-BINDING PROTEIN; TBP,,6q27,6:170554332-170572869,6908
*605268,JUNCTOPHILIN 3; JPH3,,16q24.2,16:87601834-87698155,57338
*102680,ADDUCIN 1; ADD1,,4p16.3,4:2843726-2930075,118
*607462,ATROPHIN 1; ATN1,,12p13.31,12:6924462-6942320,1822
*189906,TRANSCRIPTION FACTOR Sp1; SP1,,12q13.13,12:53380194-53416445,6667
*600571,RE1-SILENCING TRANSCRIPTION FACTOR; REST,,4q12,4:56907875-56935844,5978
#118700,"CHOREA, BENIGN HEREDITARY; BHC",,14q13.3,,
*607657,CYSTATHIONINE GAMMA-LYASE; CTH,,1p31.1,1:70411217-70440113,1491
*176871,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 2; EIF2AK2,,2p22.2,2:37104682-37157064,5610
*180072,"PHOSPHODIESTERASE 6B, cGMP-SPECIFIC, ROD, BETA; PDE6B",,4p16.3,4:587324-670891,5158
*147678,"CASPASE 1, APOPTOSIS-RELATED CYSTEINE PROTEASE; CASP1",,11q22.3,11:105025507-105036661,834
*604504,THYROID HORMONE RECEPTOR INTERACTOR 10; TRIP10,,19p13.3,19:6739681-6751525,9322
*602358,HYPOCRETIN; HCRT,"OREXIN A, INCLUDED;;OREXIN B, INCLUDED;;HYPOCRETIN 1, INCLUDED; HCRT1, INCLUDED;;HYPOCRETIN 2, INCLUDED; HCRT2, INCLUDED",17q21.2,17:42184059-42185451,3060
*176640,PRION PROTEIN; PRNP,,20p13,20:4686150-4701587,5621
+126453,DOPAMINE RECEPTOR D5; DRD5,"DYSTONIA, PRIMARY CERVICAL, INCLUDED",4p16.1,4:9781633-9784008,1816
#300842,MCLEOD SYNDROME; MCLDS,"MCLEOD SYNDROME WITH CHRONIC GRANULOMATOUS DISEASE, INCLUDED",Xp21.1,,
#164500,SPINOCEREBELLAR ATAXIA 7; SCA7,,3p14.1,,
*147720,INTERLEUKIN 1-BETA; IL1B,,2q14.1,2:112829750-112836778,3553
*164730,V-AKT MURINE THYMOMA VIRAL ONCOGENE HOMOLOG 1; AKT1,,14q32.33,14:104769348-104795742,207
*138244,"GLUTAMATE RECEPTOR, IONOTROPIC, KAINATE 2; GRIK2",,6q16.3,6:101393707-102070082,2898
