OMIM Search - 'alzheimer',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#104300,ALZHEIMER DISEASE; AD,"ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED;;ALZHEIMER DISEASE, EARLY-ONSET, WITH CEREBRAL AMYLOID ANGIOPATHY, INCLUDED;;ALZHEIMER DISEASE, PROTECTION AGAINST, INCLUDED","4p14-p13, 6p22.2, 7q36, 7q36.1, 7q36.2, 10q22.2, 10q24, 11q24.1, 12p13.31, 12p11.23-q13.12, 17q11.2, 17q22, 17q23.3, 19p13.2, 20p, 21q21.3",,
*104760,AMYLOID BETA A4 PRECURSOR PROTEIN; APP,,21q21.3,21:25880549-26171127,351
#607822,ALZHEIMER DISEASE 3,"ALZHEIMER DISEASE, FAMILIAL, 3, WITH SPASTIC PARAPARESIS AND UNUSUAL PLAQUES, INCLUDED;;ALZHEIMER DISEASE, FAMILIAL, 3, WITH SPASTIC PARAPARESIS AND APRAXIA, INCLUDED",14q24.2,,
*104311,PRESENILIN 1; PSEN1,,14q24.2,14:73136434-73223690,5663
+107741,APOLIPOPROTEIN E; APOE,"APOLIPOPROTEIN E, DEFICIENCY OR DEFECT OF, INCLUDED;;HYPERLIPOPROTEINEMIA, TYPE III, INCLUDED;;DYSBETALIPOPROTEINEMIA DUE TO DEFECT IN APOLIPOPROTEIN E-d, INCLUDED;;FAMILIAL HYPERBETA- AND PREBETALIPOPROTEINEMIA, INCLUDED;;FAMILIAL HYPERCHOLESTEROLEMIA WITH HYPERLIPEMIA, INCLUDED;;HYPERLIPEMIA WITH FAMILIAL HYPERCHOLESTEROLEMIC XANTHOMATOSIS, INCLUDED;;BROAD-BETALIPOPROTEINEMIA, INCLUDED;;FLOATING-BETALIPOPROTEINEMIA, INCLUDED;;CORONARY ARTERY DISEASE, SEVERE, SUSCEPTIBILITY TO, INCLUDED;;LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 5, INCLUDED; LDLCQ5, INCLUDED",19q13.32,19:44905748-44909394,348
#104310,ALZHEIMER DISEASE 2,,19q13.32,,
#615590,ALZHEIMER DISEASE 18; AD18,,15q21.3,,
#615711,ALZHEIMER DISEASE 19; AD19,,19q13.2,,
#606889,ALZHEIMER DISEASE 4,,1q42.13,,
%611073,ALZHEIMER DISEASE 12,,8p12-q22,8:29000000-105100000,100188830
%615080,ALZHEIMER DISEASE 17; AD17,,6p21.2,6:36600000-40500000,101290498
%605526,ALZHEIMER DISEASE 6,"PLASMA BETA-AMYLOID-42 LEVEL QUANTITATIVE TRAIT LOCUS, INCLUDED",10q24,10:95300000-104000000,64851
%607116,ALZHEIMER DISEASE 8,,20p,,353128
%609636,ALZHEIMER DISEASE 10,,7q36,7:148200000-159345973,780912
%606187,ALZHEIMER DISEASE 7,,10p13,10:12200000-17300000,114475
%602096,ALZHEIMER DISEASE 5,,12p11.23-q13.12,12:26300000-51100000,8081
%609790,ALZHEIMER DISEASE 11,,9p22.1,9:18500000-19900000,100188795
