OMIM Search - 'parkinson',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#168600,"PARKINSON DISEASE, LATE-ONSET; PD",,"1q22, 4q23, 6q27, 12q24.12, 17q21.31",,
#605909,"PARKINSON DISEASE 6, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK6","PARKINSON DISEASE 6, LATE-ONSET, SUSCEPTIBILITY TO, INCLUDED;;PARKINSON DISEASE, AUTOSOMAL RECESSIVE EARLY-ONSET, DIGENIC, PINK1/DJ1, INCLUDED",1p36.12,,
*163890,"SYNUCLEIN, ALPHA; SNCA",,4q22.1,4:89724098-89838313,6622
#168601,"PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1","PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED",4q22.1,,
*602544,PARKIN; PARK2,"FRAGILE SITE FRA6E, INCLUDED",6q26,6:161347416-162727801,5071
*609007,LEUCINE-RICH REPEAT KINASE 2; LRRK2,,12q12,12:40225010-40369284,120892
#605543,"PARKINSON DISEASE 4, AUTOSOMAL DOMINANT; PARK4",,4q22.1,,
#600116,"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE; PARK2",,6q26,,
%300557,PARKINSON DISEASE 12; PARK12,,Xq21-q25,X:76800000-129500000,677662
%606852,PARKINSON DISEASE 10; PARK10,,1p32,1:50200000-60800000,170534
%602404,"PARKINSON DISEASE 3, AUTOSOMAL DOMINANT; PARK3",,2p13,2:68400000-74800000,5072
*608309,PTEN-INDUCED PUTATIVE KINASE 1; PINK1,,1p36.12,1:20633454-20651510,65018
#607060,"PARKINSON DISEASE 8, AUTOSOMAL DOMINANT; PARK8",,12q12,,
*616244,COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN-CONTAINING PROTEIN 2; CHCHD2,,7p11.2,7:56101572-56106493,51142
*602533,ONCOGENE DJ1; DJ1,,1p36.23,1:7961653-7985282,11315
#615528,"PARKINSON DISEASE 19, JUVENILE-ONSET; PARK19",,1p31.3,,
#615530,"PARKINSON DISEASE 20, EARLY-ONSET; PARK20",,21q22.11,,
#616361,PARKINSON DISEASE 21; PARK21,,3q22.1,,
#613643,"PARKINSON DISEASE 5, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK5",,4p13,,
#610297,"PARKINSON DISEASE 13, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK13",,2p13.1,,
#614203,PARKINSON DISEASE 17; PARK17,,16q11.2,,
#614251,"PARKINSON DISEASE 18, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK18",,3q27.1,,
#616710,"PARKINSON DISEASE 22, AUTOSOMAL DOMINANT; PARK22",,7p11.2,,
#612953,"PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE; PARK14",,22q13.1,,
#606693,KUFOR-RAKEB SYNDROME; KRS,"CEROID LIPOFUSCINOSIS, NEURONAL, 12, INCLUDED; CLN12, INCLUDED",1p36.13,,
