tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7074	0	live	TIAM1		T-cell lymphoma invasion and metastasis 1	TIAM-1|human T-lymphoma invasion and metastasis inducing TIAM1 protein	21q22.11	21	NC_000021.9	31118418	31559977	minus	33	600687	
10090	Mus musculus	21844	0	live	Tiam1	AI847750, D16Ium10, D16Ium10e	T cell lymphoma invasion and metastasis 1	T-cell lymphoma invasion and metastasis 1|TIAM-1	16 51.5 cM	16	NC_000082.6	89787111	90145483	minus	34		
9606	Homo sapiens	8115	0	live	TCL1A	TCL1	T-cell leukemia/lymphoma 1A	T-cell lymphoma-1|oncogene TCL-1|oncogene TCL1|protein p14 TCL1	14q32.1	14	NC_000014.9	95709967	95714196	minus	5	186960	
10090	Mus musculus	21432	0	live	Tcl1	Tcl1a	T cell lymphoma breakpoint 1	T-cell lymphoma breakpoint 1|TCL-1|oncogene TCL-1|oncogene TCL1|protein p14 TCL1	12 55.28 cM	12	NC_000078.6	105216753	105222737	minus	4		
10090	Mus musculus	24001	0	live	Tiam2	3000002F19Rik, STEF, mKIAA2016	T cell lymphoma invasion and metastasis 2	RAS-related C3 botulinum substrate 1, guanine nucleotide exchange factor 1|SIF and TIAM1-like exchange factor|T-cell lymphoma invasion and metastasis 2|T-cell lymphoma invasion and metastasis 2; RAS-related C3 botulinum substrate 1, guanine nucleotide exchange factor 1|TIAM-2	17 1.99 cM	17	NC_000083.6	3326300	3519397	plus	36		
9606	Homo sapiens	26230	0	live	TIAM2	STEF, TIAM-2	T-cell lymphoma invasion and metastasis 2	SIF and TIAM1-like exchange factor	6q25.2	6	NC_000006.12	155090289	155257723	plus	27	604709	
9606	Homo sapiens	64061	0	live	TSPYL2	CDA1, CINAP, CTCL, DENTT, HRIHFB2216, NP79, SE204, TSPX	TSPY-like 2	CASK-interacting nucleosome assembly protein|CTCL tumor antigen se20-4|CTCL-associated antigen se20-4|TSPY-like protein 2|cell division autoantigen 1|cutaneous T-cell lymphoma-associated antigen se20-4|cutaneous T-cell lymphoma-associated tumor antigen se20-4|differentially expressed nucleolar TGF-beta1 target|differentially-expressed nucleolar TGF-beta1 target protein|nuclear protein of 79 kDa|testis-specific protein Y encoded-like 2	Xp11.2	X	NC_000023.11	53082360	53088546	plus	7	300564	
9606	Homo sapiens	64693	0	live	CTAGE1	CT21.1, CT21.2, CTAGE, CTAGE-1, CTAGE-2	cutaneous T-cell lymphoma-associated antigen 1	cancer/testis antigen 21.2|cancer/testis antigen family 21, member 1|cancer/testis antigen family 21, member 2|cutaneous T-cell lymphoma-associated antigen 2|protein cTAGE-2	18p11.2	18	NC_000018.10	22413601	22417915	minus	1	608856	
9606	Homo sapiens	4253	0	live	CTAGE5	MEA6, MGEA, MGEA11, MGEA6	CTAGE family member 5	CTAGE family, member 5|cutaneous T-cell lymphoma-associated antigen 5|meningioma expressed antigen 6 (coiled-coil proline-rich)|meningioma-expressed antigen 6/11|protein cTAGE-5	14q13.3	14	NC_000014.9	39265272	39351193	plus	31	602132	
10116	Rattus norvegicus	304109	0	live	Tiam1		T-cell lymphoma invasion and metastasis 1		11q11	11	NC_005110.4	29931083	30061173	minus	25		
9606	Homo sapiens	23613	0	live	ZMYND8	PRKCBP1, PRO2893, RACK7	zinc finger MYND-type containing 8	CTCL tumor antigen se14-3|cutaneous T-cell lymphoma-associated antigen se14-3|predicted protein of HQ2893|zinc finger MYND domain-containing protein 8|zinc finger, MYND-type containing 8	20q13.12	20	NC_000020.11	47209214	47356889	minus	32	615713	
9606	Homo sapiens	154215	0	live	NKAIN2	FAM77B, NKAIP2, TCBA, TCBA1	Na+/K+ transporting ATPase interacting 2	Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 2|T-cell lymphoma breakpoint-associated target protein 1	6q21	6	NC_000006.12	123803837	124825640	plus	12	609758	
9606	Homo sapiens	27332	0	live	ZNF638	NP220, ZFML, Zfp638	zinc finger protein 638	CTCL tumor antigen se33-1|CTCL-associated antigen se33-1|NP220 nuclear protein|cutaneous T-cell lymphoma-associated antigen se33-1|nuclear protein 220|zinc finger matrin-like protein	2p13.1	2	NC_000002.12	71331755	71435061	plus	29	614349	
9606	Homo sapiens	51170	0	live	HSD17B11	17-BETA-HSD11, 17-BETA-HSDXI, 17BHSD11, DHRS8, PAN1B, RETSDR2, SDR16C2	hydroxysteroid (17-beta) dehydrogenase 11	17-beta-hydroxysteroid dehydrogenase type XI|CTCL tumor antigen HD-CL-03|CTCL-associated antigen HD-CL-03|cutaneous T-cell lymphoma-associated antigen HD-CL-03|dehydrogenase/reductase SDR family member 8|retinal short-chain dehydrogenase/reductase 2|short chain dehydrogenase/reductase family 16C member 2|short chain dehydrogenase/reductase family 16C, member 2	4q22.1	4	NC_000004.12	87336522	87391303	minus	8	612831	
