tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	780915	0	live	CHNG3	RTSH	Hypothyroidism, congenital, nongoitrous, 3		15q25.3-q26.1	15						609893	
9606	Homo sapiens	2304	0	live	FOXE1	FKHL15, FOXE2, HFKH4, HFKL5, NMTC4, TITF2, TTF-2, TTF2	forkhead box E1	HNF-3/fork head-like protein 5|forkhead box E2|forkhead box protein E2|forkhead, drosophila, homolog-like 15|forkhead-related protein FKHL15|thyroid transcription factor 2	9q22	9	NC_000009.12	97853255	97856715	plus	1	602617	
9606	Homo sapiens	7253	0	live	TSHR	CHNG1, LGR3, hTSHR-I	thyroid stimulating hormone receptor	seven transmembrane helix receptor|thyrotropin receptor-I, hTSHR-I	14q31	14	NC_000014.9	80954989	81146302	plus	12	603372	
9606	Homo sapiens	7080	0	live	NKX2-1	BCH, BHC, NK-2, NKX2.1, NKX2A, NMTC1, T/EBP, TEBP, TITF1, TTF-1, TTF1	NK2 homeobox 1	NK-2 homolog A|homeobox protein NK-2 homolog A|thyroid nuclear factor 1|thyroid transcription factor 1|thyroid-specific enhancer-binding protein	14q13	14	NC_000014.9	36516397	36520225	minus	3	600635	
9606	Homo sapiens	3123	0	live	HLA-DRB1	DRB1, DRw10, HLA-DR1B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 1	DW2.2/DR2.2|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|MHC class II HLA-DR-beta cell surface glycoprotein|MHC class II HLA-DRw10-beta|MHC class II antigen|human leucocyte antigen DRB1|lymphocyte antigen DRB1	6p21.3	6	NC_000006.12	32578769	32589836	minus	6	142857	
9606	Homo sapiens	1493	0	live	CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12	cytotoxic T-lymphocyte associated protein 4	CD152 isoform|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated protein 4|cytotoxic T-lymphocyte-associated serine esterase-4|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4	2q33	2	NC_000002.12	203867788	203873960	plus	4	123890	
9606	Homo sapiens	3119	0	live	HLA-DQB1	CELIAC1, HLA-DQB, IDDM1	major histocompatibility complex, class II, DQ beta 1	MHC DQ beta|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1|MHC class2 antigen|lymphocyte antigen	6p21.3	6	NC_000006.12	32659464	32666689	minus	6	604305	
9606	Homo sapiens	3106	0	live	HLA-B	AS, Bw-47, Bw-50, HLAB, SPDA1	major histocompatibility complex, class I, B	HLA class I histocompatibility antigen, B alpha chain|HLA class I histocompatibility antigen, B-47 alpha chain|HLA class I histocompatibility antigen, B-50 alpha chain|HLA class I histocompatibility antigen, B-82 alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class I antigen B*47|MHC class I antigen B*50|MHC class I antigen B*82|MHC class I antigen GN00104|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|leukocyte antigen class I-B|lymphocyte antigen|truncated MHC class I antigen	6p21.3	6	NC_000006.12	31353868	31357212	minus	8	142830	
9606	Homo sapiens	7252	0	live	TSHB	TSH-B, TSH-BETA	thyroid stimulating hormone beta	thyroid stimulating hormone, beta|thyrotropin beta chain	1p13	1	NC_000001.11	115029824	115034309	plus	3	188540	
9606	Homo sapiens	6347	0	live	CCL2	GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF	C-C motif chemokine ligand 2	chemokine (C-C motif) ligand 2|monocyte chemoattractant protein 1|monocyte chemoattractant protein-1|monocyte chemotactic and activating factor|monocyte chemotactic protein 1|monocyte secretory protein JE|small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)|small inducible cytokine subfamily A (Cys-Cys), member 2|small-inducible cytokine A2	17q11.2-q12	17	NC_000017.11	34255277	34257203	plus	3	158105	
