OMIM Search - '+Hodgkin +Lymphoma',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#236000,"LYMPHOMA, HODGKIN, CLASSIC; CHL",,3p21.31,,
*109565,B-CELL LYMPHOMA 6; BCL6,"BCL6/H4FM FUSION GENE, INCLUDED;;BCL6/IKAROS FUSION GENE, INCLUDED;;BCL6/LCP1 FUSION GENE, INCLUDED;;BLC6/IL21R FUSION GENE, INCLUDED",3q27.3,3:187721376-187745724,604
#605027,"LYMPHOMA, NON-HODGKIN, FAMILIAL",,"1p34.1, 1p22.3, 2q33.1, 8q22.1, 10q22.1",,
%300221,"LYMPHOMA, HODGKIN, X-LINKED PSEUDOAUTOSOMAL",,Xpter-p22.32,,50829
%613024,"FOLLICULAR LYMPHOMA, SUSCEPTIBILITY TO, 1; FL1",,6p21.33,6:30500000-32100000,100306940
*300490,SH2 DOMAIN PROTEIN 1A; SH2D1A,,Xq25,X:124346281-124373159,4068
+151430,B-CELL CLL/LYMPHOMA 2; BCL2,"LEUKEMIA/LYMPHOMA, B-CELL, 2, INCLUDED",18q21.33,18:63123345-63319777,596
*606557,B-CELL CLL/LYMPHOMA 11A; BCL11A,,2p16.1,2:60451166-60553497,53335
#250250,CARTILAGE-HAIR HYPOPLASIA; CHH,,9p13.3,,
*170280,PERFORIN 1; PRF1,,10q22.1,10:70597347-70602774,5551
#308240,"LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1",,Xq25,,
%400021,"LYMPHOMA, HODGKIN, Y-LINKED PSEUDOAUTOSOMAL",,,,
*164757,V-RAF MURINE SARCOMA VIRAL ONCOGENE HOMOLOG B1; BRAF,"BRAF/AKAP9 FUSION GENE, INCLUDED;;BRAF/KIAA1549 FUSION GENE, INCLUDED",7q34,7:140715950-140924763,673
*601762,"CASPASE 10, APOPTOSIS-RELATED CYSTEINE PROTEASE; CASP10","CASPASE 10, ISOFORM B, INCLUDED; CASP10B, INCLUDED;;FADD-LIKE ICE 2, INCLUDED; FLICE2, INCLUDED",2q33.1,2:201182897-201229405,843
*613169,KELCH DOMAIN-CONTAINING PROTEIN 8B; KLHDC8B,,3p21.31,3:49171119-49176485,200942
#208900,ATAXIA-TELANGIECTASIA; AT,"AT, COMPLEMENTATION GROUP A, INCLUDED; ATA, INCLUDED;;AT, COMPLEMENTATION GROUP C, INCLUDED; ATC, INCLUDED;;AT, COMPLEMENTATION GROUP D, INCLUDED; ATD, INCLUDED;;AT, COMPLEMENTATION GROUP E, INCLUDED; ATE, INCLUDED;;ATAXIA-TELANGIECTASIA VARIANT, INCLUDED",11q22.3,,
*604860,MUCOSA-ASSOCIATED LYMPHOID TISSUE LYMPHOMA TRANSLOCATION GENE 1; MALT1,"MALT1/API2 FUSION GENE, INCLUDED",18q21.32,18:58671385-58750138,10892
*603969,"TUMOR NECROSIS FACTOR LIGAND SUPERFAMILY, MEMBER 13B; TNFSF13B",,13q33.3,13:108269419-108308483,10673
*607585,ATAXIA-TELANGIECTASIA MUTATED GENE; ATM,,11q22.3,11:108222499-108369101,472
*191163,TUMOR NECROSIS FACTOR-ALPHA-INDUCED PROTEIN 3; TNFAIP3,,6q23.3,6:137866316-137883313,7128
*609337,MICRO RNA 155; MIR155,"BIC TRANSCRIPT, INCLUDED; BIC, INCLUDED",21q21.3,21:25573979-25574043,406947
137245,"LYMPHOMA, MUCOSA-ASSOCIATED LYMPHOID TYPE",,1p22.3,,
*603273,TUMOR PROTEIN p63; TP63,,3q28,3:189566860-189897278,8626
#276300,MISMATCH REPAIR CANCER SYNDROME; MMRCS,,"2p21-p16, 2p16.3, 3p22.2, 7p22.1",,
*607299,DELTA- AND NOTCH-LIKE EPIDERMAL GROWTH FACTOR-RELATED RECEPTOR; DNER,,2q36.3,2:229357628-229714569,92737
