OMIM Search - 'Thalassemia',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
+141900,HEMOGLOBIN--BETA LOCUS; HBB,"METHEMOGLOBINEMIA, BETA-GLOBIN TYPE, INCLUDED;;ERYTHREMIA, BETA-GLOBIN TYPE, INCLUDED",11p15.4,11:5225465-5227070,3043
#613985,BETA-THALASSEMIA,,"11p15.4, 11p15.4",,
*141850,HEMOGLOBIN--ALPHA LOCUS 2; HBA2,,16p13.3,16:172846-173709,3040
+141800,HEMOGLOBIN--ALPHA LOCUS 1; HBA1,"METHEMOGLOBINEMIA, ALPHA-GLOBIN TYPE, INCLUDED;;ERYTHREMIA, ALPHA-GLOBIN TYPE, INCLUDED",16p13.3,16:176650-177521,3039
*142000,HEMOGLOBIN--DELTA LOCUS; HBD,,11p15.4,11:5232828-5234627,3045
#141749,FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1,"DELTA-BETA THALASSEMIA, INCLUDED","11p15.4, 11p15.4, 11p15.4",,
#301040,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",,Xq21.1,,
#141750,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED",,16pter-p13.3,,
*300032,ATR-X GENE; ATRX,,Xq21.1,X:77504877-77786268,546
#613978,HEMOGLOBIN H DISEASE; HBH,"HEMOGLOBIN H DISEASE, NONDELETIONAL, INCLUDED","16p13.3, 16p13.3",,
#603903,SICKLE CELL ANEMIA,,11p15.4,,
#314050,"THROMBOCYTOPENIA WITH BETA-THALASSEMIA, X-LINKED; XLTT",,Xp11.23,,
#236750,"HYDROPS FETALIS, NONIMMUNE; NIHF","HYDROPS FETALIS, ALPHA-THALASSEMIA-RELATED, INCLUDED;;HEMOGLOBIN H HYDROPS FETALIS SYNDROME, INCLUDED",,,
#604131,ALPHA-THALASSEMIA,,"16p13.3, 16p13.3",,
#300448,ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROME; ATMDS,,Xq21.1,,
#603902,"BETA-THALASSEMIA, DOMINANT INCLUSION BODY TYPE",,11p15.4,,
187550,"THALASSEMIA, BETA+, SILENT ALLELE",,,,
#309580,"MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",,Xq21.1,,
#264800,PSEUDOXANTHOMA ELASTICUM; PXE,"PSEUDOXANTHOMA ELASTICUM, MODIFIER OF SEVERITY OF, INCLUDED;;PXE, MODIFIER OF SEVERITY OF, INCLUDED","16p13.11, 16p12.3, 17q21.33",,
*142200,"HEMOGLOBIN, GAMMA A; HBG1",,11p15.4,11:5248271-5249856,3047
*191740,"UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1; UGT1A1","UDP-GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A GENE COMPLEX, INCLUDED; UGT1A, INCLUDED;;UGT1A GENE COMPLEX, INCLUDED",2q37.1,2:233760272-233773298,54658
#173900,POLYCYSTIC KIDNEY DISEASE 1; PKD1,"POLYCYSTIC KIDNEY DISEASE, ADULT, INCLUDED; APKD, INCLUDED;;POTTER TYPE III POLYCYSTIC KIDNEY DISEASE, INCLUDED",16p13.3,,
#611162,"MALARIA, SUSCEPTIBILITY TO","MALARIA, RESISTANCE TO, INCLUDED;;MALARIA, SEVERE, SUSCEPTIBILITY TO, INCLUDED;;MALARIA, SEVERE, RESISTANCE TO, INCLUDED;;MALARIA, CEREBRAL, SUSCEPTIBILITY TO, INCLUDED;;MALARIA, CEREBRAL, RESISTANCE TO, INCLUDED","1q23.2, 1q23.3, 1q23.3, 1q32.2, 2q14.3, 3p21.2, 4q31.21, 4q31.21, 6p21.33, 7q21.11, 11p15.4, 11q24.2, 17q11.2, 17q21.31, 19p13.2, Xq28",,
%142470,FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 2; HBFQTL2,,6q22.3-q23.1,6:118100000-130900000,7954
*305371,GATA-BINDING PROTEIN 1; GATA1,,Xp11.23,X:48786559-48794310,2623
