tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	387129	0	live	NPSR1	ASRT2, GPR154, GPRA, NPSR, PGR14, VRR1	neuropeptide S receptor 1	G-protein coupled receptor 154|G-protein coupled receptor PGR14|G-protein coupled receptor for asthma susceptibility|vasopressin receptor-related receptor 1	7p14.3	7	NC_000007.14	34658239	34878332	plus	11	608595	
9606	Homo sapiens	3596	0	live	IL13	IL-13, P600	interleukin 13		5q31	5	NC_000005.10	132658173	132661109	plus	4	147683	
9606	Homo sapiens	90865	0	live	IL33	C9orf26, DVS27, IL1F11, NF-HEV, NFEHEV	interleukin 33	DVS27-related protein|interleukin-1 family member 11|nuclear factor for high endothelial venules|nuclear factor from high endothelial venules	9p24.1	9	NC_000009.12	6215149	6257983	plus	11	608678	
9606	Homo sapiens	85480	0	live	TSLP		thymic stromal lymphopoietin		5q22.1	5	NC_000005.10	111070080	111078024	plus	6	607003	
9606	Homo sapiens	9173	0	live	IL1RL1	DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1	interleukin 1 receptor like 1	growth stimulation-expressed|homolog of mouse growth stimulation-expressed|interleukin 1 receptor-like 1|interleukin 1 receptor-related protein	2q12	2	NC_000002.12	102311502	102352366	plus	13	601203	
9606	Homo sapiens	10111	0	live	RAD50	NBSLD2, hRad50, RAD50	RAD50 double strand break repair protein	RAD50 homolog, double strand break repair protein	5q31	5	NC_000005.10	132556924	132644621	plus	25	604040	
9606	Homo sapiens	94103	0	live	ORMDL3		ORMDL sphingolipid biosynthesis regulator 3		17q12	17	NC_000017.11	39921042	39927631	minus	5	610075	
9606	Homo sapiens	8809	0	live	IL18R1	CD218a, CDw218a, IL-1Rrp, IL18RA, IL1RRP	interleukin 18 receptor 1	CD218 antigen-like family member A|IL-18R-1|IL-18R1|IL1 receptor-related protein|IL18Ralpha2|IL1R-rp|cytokine receptor	2q12	2	NC_000002.12	102356283	102398777	plus	13	604494	
9606	Homo sapiens	55876	0	live	GSDMB	GSDML, PP4052, PRO2521	gasdermin B	gasdermin-like protein	17q12	17	NC_000017.11	39904595	39919377	minus	11	611221	
10090	Mus musculus	114680	0	live	Asthm1		asthma 1			10							
10090	Mus musculus	114681	0	live	Asthm2		asthma 2			11							
9606	Homo sapiens	3119	0	live	HLA-DQB1	CELIAC1, HLA-DQB, IDDM1	major histocompatibility complex, class II, DQ beta 1	MHC DQ beta|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1|MHC class2 antigen|lymphocyte antigen	6p21.3	6	NC_000006.12	32659464	32666689	minus	6	604305	
9606	Homo sapiens	103611079	0	live	ASOBS		Asthma and obesity susceptibility, chromosome 16p11 inversion related		16p11	16						615835	
9606	Homo sapiens	100415896	0	live	ASRT8		Asthma-related traits, susceptibility to, 8		9q33	9						613207	
9606	Homo sapiens	100188840	0	live	ASRT6		Asthma-related traits, susceptibility to, 6		17q21	17						611403	
9606	Homo sapiens	100188823	0	live	ASRT4		Asthma-related traits, susceptibility to, 4		1p31	1						610906	
9606	Homo sapiens	100188801	0	live	ASRT3		Asthma-related traits, susceptibility to, 3		2p16	2						609958	
9606	Homo sapiens	544592	0	live	AASTH27		Allergic/atopic asthma related QTL 27			18							
9606	Homo sapiens	544586	0	live	AASTH54		Allergic/atopic asthma related QTL 54			5							
9606	Homo sapiens	544581	0	live	AASTH55		Allergic/atopic asthma related QTL 5			5							
9606	Homo sapiens	544575	0	live	AASTH38		Allergic/atopic asthma related QTL 38			6							
9606	Homo sapiens	544573	0	live	AASTH17		Allergic/atopic asthma related QTL 17			5							
9606	Homo sapiens	544561	0	live	AASTH31		Allergic/atopic asthma related QTL 31			11							
9606	Homo sapiens	544425	0	live	AASTH7		Allergic/atopic asthma related QTL 7			12							
9606	Homo sapiens	544582	0	live	AASTH42		Allergic/atopic asthma related QTL 42			2							
9606	Homo sapiens	553146	0	live	AASTH41		Allergic/Atopic asthma related QTL 41			5							
9606	Homo sapiens	544597	0	live	AASTH15		Allergic/atopic asthma related QTL 15			13							
9606	Homo sapiens	544596	0	live	AASTH16		Allergic/atopic asthma related QTL 16			13							
9606	Homo sapiens	544572	0	live	AASTH39		Allergic/atopic asthma related QTL 39			20							
9606	Homo sapiens	544446	0	live	AASTH2		Allergic/atopic asthma related QTL 2			5							
9606	Homo sapiens	544441	0	live	AASTH3		Allergic/atopic asthma related QTL 3			5							
9606	Homo sapiens	544440	0	live	AASTH4		Allergic/atopic asthma related QTL 4			5							
9606	Homo sapiens	544434	0	live	AASTH5		Allergic/atopic asthma related QTL 5			7							
9606	Homo sapiens	544423	0	live	AASTH6		Allergic/atopic asthma related QTL 6			12							
9606	Homo sapiens	544317	0	live	AASTH1		Allergic/atopic asthma related QTL 1			4							
9606	Homo sapiens	553147	0	live	AASTH28		Allergic/Atopic asthma related QTL 28										
9606	Homo sapiens	553145	0	live	AASTH32		Allergic/Atopic asthma related QTL 32			10							
9606	Homo sapiens	553144	0	live	AASTH56		Allergic/Atopic asthma related QTL 56			10							
9606	Homo sapiens	553142	0	live	AASTH29		Allergic/Atopic asthma related QTL 29			4							
9606	Homo sapiens	544598	0	live	AASTH37		Allergic/atopic asthma related QTL 37			14							
9606	Homo sapiens	544588	0	live	AASTH33		Allergic/atopic asthma related QTL 33			13							
9606	Homo sapiens	544585	0	live	AASTH36		Allergic/atopic asthma related QTL 36			13							
9606	Homo sapiens	544574	0	live	AASTH35		Allergic/atopic asthma related QTL 35			7							
9606	Homo sapiens	544564	0	live	AASTH34		Allergic/atopic asthma related QTL 34			6							
9606	Homo sapiens	544603	0	live	AASTH10		Allergic/atopic asthma related QTL 10			5							
9606	Homo sapiens	544591	0	live	AASTH8		Allergic/atopic asthma related QTL 8			1							
9606	Homo sapiens	544584	0	live	AASTH11		Allergic/atopic asthma related QTL 11			6							
9606	Homo sapiens	544583	0	live	AASTH13		Allergic/atopic asthma related QTL 13			17							
9606	Homo sapiens	544579	0	live	AASTH12		Allergic/atopic asthma related QTL 12			9							
9606	Homo sapiens	544568	0	live	AASTH9		Allergic/atopic asthma related QTL 9			1							
9606	Homo sapiens	544602	0	live	AASTH22		Allergic/atopic asthma related QTL 22			6							
9606	Homo sapiens	544600	0	live	AASTH24		Allergic/atopic asthma related QTL 24			19							
9606	Homo sapiens	544595	0	live	AASTH18		Allergic/atopic asthma related QTL 18			14							
9606	Homo sapiens	544589	0	live	AASTH19		Allergic/atopic asthma related QTL 19			5							
9606	Homo sapiens	544580	0	live	AASTH23		Allergic/atopic asthma related QTL 23			8							
9606	Homo sapiens	544576	0	live	AASTH26		Allergic/atopic asthma related QTL 25			1							
9606	Homo sapiens	544570	0	live	AASTH25		Allergic/atopic asthma related QTL 25			20							
9606	Homo sapiens	544569	0	live	AASTH21		Allergic/atopic asthma related QTL 21			11							
9606	Homo sapiens	544565	0	live	AASTH20		Allergic/atopic asthma related QTL 20			12							
9606	Homo sapiens	544601	0	live	AASTH46		Allergic/atopic asthma related QTL 46			5							
9606	Homo sapiens	544599	0	live	AASTH45		Allergic/atopic asthma related QTL 45			3							
9606	Homo sapiens	544594	0	live	AASTH44		Allergic/atopic asthma related QTL 44			3							
9606	Homo sapiens	544593	0	live	AASTH53		Allergic/atopic asthma related QTL 53			21							
9606	Homo sapiens	544590	0	live	AASTH43		Allergic/atopic asthma related QTL 43			3							
9606	Homo sapiens	544587	0	live	AASTH51		Allergic/atopic asthma related QTL 51			19							
9606	Homo sapiens	544578	0	live	AASTH50		Allergic/atopic asthma related QTL 50			13							
9606	Homo sapiens	544577	0	live	AASTH49		Allergic/atopic asthma related QTL 49			12							
9606	Homo sapiens	544571	0	live	AASTH47		Allergic/atopic asthma related QTL 47			9							
9606	Homo sapiens	544563	0	live	AASTH48		Allergic/atopic asthma related QTL 48			9							
9606	Homo sapiens	544562	0	live	AASTH52		Allergic/atopic asthma related QTL 52			21							
9606	Homo sapiens	544567	0	live	AASTH14		Allergic/atopic asthma related QTL 14			13							
9606	Homo sapiens	544566	0	live	AASTH40		Allergic/atopic asthma related QTL 40			5							
9606	Homo sapiens	544560	0	live	AASTH30		Allergic/atopic asthma related QTL 30			2							
9606	Homo sapiens	1116	0	live	CHI3L1	ASRT7, CGP-39, GP-39, GP39, HC-gp39, HCGP-3P, YKL-40, YKL40, YYL-40, hCGP-39	chitinase 3 like 1	39 kDa synovial protein|cartilage glycoprotein 39|chitinase 3-like 1 (cartilage glycoprotein-39)	1q32.1	1	NC_000001.11	203178931	203186960	minus	10	601525	
9606	Homo sapiens	284110	0	live	GSDMA	FKSG9, GSDM, GSDM1	gasdermin A	gasdermin 1|gasdermin-1	17q21.1	17	NC_000017.11	39962973	39977880	plus	14	611218	
9606	Homo sapiens	4088	0	live	SMAD3	HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3	SMAD family member 3	MAD homolog 3|MAD, mothers against decapentaplegic homolog 3|SMA- and MAD-related protein 3|SMAD, mothers against DPP homolog 3|hMAD-3|hSMAD3|mad homolog JV15-2|mad protein homolog|mad3|mothers against DPP homolog 3	15q22.33	15	NC_000015.10	67065627	67195195	plus	13	603109	
9606	Homo sapiens	404744	0	live	NPSR1-AS1	AAA1	NPSR1 antisense RNA 1	NPSR1 antisense RNA 1 (non-protein coding)|asthma-associated alternatively spliced gene 1	7p14.3	7	NC_000007.14	34346512	34834331	minus	9	608596	
9606	Homo sapiens	3122	0	live	HLA-DRA	HLA-DRA1, MLRW	major histocompatibility complex, class II, DR alpha	MHC cell surface glycoprotein|MHC class II antigen DRA|histocompatibility antigen HLA-DR alpha	6p21.3	6	NC_000006.12	32439842	32445046	plus	5	142860	
9606	Homo sapiens	6095	0	live	RORA	NR1F1, ROR1, ROR2, ROR3, RZR-ALPHA, RZRA	RAR related orphan receptor A	RAR-related orphan receptor A|ROR-alpha|nuclear receptor RZR-alpha|nuclear receptor subfamily 1 group F member 1|retinoic acid receptor-related orphan receptor alpha|retinoid-related orphan receptor alpha|thyroid hormone nuclear receptor alpha variant 4|transcription factor RZR-alpha	15q22.2	15	NC_000015.10	60488284	61229303	minus	23	600825	
