tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1080	0	live	CFTR	ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR	cystic fibrosis transmembrane conductance regulator	cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	7q31.2	7	NC_000007.14	117478340	117668665	plus	33	602421	
10090	Mus musculus	12638	0	live	Cftr	AW495489, Abcc7	cystic fibrosis transmembrane conductance regulator	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|ATP-binding cassette, subfamily c, member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator homolog|cystic fibrosis transmembrane conductance regulator homolog; ATP-binding cassette, subfamily c, member 7	6 8.1 cM	6	NC_000072.6	18170262	18322774	plus	28		
10116	Rattus norvegicus	24255	0	live	Cftr	RGD1561193	cystic fibrosis transmembrane conductance regulator	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator homolog	4q21	4	NC_005103.4	42693274	42860676	plus	29		
9606	Homo sapiens	6279	0	live	S100A8	60B8AG, CAGA, CFAG, CGLA, CP-10, L1Ag, MA387, MIF, MRP8, NIF, P8	S100 calcium binding protein A8	S100 calcium-binding protein A8 (calgranulin A)|calgranulin A|calgranulin-A|calprotectin L1L subunit|cystic fibrosis antigen|leukocyte L1 complex light chain|migration inhibitory factor-related protein 8|urinary stone protein band A	1q21	1	NC_000001.11	153390032	153422578	minus	4	123885	
9823	Sus scrofa	403154	0	live	CFTR	ABCC7	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase		18	NC_010460.3	30396465	30566680	minus	26		
9606	Homo sapiens	23727	0	live	CFM2		cystic fibrosis modifier 2										
10090	Mus musculus	100036221	0	live	Cfid		cystic fibrosis intestinal distress		10 24.48 cM	10							
10090	Mus musculus	493043	0	live	Cfld2		cystic fibrosis lung disease 2			6							
10090	Mus musculus	493042	0	live	Cfbw5		cystic fibrosis body weight 5		13 30.06 cM	13							
10090	Mus musculus	100034823	0	live	Cfbw1		cystic fibrosis body weight 1		1 70.14 cM	1							
10090	Mus musculus	100036058	0	live	Cfsw3		cystic fibrosis survival to weaning 3			X							
10090	Mus musculus	100035757	0	live	Cfsw1		cystic fibrosis survival to weaning 1		3 43.89 cM	3							
10090	Mus musculus	100035541	0	live	Cfld4		cystic fibrosis lung disease 4		7 63.78 cM	7							
10090	Mus musculus	100034854	0	live	Cfsw2		cystic fibrosis survival to weaning 2		5 52.23 cM	5							
10090	Mus musculus	100034824	0	live	Cfld1		cystic fibrosis lung disease 1		2 95.64 cM	2							
10090	Mus musculus	493044	0	live	Cfld3		cystic fibrosis lung disease 3		17 7.65 cM	17							
10090	Mus musculus	100035744	0	live	Cfbw4		cystic fibrosis body weight 4		10 66.65 cM	10							
10090	Mus musculus	493041	0	live	Cfbw3		cystic fibrosis body weight 3		7 63.78 cM	7							
10090	Mus musculus	493040	0	live	Cfbw2		cystic fibrosis body weight 2		6 52.14 cM	6							
10090	Mus musculus	100036333	0	live	Cfmq2		cystic fibrosis modifier QTL 2		9 17.8 cM	9							
10090	Mus musculus	100035923	0	live	Cfmq3		cystic fibrosis modifier QTL 3		10 66.75 cM	10							
10090	Mus musculus	100035238	0	live	Cfmq1		cystic fibrosis modifier QTL 1		1 76.73 cM	1							
9940	Ovis aries	443347	0	live	CFTR		cystic fibrosis transmembrane conductance regulator	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)|cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)		4	NC_019461.2	50644000	50864925	minus	29		
7955	Danio rerio	559080	0	live	cftr	si:dkey-270i2.2	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	abcc7		18	NC_007129.6	20688118	20733482	plus	27		
9031	Gallus gallus	100049619	0	live	CFTR		cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)			1	NC_006088.4	24554655	24638964	minus	27		
9669	Mustela putorius furo	101672484	0	live	CFTR	ABCC7	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	ATP-binding cassette sub-family C member 7|Channel conductance-controlling ATPase|cAMP-dependent chloride channel|cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)		Un							
9913	Bos taurus	281067	0	live	CFTR		cystic fibrosis transmembrane conductance regulator	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	4q23-q25	4	AC_000161.1	51035771	51249562	minus	27		
9986	Oryctolagus cuniculus	100009471	0	live	CFTR		cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|CFTR chloride channel|cAMP-dependent chloride channel|channel conductance-controlling ATPase|chloride channel		7	NC_013675.1	27524303	27737713	minus	27		
9544	Macaca mulatta	574346	0	live	CFTR	ABCC7	cystic fibrosis transmembrane conductance regulator	ATP-binding cassette sub-family C member 7|ATP-binding cassette transporter sub-family C member 7|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)		3	NC_027895.1	143121867	143302744	plus	27		
