OMIM Search - 'schizophrenia',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#181500,SCHIZOPHRENIA; SCZD,,"1p36.2, 1p36.22, 1q32.1, 1q42.2, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6p22.3, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 12q24.11, 13q14.2, 13q32, 13q33.2, 14q32.33, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3",,
%613025,SCHIZOPHRENIA 13; SCZD13,"SCHIZOPHRENIA, NEUROPHYSIOLOGIC DEFECT IN, INCLUDED",15q13,15:27800000-33400000,100329170
#613959,SCHIZOPHRENIA 16; SCZD16,,7q36.3,7:155200000-159345973,
#613950,SCHIZOPHRENIA 15; SCZD15,,22q13.33,,
#600850,SCHIZOPHRENIA 4; SCZD4,,22q11.21,,
#604906,SCHIZOPHRENIA 9; SCZD9,,1q42.2,,
%612361,SCHIZOPHRENIA 14,,2q32.1,2:182100000-188500000,100196913
%603206,SCHIZOPHRENIA 8; SCZD8,,18p,,8806
%608543,SCHIZOPHRENIA 12,,1p36.2,1:7100000-15900000,619488
%608078,SCHIZOPHRENIA 11,,10q22.3,10:75900000-80300000,404686
%603013,SCHIZOPHRENIA 6; SCZD6,,8p21,8:19200000-29000000,8400
%600511,SCHIZOPHRENIA 3; SCZD3,,6p23,6:13400000-15200000,6365
%603176,SCHIZOPHRENIA 7; SCZD7,,13q32,13:94400000-101100000,8401
%603175,SCHIZOPHRENIA 5; SCZD5,,6q13-q26,6:69200000-164100000,
%603342,SCHIZOPHRENIA 2; SCZD2,,11q14-q21,11:77400000-97400000,6378
%605419,SCHIZOPHRENIA 10; SCZD10,,15q15,15:39800000-44500000,63944
%181510,SCHIZOPHRENIA 1; SCZD1,,5q23-q35,5:115900000-181538259,6377
*605210,DISRUPTED IN SCHIZOPHRENIA 1; DISC1,,1q42.2,1:231626814-232041271,27185
+116790,CATECHOL-O-METHYLTRANSFERASE; COMT,"CATECHOL-O-METHYLTRANSFERASE ACTIVITY, LOW, IN RED CELLS, INCLUDED",22q11.21,22:19941739-19969974,1312
*607145,DYSTROBREVIN-BINDING PROTEIN 1; DTNBP1,,6p22.3,6:15522800-15663057,84062
*142445,NEUREGULIN 1; NRG1,"GLIAL GROWTH FACTOR 2, INCLUDED; GGF2, INCLUDED;;SENSORY AND MOTOR NEURON-DERIVED FACTOR, INCLUDED; SMDF, INCLUDED",8p12,8:31639303-32767956,3084
*606810,PROLINE DEHYDROGENASE (OXIDASE) 1; PRODH,,22q11.21,22:18912694-18936552,5625
#615232,SCHIZOPHRENIA 18; SCZD18,"SCHIZOAFFECTIVE DISORDER, INCLUDED",9p24.2,,
#614332,CHROMOSOME 2p16.3 DELETION SYNDROME,"SCHIZOPHRENIA 17, INCLUDED; SCZD17, INCLUDED",2p16.3,,
*606271,DISRUPTED IN SCHIZOPHRENIA 2; DISC2,,1q42.2,1:231814625-231818516,27184
%125480,MAJOR AFFECTIVE DISORDER 1; MAFD1,,18p,,4095
#192430,VELOCARDIOFACIAL SYNDROME,,22q11.21,,
