tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	6532	0	live	SLC6A4	5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT	solute carrier family 6 (neurotransmitter transporter), member 4	5-hydroxytryptamine (serotonin) transporter|5HT transporter|Na+/Cl- dependent serotonin transporter|serotonin transporter 1|solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	17q11.2	17	NC_000017.11	30194319	30235968	minus	15	182138	
9606	Homo sapiens	627	0	live	BDNF	ANON2, BULN2	brain-derived neurotrophic factor	abrineurin|neurotrophin	11p13	11	NC_000011.10	27654893	27722058	minus	12	113505	
9606	Homo sapiens	3356	0	live	HTR2A	5-HT2A, HTR2	5-hydroxytryptamine receptor 2A	5-HT2 receptor|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled|serotonin 5-HT-2A receptor	13q14-q21	13	NC_000013.11	46831542	46897076	minus	4	182135	
9606	Homo sapiens	2898	0	live	GRIK2	EAA4, GLR6, GLUK6, GLUR6, GluK2, MRT6	glutamate ionotropic receptor kainate type subunit 2	bA487F5.1|excitatory amino acid receptor 4|gluR-6|glutamate receptor 6|glutamate receptor form A|glutamate receptor form B|glutamate receptor form C|glutamate receptor form D|glutamate receptor form E|glutamate receptor, ionotropic, kainate 2	6q16.3	6	NC_000006.12	101393708	102070083	plus	21	138244	
9606	Homo sapiens	359	0	live	AQP2	AQP-CD, WCH-CD	aquaporin 2	ADH water channel|AQP-2|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water channel protein for renal collecting duct|water-channel aquaporin 2	12q13.12	12	NC_000012.12	49950741	49958881	plus	4	107777	
9606	Homo sapiens	5789	0	live	PTPRD	HPTP, HPTPD, HPTPDELTA, PTPD, RPTPDELTA	protein tyrosine phosphatase, receptor type D	R-PTP-delta|protein tyrosine phosphatase, receptor type, D|protein tyrosine phosphatase, receptor type, delta polypeptide	9p23-p24.3	9	NC_000009.12	8314246	10612723	minus	49	601598	
9606	Homo sapiens	1602	0	live	DACH1	DACH	dachshund family transcription factor 1	dac homolog	13q22	13	NC_000013.11	71437966	71869113	minus	15	603803	
9606	Homo sapiens	57531	0	live	HACE1	SPPRS	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1		6q16.3	6	NC_000006.12	104682659	104859919	minus	30	610876	
9606	Homo sapiens	23017	0	live	FAIM2	LFG, LFG2, NGP35, NMP35, TMBIM2	Fas apoptotic inhibitory molecule 2	neural membrane protein 35|transmembrane BAX inhibitor motif-containing protein 2	12q13	12	NC_000012.12	49866896	49903977	minus	13	604306	
9606	Homo sapiens	1008	0	live	CDH10		cadherin 10	T2-cadherin|cadherin 10 type 2|cadherin 10, type 2 (T2-cadherin)	5p14.2	5	NC_000005.10	24487100	24645024	minus	14	604555	
9606	Homo sapiens	440145	0	live	MZT1	C13orf37, MOZART1	mitotic spindle organizing protein 1	mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1	13q22.1	13	NC_000013.11	72708357	72727800	minus	4	613448	
9606	Homo sapiens	101927292	0	live	LOC101927292		uncharacterized LOC101927292			12	NC_000012.12	49911953	49926339	plus	6		
9606	Homo sapiens	6505	0	live	SLC1A1	DCBXA, EAAC1, EAAT3, SCZD18	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	excitatory amino acid carrier 1|neuronal and epithelial glutamate transporter|sodium-dependent glutamate/aspartate transporter 3|solute carrier family 1 member 1	9p24	9	NC_000009.12	4490427	4587469	plus	14	133550	
9606	Homo sapiens	1312	0	live	COMT	HEL-S-98n	catechol-O-methyltransferase	catechol-O-methyltransferase isoform|epididymis secretory sperm binding protein Li 98n	22q11.21	22	NC_000022.11	19941740	19969975	plus	11	116790	
9606	Homo sapiens	1815	0	live	DRD4	D4DR	dopamine receptor D4	D(2C) dopamine receptor|dopamine D4 receptor|seven transmembrane helix receptor	11p15.5	11	NC_000011.10	637305	640706	plus	4	126452	
9606	Homo sapiens	114798	0	live	SLITRK1	LRRC12, TTM	SLIT and NTRK like family member 1	SLIT and NTRK-like family, member 1|leucine-rich repeat-containing protein 12|slit and trk like gene 1	13q31.1	13	NC_000013.11	83877205	83882393	minus	2	609678	
9606	Homo sapiens	1813	0	live	DRD2	D2DR, D2R	dopamine receptor D2	dopamine D2 receptor|dopamine receptor D2 isoform|seven transmembrane helix receptor	11q23	11	NC_000011.10	113409595	113475279	minus	8	126450	
9606	Homo sapiens	121278	0	live	TPH2	ADHD7, NTPH	tryptophan hydroxylase 2	neuronal tryptophan hydroxylase|tryptophan 5-monooxygenase 2	12q21.1	12	NC_000012.12	71938846	72035297	plus	14	607478	
9606	Homo sapiens	8910	0	live	SGCE	DYT11, ESG	sarcoglycan epsilon	dystonia 11, myoclonic|epsilon-SG|sarcoglycan, epsilon	7q21.3	7	NC_000007.14	94585224	94656209	minus	15	604149	
9606	Homo sapiens	7124	0	live	TNF	DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF	tumor necrosis factor	APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|cachectin|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha	6p21.3	6	NC_000006.12	31575567	31578336	plus	4	191160	
9606	Homo sapiens	6531	0	live	SLC6A3	DAT, DAT1, PKDYS	solute carrier family 6 (neurotransmitter transporter), member 3	DA transporter|dopamine transporter 1|solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	5p15.3	5	NC_000005.10	1392790	1445428	minus	15	126455	
9606	Homo sapiens	3351	0	live	HTR1B	5-HT-1B, 5-HT-1D-beta, 5-HT1B, 5-HT1DB, HTR1D2, HTR1DB, S12	5-hydroxytryptamine receptor 1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled|serotonin 1D beta receptor|serotonin receptor 1B	6q13	6	NC_000006.12	77462231	77463403	minus	1	182131	
