tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	3107	0	live	HLA-C	D6S204, HLA-JY3, HLAC, HLC-C, PSORS1	major histocompatibility complex, class I, C	HLA class I histocompatibility antigen, C alpha chain|HLA class I histocompatibility antigen, Cw-15 alpha chain|HLA class I histocompatibility antigen, Cw-18 alpha chain|MHC class I antigen Cw*15|MHC class I antigen Cw*18|MHC class I antigen heavy chain HLA-C|human leukocyte antigen-C alpha chain|major histocompatibility antigen HLA-C	6p21.3	6	NC_000006.12	31268749	31272136	minus	8	142840	
9606	Homo sapiens	3593	0	live	IL12B	CLMF, CLMF2, IL-12B, IMD28, IMD29, NKSF, NKSF2	interleukin 12B	CLMF p40|IL-12 subunit p40|IL12, subunit p40|NK cell stimulatory factor chain 2|cytotoxic lymphocyte maturation factor 40 kDa subunit|interleukin 12, p40|interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)|interleukin-12 beta chain|natural killer cell stimulatory factor, 40 kD subunit	5q33.3	5	NC_000005.10	159314783	159330473	minus	8	161561	
9606	Homo sapiens	149233	0	live	IL23R		interleukin 23 receptor	IL-23 receptor	1p31.3	1	NC_000001.11	67138640	67259979	plus	14	607562	
9606	Homo sapiens	10547	0	live	PSORS4		psoriasis susceptibility 4		1q21	1						603935	
9606	Homo sapiens	63870	0	live	PSORS5		psoriasis susceptibility 5		3q21	3						604316	
9606	Homo sapiens	63869	0	live	PSORS6		psoriasis susceptibility 6		19p13	19						605364	
9606	Homo sapiens	359825	0	live	PSORS9		psoriasis susceptibility 9		4q31-q34	4						607857	
9606	Homo sapiens	7889	0	live	PSORS3		psoriasis susceptibility 3		4q	4						601454	
9606	Homo sapiens	170679	0	live	PSORS1C1	C6orf16, SEEK1	psoriasis susceptibility 1 candidate 1		6p21.3	6	NC_000006.12	31114831	31140092	plus	6	613525	
9606	Homo sapiens	503613	0	live	PSORS10		psoriasis susceptibility 10		18p11.23	18						612410	
9606	Homo sapiens	140454	0	live	PSORS8		psoriasis susceptibility 8		16q	16						610707	
9606	Homo sapiens	65245	0	live	PSORS7		psoriasis susceptibility 7		1p	1						605606	
9606	Homo sapiens	10758	0	live	TRAF3IP2	ACT1, C6orf2, C6orf4, C6orf5, C6orf6, CANDF8, CIKS, PSORS13	TRAF3 interacting protein 2	NFkB-activating protein ACT1|connection to IKK and SAPK/JNK|nuclear factor NF-kappa-B activator 1	6q21	6	NC_000006.12	111555378	111606874	minus	12	607043	
9606	Homo sapiens	170680	0	live	PSORS1C2	C6orf17, SPR1	psoriasis susceptibility 1 candidate 2		6p21.3	6	NC_000006.12	31137534	31139350	minus	2	613526	
9606	Homo sapiens	2171	0	live	FABP5	E-FABP, EFABP, KFABP, PA-FABP, PAFABP	fatty acid binding protein 5	epidermal-type fatty acid-binding protein|fatty acid binding protein 5 (psoriasis-associated)|psoriasis-associated fatty acid-binding protein homolog	8q21.13	8	NC_000008.11	81280483	81284777	plus	4	605168	
10090	Mus musculus	57390	0	live	Psors1c2	AI448740, Pcg, SPR1	psoriasis susceptibility 1 candidate 2 (human)	MHC psoriasis candidate	17 B1	17	NC_000083.6	35532207	35534647	plus	3		
10090	Mus musculus	16592	0	live	Fabp5	E-FABP, Fabpe, Klbp, PA-FABP, mal1	fatty acid binding protein 5, epidermal	epidermal-type fatty acid-binding protein|epithelial fatty acid-binding protein|keratinocyte lipid-binding protein|psoriasis-associated fatty acid-binding protein homolog	3 A1-A3	3	NC_000069.6	10012585	10016610	plus	4		
10090	Mus musculus	100035451	0	live	Psrs1	Psd1	psoriasis susceptibility 1			10							
