tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	3043	0	live	HBB	CD113t-C, beta-globin	hemoglobin subunit beta	beta globin chain|hemoglobin, beta	11p15.5	11	NC_000011.10	5225466	5227071	minus	3	141900	
9606	Homo sapiens	546	0	live	ATRX	ATR2, JMS, MRX52, MRXHF1, RAD54, RAD54L, SFM1, SHS, XH2, XNP, ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked	ATP-dependent helicase ATRX|DNA dependent ATPase and helicase|X-linked helicase II|X-linked nuclear protein|Zinc finger helicase|alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)|helicase 2, X-linked|mental retardation, X-linked 52	Xq21.1	X	NC_000023.11	77504878	77786269	minus	37	300032,300504	
10090	Mus musculus	22589	0	live	Atrx	4833408C14Rik, AI447451, ATR2, DXHXS6677E, HP1-BP38, Hp1bp2, Hp1bp38, MRXS3, RAD54L, Rad54, XH2, Xnp, ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked	ATP-dependent helicase ATRX|HP1 alpha-interacting protein|X-linked nuclear protein|alpha thalassemia/mental retardation syndrome (X-linked)|alpha thalassemia/mental retardation syndrome X-linked homolog|heterochromatin protein 2	X 47.26 cM	X	NC_000086.7	105797615	105929408	minus	42		
9606	Homo sapiens	8129	0	live	HBHR	ATR1	alpha-thalassemia/mental retardation syndrome, type 1		16pter-p13.3	16						141750	
10116	Rattus norvegicus	246284	0	live	Atrx	Xnp	alpha thalassemia/mental retardation syndrome X-linked	ATP-dependent helicase ATRX|X-linked nuclear protein|alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)|alpha thalassemia/mental retardation syndrome X-linked homolog|helicase II|pABP-2	Xq31	X	NC_005120.4	76820110	76978662	minus	36		
9913	Bos taurus	514473	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked	ATP-dependent helicase ATRX|alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)		X	AC_000187.1	79634413	79921207	plus	37		
9544	Macaca mulatta	705735	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)		X	NC_027913.1	71306511	71595897	minus	37		
30608	Microcebus murinus	105866147	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			Un							
9531	Cercocebus atys	105596142	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			Un							
9545	Macaca nemestrina	105464243	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			Un							
132908	Pteropus vampyrus	105308888	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			Un							
60711	Chlorocebus sabaeus	103232231	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_023671.1	66449830	66737220	minus	37		
9541	Macaca fascicularis	102121631	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_022292.1	74372078	74659595	minus	38		
79684	Microtus ochrogaster	101994073	0	live	Atrx		alpha thalassemia/mental retardation syndrome X-linked			Un							
9940	Ovis aries	101117394	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_019484.2	64641762	64917198	plus	39		
9555	Papio anubis	101012492	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_018172.1	68027838	68311310	minus	35		
9597	Pan paniscus	100985598	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_027891.1	76795574	77083486	minus	35		
9305	Sarcophilus harrisii	100932148	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X							
10029	Cricetulus griseus	100767383	0	live	Atrx		alpha thalassemia/mental retardation syndrome X-linked			Un	NW_003614139.1	357115	451635	minus	31		
9986	Oryctolagus cuniculus	100358645	0	live	ATRX		alpha thalassemia/mental retardation syndrome X-linked			X	NC_013690.1	69357772	69557406	minus	39		
