tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	4041	0	live	LRP5	BMND1, EVR1, EVR4, HBM, LR3, LRP-5, LRP7, OPPG, OPS, OPTA1, VBCH2	LDL receptor related protein 5	low density lipoprotein receptor-related protein 5|low density lipoprotein receptor-related protein 7	11q13.4	11	NC_000011.10	68298866	68449275	plus	27	603506	
9606	Homo sapiens	4982	0	live	TNFRSF11B	OCIF, OPG, PDB5, TR1	tumor necrosis factor receptor superfamily member 11b	osteoclastogenesis inhibitory factor|osteoprotegerin|tumor necrosis factor receptor superfamily, member 11b	8q24	8	NC_000008.11	118923557	118952144	minus	5	602643	
9606	Homo sapiens	7421	0	live	VDR	NR1I1, PPP1R163	vitamin D (1,25- dihydroxyvitamin D3) receptor	1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D nuclear receptor variant 1|vitamin D receptor	12q13.11	12	NC_000012.12	47841537	47905031	minus	11	601769	
9606	Homo sapiens	1277	0	live	COL1A1	EDSC, OI1, OI2, OI3, OI4	collagen type I alpha 1	alpha-1 type I collagen|alpha1(I) procollagen|collagen alpha 1 chain type I|collagen alpha-1(I) chain preproprotein|collagen of skin, tendon and bone, alpha-1 chain|collagen, type I, alpha 1|pro-alpha-1 collagen type 1|type I proalpha 1|type I procollagen alpha 1 chain	17q21.33	17	NC_000017.11	50184096	50201648	minus	51	120150	
9606	Homo sapiens	799	0	live	CALCR	CRT, CT-R, CTR, CTR1	calcitonin receptor		7q21.3	7	NC_000007.14	93424487	93574730	minus	17	114131	
9606	Homo sapiens	1278	0	live	COL1A2	OI4	collagen type I alpha 2	alpha 2 type I procollagen|alpha 2(I) procollagen|alpha 2(I)-collagen|alpha-2 type I collagen|collagen I, alpha-2 polypeptide|collagen of skin, tendon and bone, alpha-2 chain|collagen, type I, alpha 2|type I procollagen	7q22.1	7	NC_000007.14	94394561	94431232	plus	52	120160	
9606	Homo sapiens	9368	0	live	SLC9A3R1	EBP50, NHERF, NHERF-1, NHERF1, NPHLOP2	SLC9A3 regulator 1	Na+/H+ exchange regulatory co-factor|ezrin-radixin-moesin binding phosphoprotein-50|ezrin-radixin-moesin-binding phosphoprotein 50|regulatory cofactor of Na(+)/H(+) exchanger|solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1|solute carrier family 9 isoform A3 regulatory factor 1|solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1	17q25.1	17	NC_000017.11	74748612	74769360	plus	6	604990	
9606	Homo sapiens	5906	0	live	RAP1A	C21KG, G-22K, KREV-1, KREV1, RAP1, SMGP21	RAP1A, member of RAS oncogene family	GTP-binding protein smg p21A|Ras-related protein Krev-1	1p13.3	1	NC_000001.11	111619783	111716695	plus	11	179520	
9606	Homo sapiens	501	0	live	ALDH7A1	ATQ1, EPD, PDE	aldehyde dehydrogenase 7 family member A1	26g turgor protein homolog|P6c dehydrogenase|aldehyde dehydrogenase 7 family, member A1|alpha-AASA dehydrogenase|antiquitin-1|betaine aldehyde dehydrogenase|delta1-piperideine-6-carboxylate dehydrogenase	5q31	5	NC_000005.10	126541841	126595390	minus	19	107323	
9606	Homo sapiens	8572	0	live	PDLIM4	RIL	PDZ and LIM domain 4	LIM domain protein|LIM protein RIL|enigma homolog|reversion-induced LIM protein	5q31.1	5	NC_000005.10	132257658	132273454	plus	7	603422	
9606	Homo sapiens	6569	0	live	SLC34A1	FRTS2, NAPI-3, NPHLOP1, NPT2, NPTIIa, SLC11, SLC17A2	solute carrier family 34 member 1	Na(+)-dependent phosphate cotransporter 2A|Na(+)/Pi cotransporter 2A|Na+-phosphate cotransporter type II|naPi-2a|renal sodium-dependent phosphate transporter|sodium-phosphate transport protein 2A|sodium/phosphate co-transporter|sodium/phosphate cotransporter 2A|solute carrier family 17 (sodium phosphate), member 2|solute carrier family 34 (sodium phosphate), member 1|solute carrier family 34 (type II sodium/phosphate cotransporter), member 1	5q35	5	NC_000005.10	177384431	177398848	plus	15	182309	
9606	Homo sapiens	7857	0	live	SCG2	CHGC, EM66, SN, SgII	secretogranin II	chromogranin-C|secretoneurin	2q35-q36	2	NC_000002.12	223596940	223602499	minus	2	118930	
