tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1136	0	live	CHRNA3	LNCR2, NACHRA3, PAOD2	cholinergic receptor nicotinic alpha 3 subunit	cholinergic receptor, nicotinic alpha 3|cholinergic receptor, nicotinic, alpha 3 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 3|neuronal nicotinic acetylcholine receptor, alpha3 subunit	15q24	15	NC_000015.10	78593052	78621295	minus	10	118503	
9606	Homo sapiens	1138	0	live	CHRNA5	LNCR2	cholinergic receptor nicotinic alpha 5 subunit	Cholinergic receptor, neuronal nicotinic, alpha polypeptide-5|acetylcholine receptor, nicotinic, alpha 5 (neuronal)|cholinergic receptor, nicotinic alpha 5|cholinergic receptor, nicotinic, alpha 5 (neuronal)|neuronal nicotinic acetylcholine receptor, alpha5 subunit	15q24	15	NC_000015.10	78565520	78595269	plus	6	118505	
9606	Homo sapiens	64399	0	live	HHIP	HIP	hedgehog interacting protein		4q28-q32	4	NC_000004.12	144645996	144741400	plus	13	606178	
9606	Homo sapiens	3658	0	live	IREB2	ACO3, IRP2, IRP2AD	iron responsive element binding protein 2	IRE-BP 2|iron regulatory protein 2|iron-responsive element binding protein 2	15q25.1	15	NC_000015.10	78438176	78501456	plus	22	147582	
9606	Homo sapiens	6441	0	live	SFTPD	COLEC7, PSP-D, SFTP4, SP-D	surfactant protein D	collectin-7|lung surfactant protein D|pulmonary surfactant apoprotein|surfactant-associated protein, pulmonary 4	10q22.2-q23.1	10	NC_000010.11	79937740	79982236	minus	9	178635	
9606	Homo sapiens	260431	0	live	COPD		Pulmonary disease, chronic obstructive, severe early-onset		2q	2						606963	
9606	Homo sapiens	10144	0	live	FAM13A	ARHGAP481, FAM13A	family with sequence similarity 13 member A	FAM13A1_v2 protein|family with sequence similarity 13, member A|family with sequence similarity 13, member A1	4q22.1	4	NC_000004.12	88725954	89111398	minus	31	613299	
9606	Homo sapiens	544444	0	live	COPD1		Chronic obstructive pulmonary disease QTL 1			12							
9606	Homo sapiens	544428	0	live	COPD4		Chronic obstructive pulmonary disease QTL 4			22							
9606	Homo sapiens	544420	0	live	COPD3		Chronic obstructive pulmonary disease QTL 3			19							
9606	Homo sapiens	544418	0	live	COPD2		Chronic obstructive pulmonary disease QTL 2			8							
9606	Homo sapiens	544430	0	live	COPD22		Chronic obstructive pulmonary disease QTL 22			17							
9606	Homo sapiens	544427	0	live	COPD21		Chronic obstructive pulmonary disease QTL 21			12							
9606	Homo sapiens	544416	0	live	COPD19		Chronic obstructive pulmonary disease QTL 19			2							
9606	Homo sapiens	544316	0	live	COPD23		Chronic obstructive pulmonary disease QTL 23			19							
9606	Homo sapiens	544447	0	live	COPD5		Chronic obstructive pulmonary disease QTL 5			19							
9606	Homo sapiens	544442	0	live	COPD10		Chronic obstructive pulmonary disease QTL 10			2							
9606	Homo sapiens	544438	0	live	COPD9		Chronic obstructive pulmonary disease QTL 9			19							
9606	Homo sapiens	544432	0	live	COPD12		Chronic obstructive pulmonary disease QTL 12			17							
9606	Homo sapiens	544431	0	live	COPD15		Chronic obstructive pulmonary disease QTL 15			4							
9606	Homo sapiens	544419	0	live	COPD14		Chronic obstructive pulmonary disease QTL 14			3							
9606	Homo sapiens	544315	0	live	COPD7		Chronic obstructive pulmonary disease QTL 7			1							
9606	Homo sapiens	544448	0	live	COPD24		Chronic obstructive pulmonary disease QTL 24			4							
9606	Homo sapiens	544443	0	live	COPD29		Chronic obstructive pulmonary disease QTL 29			4							
9606	Homo sapiens	544439	0	live	COPD27		Chronic obstructive pulmonary disease QTL 27			18							
9606	Homo sapiens	544437	0	live	COPD26		Chronic obstructive pulmonary disease QTL 26			21							
9606	Homo sapiens	544435	0	live	COPD28		Chronic obstructive pulmonary disease QTL 28			18							
9606	Homo sapiens	544422	0	live	COPD25		Chronic obstructive pulmonary disease QTL 25			6							
9606	Homo sapiens	544436	0	live	COPD20		Chronic obstructive pulmonary disease QTL 20			11							
9606	Homo sapiens	544433	0	live	COPD17		Chronic obstructive pulmonary disease QTL 17			1							
9606	Homo sapiens	544426	0	live	COPD18		Chronic obstructive pulmonary disease QTL 18			1							
9606	Homo sapiens	544445	0	live	COPD6		Chronic obstructive pulmonary disease QTL 6			8							
9606	Homo sapiens	544429	0	live	COPD8		Chronic obstructive pulmonary disease QTL 8			8							
9606	Homo sapiens	544424	0	live	COPD16		Chronic obstructive pulmonary disease QTL 16			3							
9606	Homo sapiens	544421	0	live	COPD11		Chronic obstructive pulmonary disease QTL 11			1							
9606	Homo sapiens	544417	0	live	COPD13		Chronic obstructive pulmonary disease QTL 13			4							
9606	Homo sapiens	6439	0	live	SFTPB	PSP-B, SFTB3, SFTP3, SMDP1, SP-B	surfactant protein B	18 kDa pulmonary-surfactant protein|6 kDa protein|pulmonary surfactant-associated proteolipid SPL(Phe)	2p12-p11.2	2	NC_000002.12	85657317	85668741	minus	14	178640	
9606	Homo sapiens	79890	0	live	RIN3		Ras and Rab interactor 3	RAB5 interacting protein 3|ras interaction/interference protein 3	14q32.12	14	NC_000014.9	92513781	92688994	plus	12	610223	
9606	Homo sapiens	646576	0	live	HHIP-AS1		HHIP antisense RNA 1	HHIP antisense RNA 1 (non-protein coding)	4q31.21	4	NC_000004.12	144642916	144646019	minus	2		
9606	Homo sapiens	653509	0	live	SFTPA1	COLEC4, PSAP, PSP-A, PSPA, SFTP1B, SP-A, SP-A1, SPA, SPA1, SFTPA1	surfactant protein A1	35 kDa pulmonary surfactant-associated protein|alveolar proteinosis protein|collectin-4|surfactant protein A1 variant AB'D' 6A|surfactant protein A1 variant AB'D' 6A2|surfactant protein A1 variant AB'D' 6A3|surfactant protein A1 variant AB'D' 6A4|surfactant protein A1 variant ACD' 6A|surfactant protein A1 variant ACD' 6A2|surfactant protein A1 variant ACD' 6A3|surfactant protein A1 variant ACD' 6A4|surfactant protein A1 variant AD' 6A|surfactant protein A1 variant AD' 6A2|surfactant protein A1 variant AD' 6A3|surfactant protein A1 variant AD' 6A4|surfactant protein A1B|surfactant, pulmonary-associated protein A1A|surfactant, pulmonary-associated protein A1B	10q22.3	10	NC_000010.11	79610939	79615443	plus	8	178630	
9606	Homo sapiens	5265	0	live	SERPINA1	A1A, A1AT, AAT, PI, PI1, PRO2275, alpha1AT	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	alpha-1 protease inhibitor|alpha-1-antiproteinase|alpha-1-antitrypsin null|protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin|serine (or cysteine) proteinase inhibitor, clade A, member 1|serpin A1|serpin peptidase inhibitor clade A member 1	14q32.1	14	NC_000014.9	94376747	94390692	minus	7	107400	
9606	Homo sapiens	4312	0	live	MMP1	CLG, CLGN	matrix metallopeptidase 1	fibroblast collagenase|matrix metallopeptidase 1 (interstitial collagenase)|matrix metalloprotease 1|matrix metalloproteinase 1	11q22.3	11	NC_000011.10	102789910	102798235	minus	10	120353	
9606	Homo sapiens	4321	0	live	MMP12	HME, ME, MME, MMP-12	matrix metallopeptidase 12	matrix metallopeptidase 12 (macrophage elastase)|matrix metalloproteinase 12 (macrophage elastase)	11q22.3	11	NC_000011.10	102862733	102875034	minus	10	601046	
9606	Homo sapiens	3162	0	live	HMOX1	HMOX1D, HO-1, HSP32, bK286B10	heme oxygenase 1	heat shock protein, 32-kD|heme oxygenase (decycling) 1	22q13.1	22	NC_000022.11	35381067	35394214	plus	5	141250	
9606	Homo sapiens	177	0	live	AGER	RAGE	advanced glycosylation end product-specific receptor	RAGE isoform NtRAGE-delta|RAGE isoform sRAGE-delta|receptor for advanced glycation end-products variant 20	6p21.3	6	NC_000006.12	32180968	32184322	minus	11	600214	
