tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	4221	0	live	MEN1	MEAI, SCG2	menin 1	multiple endocrine neoplasia I	11q13	11	NC_000011.10	64803514	64811294	minus	13	613733	
9606	Homo sapiens	2099	0	live	ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1	estrogen receptor 1	ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|estrogen receptor alpha splice variant, CTERP-1|estrogen receptor alpha splice variant, ERalphaDup5|estrogen receptor alpha splice variant, ERalphai45a|estrogen receptor alpha splice variant, ERalphai45bL|estrogen receptor alpha splice variant, ERalphai45bS|estrogen receptor alpha splice variant, ERalphai45c|estrogen receptor alpha splice variant, ERalphai56|estrogen receptor alpha splice variant, ERalphai67|nuclear receptor subfamily 3 group A member 1	6q25.1	6	NC_000006.12	151690496	152103274	plus	18	133430	
9606	Homo sapiens	632	0	live	BGLAP	BGP, OC, OCN	bone gamma-carboxyglutamate protein	bone gamma-carboxyglutamate (gla) protein (osteocalcin)|gamma-carboxyglutamic acid-containing protein	1q22	1	NC_000001.11	156242160	156243332	plus	4	112260	
10090	Mus musculus	12096	0	live	Bglap	BGP1, OC, OG1, mOC-A, Bglap	bone gamma carboxyglutamate protein	bone Gla protein|bone gamma carboxyglutamate protein 1|gamma-carboxyglutamic acid-containing protein	3 38.82 cM	3	NC_000069.6	88383495	88384466	minus	3		
9606	Homo sapiens	2263	0	live	FGFR2	BBDS, BEK, BFR-1, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25	fibroblast growth factor receptor 2	BEK fibroblast growth factor receptor|bacteria-expressed kinase|keratinocyte growth factor receptor|protein tyrosine kinase, receptor like 14	10q26	10	NC_000010.11	121478330	121598656	minus	23	176943	
9606	Homo sapiens	5741	0	live	PTH	PTH1	parathyroid hormone	parathormone|parathyrin|parathyroid hormone 1|prepro-PTH|preproparathyroid hormone	11p15.3	11	NC_000011.10	13492054	13496020	minus	3	168450	
9606	Homo sapiens	6662	0	live	SOX9	CMD1, CMPD1, SRA1, SRXX2, SRXY10	SRY-box 9	SRY (sex determining region Y)-box9|SRY (sex-determining region Y)-box 9 protein|SRY box 9|SRY-related HMG-box, gene 9	17q24.3	17	NC_000017.11	72121020	72126420	plus	3	608160	
9606	Homo sapiens	1027	0	live	CDKN1B	CDKN4, KIP1, MEN1B, MEN4, P27KIP1	cyclin-dependent kinase inhibitor 1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	12p13.1-p12	12	NC_000012.12	12717270	12722383	plus	3	600778	
9606	Homo sapiens	3952	0	live	LEP	LEPD, OB, OBS	leptin	leptin (murine obesity homolog)|leptin (obesity homolog, mouse)|obese protein|obese, mouse, homolog of|obesity factor	7q31.3	7	NC_000007.14	128241202	128257629	plus	3	164160	
10090	Mus musculus	20682	0	live	Sox9	2010306G03Rik, AV220920, mKIAA4243	SRY (sex determining region Y)-box 9	SRY-box containing gene 9	11 77.27 cM	11	NC_000077.6	112782210	112787757	plus	3		
