tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	5265	0	live	SERPINA1	A1A, A1AT, AAT, PI, PI1, PRO2275, alpha1AT	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	alpha-1 protease inhibitor|alpha-1-antiproteinase|alpha-1-antitrypsin null|protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin|serine (or cysteine) proteinase inhibitor, clade A, member 1|serpin A1|serpin peptidase inhibitor clade A member 1	14q32.1	14	NC_000014.9	94376747	94390692	minus	7	107400	
10116	Rattus norvegicus	24648	0	live	Serpina1	AAT, Pi, Spi1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	alpha-1-antitrypsin (protease inhibitor)|alpha-1-protease inhibitor|alpha-1-proteinase inhibitor|serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1|serine (or cysteine) proteinase inhibitor, clade A, member 1|serine protease inhibitor alpha 1|serpin A1	6q32	6	NC_005105.4	127610241	127632265	minus	7		
10090	Mus musculus	20700	0	live	Serpina1a	Aat-2, Aat2, Dom1, PI1, Spi1-1, Spi1-3	serine (or cysteine) peptidase inhibitor, clade A, member 1A	AAT|alpha-1 protease inhibitor 1|alpha-1-antiproteinase|alpha-1-antitrypsin 2|serine (or cysteine) proteinase inhibitor, clade A, member 1a|serine protease inhibitor 1-1|serine protease inhibitor A1a|serpin A1a	12 52.98 cM	12	NC_000078.6	103853295	103863619	minus	6		
10090	Mus musculus	20702	0	live	Serpina1c	Pi3, Pi6, Skalp, Spi1-3, Spi1-6, Wap3	serine (or cysteine) peptidase inhibitor, clade A, member 1C	alpha-1 protease inhibitor 3|alpha-1 protease inhibitor 6|alpha-1-antitrypsin 1-6|apha-1 protease inhibitor 3|pre-elafin|serine (or cysteine) proteinase inhibitor, clade A, member 1c|serine protease inhibitor 1-3|serine protease inhibitor 1-6|serine protease inhibitor A1c|serpin A1c|trappin-2	12 52.98 cM	12	NC_000078.6	103894926	103904950	minus	5		
9940	Ovis aries	443388	0	live	SERPINA1	A1AT, PI, alpha-1-PI	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	alpha-1 antitrypsin|alpha-1-antitrypsin|alpha-1-proteinase inhibitor|protease inhibitor 1|serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 1		18	NC_019475.2	57826317	57844098	minus	6		
9913	Bos taurus	280699	0	live	SERPINA1	PI	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	alpha-1-antitrypsin|alpha-1-proteinase inhibitor|protease inhibitor 1 (anti-elastase, antitrypsin, alpha-1)|serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 1|serine proteinase inhibitor, clade A, member 1|serpin A1		21	AC_000178.1	59578526	59590437	minus	6		
9796	Equus caballus	100065158	0	live	SPI2		alpha-1-antitrypsin	alpha-1-antitrypsin 2|alpha-1-proteinase inhibitor 2		24	NC_009167.2	37051738	37061552	minus	6		
9986	Oryctolagus cuniculus	100008973	0	live	LOC100008973		alpha-1-antiproteinase F precursor	APF|alpha-1-antitrypsin|alpha-1-proteinase inhibitor		Un	NW_003159509.1	375194	383968	minus	5		
9986	Oryctolagus cuniculus	100328621	0	live	LOC100328621		alpha-1-antitrypsin			Un	NW_003159509.1	388015	393656	minus	5		
8839	Anas platyrhynchos	101803775	0	live	LOC101803775	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor clade A member 1|serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
9669	Mustela putorius furo	101675098	0	live	LOC101675098	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
9646	Ailuropoda melanoleuca	100478918	0	live	LOC100478918	PANDA_009257	alpha-1-antitrypsin			Un							
9531	Cercocebus atys	105596621	0	live	LOC105596621		alpha-1-antitrypsin			Un							
74533	Panthera tigris altaica	102965075	0	live	LOC102965075	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
8496	Alligator mississippiensis	102566140	0	live	LOC102566140	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
109478	Myotis brandtii	102238599	0	live	LOC102238599	D623_10004130	alpha-1-antitrypsin			Un							
181119	Pseudopodoces humilis	102104025	0	live	LOC102104025	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
8932	Columba livia	102091562	0	live	LOC102091562	A306_03313	alpha-1-antitrypsin	Alpha-1-antitrypsin-like protein CM55-SI		Un							
8932	Columba livia	102091381	0	live	LOC102091381	A306_03312	alpha-1-antitrypsin			Un							
44394	Zonotrichia albicollis	102068016	0	live	LOC102068016	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
345164	Falco cherrug	102055546	0	live	LOC102055546	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
8954	Falco peregrinus	101916320	0	live	LOC101916320	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
9708	Odobenus rosmarus divergens	101365253	0	live	LOC101365253	SERPINA1	alpha-1-antitrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1		Un							
10029	Cricetulus griseus	100761387	0	live	LOC100761387		alpha-1-antitrypsin			Un	NW_003614700.1	445586	450055	minus	4		
9402	Pteropus alecto	102893714	0	live	SERPINA1	PAL_GLEAN10020808	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	Alpha-1-antitrypsin		Un							
43179	Ictidomys tridecemlineatus	101963508	0	live	LOC101963508		alpha-1-antitrypsin-like protein GS55-LT	alpha1-antitrypsin-like protein		Un							
9555	Papio anubis	101002028	0	live	SERPINA1	AAT, PI	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	Alpha-1 protease inhibitor|Alpha-1-antiproteinase|Alpha-1-antitrypsin|Serpin A1		7	NC_018158.1	150525465	150537844	minus	6		
8364	Xenopus tropicalis	100488834	0	live	LOC100488834		alpha-1-antitrypsin-like			Un							
9994	Marmota marmota marmota	107150222	0	live	LOC107150222		alpha-1-antitrypsin-like protein GS55-MS			Un							
9994	Marmota marmota marmota	107144711	0	live	LOC107144711		alpha-1-antitrypsin-like protein GS55-MS			Un							
146911	Gekko japonicus	107114093	0	live	LOC107114093		alpha-1-antitrypsin-like			Un							
198806	Calidris pugnax	106897147	0	live	LOC106897147		alpha-1-antitrypsin-like			Un							
198806	Calidris pugnax	106897146	0	live	LOC106897146		alpha-1-antitrypsin-like			Un							
198806	Calidris pugnax	106897145	0	live	LOC106897145		alpha-1-antitrypsin-like			Un							
9172	Sturnus vulgaris	106858054	0	live	LOC106858054		alpha-1-antitrypsin-like			Un							
9172	Sturnus vulgaris	106858053	0	live	LOC106858053		alpha-1-antitrypsin-like			Un							
9172	Sturnus vulgaris	106858043	0	live	LOC106858043		alpha-1-antitrypsin-like			Un							
181119	Pseudopodoces humilis	106628067	0	live	LOC106628067		alpha-1-antitrypsin-like			Un							
8030	Salmo salar	106608112	0	live	LOC106608112		alpha-1-antitrypsin homolog			ssa06	NC_027305.1	73190354	73193026	plus	5		
202946	Apteryx australis mantelli	106483136	0	live	LOC106483136		alpha-1-antitrypsin-like			Un							
202946	Apteryx australis mantelli	106483127	0	live	LOC106483127		alpha-1-antitrypsin-like			Un							
202946	Apteryx australis mantelli	106483126	0	live	LOC106483126		alpha-1-antitrypsin-like			Un							
202946	Apteryx australis mantelli	106483125	0	live	LOC106483125		alpha-1-antitrypsin-like			Un							
381198	Anser cygnoides domesticus	106036374	0	live	LOC106036374		alpha-1-antitrypsin-like			Un							
381198	Anser cygnoides domesticus	106033760	0	live	LOC106033760		alpha-1-antitrypsin-like			Un							
381198	Anser cygnoides domesticus	106033756	0	live	LOC106033756		alpha-1-antitrypsin-like			Un							
8839	Anas platyrhynchos	106017690	0	live	LOC106017690		alpha-1-antitrypsin-like			Un							
10020	Dipodomys ordii	105986455	0	live	LOC105986455		alpha-1-antitrypsin-like protein CM55-ST			Un							
10020	Dipodomys ordii	105986366	0	live	LOC105986366		alpha-1-antitrypsin-like			Un							
7950	Clupea harengus	105892963	0	live	LOC105892963		alpha-1-antitrypsin homolog			Un							
7950	Clupea harengus	105892962	0	live	LOC105892962		alpha-1-antitrypsin homolog			Un							
379532	Propithecus coquereli	105819056	0	live	LOC105819056		alpha-1-antitrypsin-like			Un							
216574	Aquila chrysaetos canadensis	105399861	0	live	LOC105399861		alpha-1-antitrypsin-like			Un							
216574	Aquila chrysaetos canadensis	105399859	0	live	LOC105399859		alpha-1-antitrypsin-like			Un							
216574	Aquila chrysaetos canadensis	105399858	0	live	LOC105399858		alpha-1-antitrypsin-like			Un							
9685	Felis catus	105259609	0	live	LOC105259609		alpha-1-antitrypsin-like			B3							
8010	Esox lucius	105006329	0	live	LOC105006329		alpha-1-antitrypsin homolog			LG18	NC_025985.2	7437566	7443033	plus	5		
