tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	4864	0	live	NPC1	NPC	Niemann-Pick disease, type C1	truncated Niemann-Pick C1	18q11.2	18	NC_000018.10	23506184	23586617	minus	28	607623	
9606	Homo sapiens	10577	0	live	NPC2	EDDM1, HE1	Niemann-Pick disease, type C2	Niemann-Pick disease type C2 protein|epididymal protein 1|human epididymis-specific protein 1|tissue-specific secretory protein	14q24.3	14	NC_000014.9	74479940	74493381	minus	5	601015	
10090	Mus musculus	18145	0	live	Npc1	A430089E03Rik, C85354, D18Ertd139e, D18Ertd723e, lcsd, nmf164, spm	Niemann-Pick type C1	Niemann Pick type C1|sphingomyelinosis	18 6.15 cM	18	NC_000084.6	12189694	12236386	minus	25		
9606	Homo sapiens	29881	0	live	NPC1L1	NPC11L1	NPC1-like 1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1	7p13	7	NC_000007.14	44512535	44541330	minus	20	608010	
9606	Homo sapiens	6609	0	live	SMPD1	ASM, ASMASE, NPD	sphingomyelin phosphodiesterase 1	acid sphingomyelinase|sphingomyelin phosphodiesterase 1, acid lysosomal	11p15.4-p15.1	11	NC_000011.10	6390301	6394998	plus	6	607608	
10090	Mus musculus	237636	0	live	Npc1l1	9130221N23Rik, Gm243	NPC1-like 1	Niemann-Pick disease, type C1|Niemann-Pick disease, type C1-like 1	11 A1	11	NC_000077.6	6211011	6230245	minus	20		
10090	Mus musculus	67963	0	live	Npc2	2700012J19Rik, AA408070, AU045843, HE1	Niemann-Pick type C2	mE1|niemann Pick type C2 protein homolog	12 D1	12	NC_000078.6	84754559	84773112	minus	4		
7227	Drosophila melanogaster	33072	0	live	Npc1b	Dmel_CG12092, 151, 4, 7, AF2/19, CG12092, Dmel\CG12092, Dmel_CG11233, NPC1b, Q256, R-9-28, R9-28, dncp1b, l(1)19Ec, l(1)2-3, l(1)R-9-28, l151, l152, lN5, lt2-14a, npc1b	Niemann-Pick type C-1b	CG12092-PA|NPC1b|Niemann-Pick|Npc1b-PA|lethal (1) 19Ec|section 4|section 7	19E5-19E5	X	NC_004354.4	20934869	20939503	plus	6		
7227	Drosophila melanogaster	34358	0	live	Npc1a	Dmel_CG5722, CG5722, DmNPC, Dmel\CG5722, NPC1, NPC1a, Npc1, Npc1_Dm, dNPC1, dNPC1a, dmNPC1, dncp1a, dnpc1a, npc1, npc1a	Niemann-Pick type C-1a	CG5722-PA|CG5722-PB|CG5722-PC|CG5722-PD|CG5722-PE|CG5722-PF|CG5722-PG|Niemann-Pick type C-1|Npc1a-PA|Npc1a-PB|Npc1a-PC|Npc1a-PD|Npc1a-PE|Npc1a-PF|Npc1a-PG	31B1-31B1	2L	NT_033779.5	10213812	10221216	minus	13		
10116	Rattus norvegicus	432367	0	live	Npc1l1		NPC1-like 1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1|Niemann-Pick disease, type C1-like 1		14	NC_005113.4	86345946	86560694	minus	19		
9913	Bos taurus	280815	0	live	NPC2	HE1	Niemann-Pick disease, type C2	EPV20|niemann Pick type C2 protein homolog		10	AC_000167.1	86170645	86179237	minus	5		
10090	Mus musculus	107502	0	live	Mnp		modifier of Niemann Pick type C1			19							
7227	Drosophila melanogaster	43648	0	live	Npc2g	Dmel_CG11314, BcDNA:RE56164, CG11314, Dmel\CG11314, npc2g	Niemann-Pick type C-2g	CG11314-PA|CG11314-PB|Npc2g-PA|Npc2g-PB	100A3-100A3	3R	NT_033777.3	30744605	30745263	minus	1		
7227	Drosophila melanogaster	33374	0	live	Npc2a	Dmel_CG7291, BEST:GH08376, BcDNA:GH22047, BcDNA:RH53228, CG7291, CT22505, DmML3, Dmel\CG7291, NPC2, dnpc2a, npc2a	Niemann-Pick type C-2a	CG7291-PA|Niemann-Pick type C-2|Npc2a-PA|epididymal secretory protein	22B8-22B8	2L	NT_033779.5	1988290	1988940	plus	1		
7227	Drosophila melanogaster	41710	0	live	Npc2b	Dmel_CG3153, CG3153, CT10556, DmML2, Dmel\CG3153, NPC2, npc2b	Niemann-Pick type C-2b	CG3153-PA|CG3153-PB|Npc2b-PA|Npc2b-PB	88A8-88A8	3R	NT_033777.3	14089517	14092425	plus	4		
7227	Drosophila melanogaster	43649	0	live	Npc2h	Dmel_CG11315, BcDNA:GH26608, BcDNA:RH04252, BcDNA:RH68460, CG11315, DmML1A, Dmel\CG11315, npc2h	Niemann-Pick type C-2h	CG11315-PA|CG11315-PB|CG11315-PC|Npc2h-PA|Npc2h-PB|Npc2h-PC	100A3-100A3	3R	NT_033777.3	30745479	30746290	minus	2		
7227	Drosophila melanogaster	326136	0	live	Npc2e	Dmel_CG31410, CG31410, CG3928, Dmel\CG31410, npc2e	Niemann-Pick type C-2e	CG31410-PB|Npc2e-PB	85F8-85F8	3R	NT_033777.3	10053332	10054348	plus	3		
6239	Caenorhabditis elegans	176165	0	live	ncr-2	CELE_F09G8.4	Niemann-Pick C1 protein homolog 2			III	NC_003281.10	8258345	8265688	plus	19		
7227	Drosophila melanogaster	41233	0	live	Npc2c	Dmel_CG3934, CG3934, DmML5A, Dmel\CG3934, npc2c	Niemann-Pick type C-2c	CG3934-PA|Npc2c-PA	85F8-85F8	3R	NT_033777.3	10060252	10061136	plus	3		
7227	Drosophila melanogaster	42864	0	live	Npc2f	Dmel_CG6164, BcDNA:LP08842, CG6164, Dmel\CG6164, npc2f	Niemann-Pick type C-2f	CG6164-PA|Npc2f-PA	95E1-95E1	3R	NT_033777.3	24137895	24140936	plus	4		
7227	Drosophila melanogaster	41232	0	live	Npc2d	Dmel_CG12813, CG12813, Dmel\CG12813, npc2d	Niemann-Pick type C-2d	CG12813-PA|Npc2d-PA	85F8-85F8	3R	NT_033777.3	10055356	10056083	minus	2		
10116	Rattus norvegicus	266732	0	live	Npc1	Cdig2	Niemann-Pick disease, type C1		18p13	18	NC_005117.4	3616878	3662715	minus	25		
6239	Caenorhabditis elegans	180719	0	live	ncr-1	CELE_F02E8.6	Niemann-Pick C1 protein homolog 1			X	NC_003284.9	4472732	4480076	minus	17		
10116	Rattus norvegicus	286898	0	live	Npc2	re1	Niemann-Pick disease, type C2	Niemann Pick type C2|epididymal secretory protein 1	6q31	6	NC_005105.4	108467410	108488330	minus	4		
7955	Danio rerio	553330	0	live	npc1	im:7149020, wu:fb53a12, wu:fc29a12	Niemann-Pick disease, type C1			2	NC_007113.6	3992874	4036082	plus	25		
9598	Pan troglodytes	450192	0	live	NPC2	EPI-1	Niemann-Pick disease, type C2	niemann Pick type C2 protein homolog		14	NC_006481.3	73740492	73754140	minus	6		
9544	Macaca mulatta	699235	0	live	NPC1L1		NPC1-like 1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1|Niemann-Pick C1-like 1 protein		3	NC_027895.1	64242280	64278013	plus	19		
7955	Danio rerio	282673	0	live	npc2	cb292, sb:cb292	Niemann-Pick disease, type C2	16.5 kDa secretory protein|niemann Pick type C2 protein homolog		17	NC_007128.6	43039783	43041271	minus	5		
8364	Xenopus tropicalis	493351	0	live	npc2	np-c2	Niemann-Pick disease, type C2			Un							
10029	Cricetulus griseus	100689424	0	live	Npc1	I79_014078	Niemann-Pick disease, type C1	Niemann Pick type C1|Niemann-Pick type C1		2	NW_003614266.1	663731	700235	plus	24		
367110	Neurospora crassa OR74A	3872233	0	live	NCU04090	NCU04090	niemann-Pick C1 protein			VI	NC_026506.1	2712109	2717099	minus	2		
242507	Magnaporthe oryzae 70-15	2674383	0	live	MGG_00819	MGG_00819	niemann-Pick C1 protein			5	NC_017852.1	1501779	1506501	minus	2		
9544	Macaca mulatta	699881	0	live	NPC2		Niemann-Pick disease, type C2			7	NC_027899.1	136866092	136880224	minus	6		
9986	Oryctolagus cuniculus	100008746	0	live	NPC1		Niemann-Pick disease, type C1	Niemann-Pick type C1 disease protein		9	NC_013677.1	64721315	64771201	minus	26		
9544	Macaca mulatta	700835	0	live	NPC1		Niemann-Pick disease, type C1			18	NC_027910.1	12011074	12066491	minus	26		
9685	Felis catus	493693	0	live	NPC1		Niemann-Pick disease, type C1	Niemann-Pick C1		D3	NC_018734.2	45477928	45532402	minus	25		
9598	Pan troglodytes	463381	0	live	NPC1L1		NPC1-like 1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1		7	NC_006474.3	43179099	43207861	minus	20		
9598	Pan troglodytes	455338	0	live	NPC1		Niemann-Pick disease, type C1	Nasopharyngeal carcinoma 1		18	NC_006485.3	19225540	19280666	minus	26		
9031	Gallus gallus	421076	0	live	NPC1		Niemann-Pick disease, type C1	Nasopharyngeal carcinoma 1		2	NC_006089.4	103346083	103372455	minus	27		
9615	Canis lupus familiaris	403698	0	live	NPC1		Niemann-Pick disease, type C1	Niemann-Pick type C1 disease protein		7	NC_006589.3	64764941	64802507	plus	24		
9823	Sus scrofa	397591	0	live	NPC1		Niemann-Pick disease, type C1	Niemann-Pick C disease protein|Niemann-Pick type C1 protein	6	6	NC_010448.3	101001696	101049542	minus	25		
9986	Oryctolagus cuniculus	100009042	0	live	NPC1L1		NPC1-like 1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1|Niemann-Pick C1-like 1 protein		10	NC_013678.1	44970608	44986494	minus	19		
9669	Mustela putorius furo	101693403	0	live	NPC2		Niemann-Pick disease, type C2	Epididymal secretory protein E1		Un							
352472	Dictyostelium discoideum AX4	8617773	0	live	npcA	DDB_G0269158, DDBDRAFT_0191057, DDBDRAFT_0191127, DDB_0191057, DDB_0191127	Niemann-Pick C type protein			1	NC_007087.3	4862383	4866613	plus	3		
296543	Thalassiosira pseudonana CCMP1335	7450365	0	live	THAPSDRAFT_261384	THAPSDRAFT_261384	niemann-pick C type protein-like protein			2	NC_012065.1	1092637	1093097	plus	1		
9940	Ovis aries	100037669	0	live	NPC2		Niemann-Pick disease, type C2	Niemann-Pick disease type C2		7	NC_019464.2	82634501	82644085	minus	4		
655844	Metarhizium robertsii ARSEF 23	19256287	0	live	MAA_02001	MAA_02001	niemann-Pick C1 protein precursor										
3880	Medicago truncatula	25490313	0	live	MTR_3g115450	MTR_3g115450	niemann-pick C1-like protein			3	NC_016409.2	53990571	54007010	minus	44		
3880	Medicago truncatula	11425301	0	live	MTR_5g099070	MTR_5g099070	niemann-pick C1-like protein			5	NC_016411.2	43416142	43436947	minus	35		
1093141	Nannochloropsis gaditana CCMP526	17362500	0	live	NPC1	NGA_0661510	Niemann-Pick C1 protein			Unknown							
8010	Esox lucius	105026433	0	live	npc2		Niemann-Pick disease, type C2			LG15	NC_025982.2	14346061	14347864	minus	5		
10181	Heterocephalus glaber	101700822	0	live	Npc2	GW7_01457	Niemann-Pick disease, type C2	Epididymal secretory protein E1		Un							
10029	Cricetulus griseus	100770757	0	live	Npc2		Niemann-Pick disease, type C2	Epididymal secretory protein E1		Un	NW_003615144.1	31823	46015	minus	4		
235443	Cryptococcus neoformans var. grubii H99	23885932	0	live	CNAG_02298	CNAG_02298	niemann-Pick C1 protein			6	NC_026750.1	670130	674652	minus	6		
3075	Auxenochlorella protothecoides	23618249	0	live	F751_6858	F751_6858	Niemann-Pick C1 protein			Unknown							
6185	Schistosoma haematobium	24588988	0	live	MS3_01217	MS3_01217	Niemann-Pick C1 protein			Unknown							
