tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	23064	0	live	SETX	ALS4, AOA2, SCAR1, bA479K20.2	senataxin	SEN1 homolog|amyotrophic lateral sclerosis 4 protein	9q34.13	9	NC_000009.12	132261440	132356726	minus	33	608465	
9606	Homo sapiens	57679	0	live	ALS2	ALS2CR6, ALSJ, IAHSP, PLSJ	ALS2, alsin Rho guanine nucleotide exchange factor	amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein|amyotrophic lateral sclerosis 2 protein	2q33.1	2	NC_000002.12	201700263	201781172	minus	38	606352	
9606	Homo sapiens	203228	0	live	C9orf72	ALSFTD, FTDALS, FTDALS1	chromosome 9 open reading frame 72		9p21.2	9	NC_000009.12	27546546	27573866	minus	12	614260	
9606	Homo sapiens	255	0	live	ALS5		amyotrophic lateral sclerosis 5		15q15.1-q21.1	15						602099	
9606	Homo sapiens	253	0	live	ALS3	ALS6	amyotrophic lateral sclerosis 3 (autosomal dominant)		18q21	18						606640	
10090	Mus musculus	74018	0	live	Als2	3222402C23Rik, 9430073A21Rikcr6, Alsin, mKIAA1563, Als2	amyotrophic lateral sclerosis 2 (juvenile)	amyotrophic lateral sclerosis 2 (juvenile) homolog|amyotrophic lateral sclerosis 2 protein homolog|amyotrophic lateral sclerosis protein 2 homolog	1 C1.3	1	NC_000067.6	59162756	59237231	minus	35		
9606	Homo sapiens	6647	0	live	SOD1	ALS, ALS1, HEL-S-44, IPOA, SOD, hSod1, homodimer	superoxide dismutase 1, soluble	Cu/Zn superoxide dismutase|SOD, soluble|epididymis secretory protein Li 44|indophenoloxidase A|superoxide dismutase, cystolic	21q22.11	21	NC_000021.9	31659622	31668931	plus	5	147450	
10090	Mus musculus	241066	0	live	Carf	Als2cr8, ECBRC-FC1, ECBRC-FC2	calcium response factor	amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein homolog|calcium-response factor CaRF	1 C2	1	NC_000067.6	60098221	60153953	plus	18		
9606	Homo sapiens	406238	0	live	ALS7		amyotrophic lateral sclerosis 7		20p13	20						608031	
9606	Homo sapiens	79800	0	live	CARF	ALS2CR8, NYD-SP24	calcium responsive transcription factor	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein|calcium-response factor|testis development protein NYD-SP24	2q33.2	2	NC_000002.12	202912218	202987857	plus	22	607586	
9606	Homo sapiens	23025	0	live	UNC13A	Munc13-1	unc-13 homolog A (C. elegans)		19p13.11	19	NC_000019.10	17601328	17688353	minus	46	609894	
9606	Homo sapiens	65059	0	live	RAPH1	ALS2CR18, ALS2CR9, LPD, PREL-2, PREL2, RMO1, RalGDS/AF-6	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 18|amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 9|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein|lamellipodin|proline-rich EVH1 ligand 2	2q33	2	NC_000002.12	203433682	203535335	minus	20	609035	
