OMIM Search - '+endocrine +bone',,,,,
Downloaded:,"Mar 13, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#131100,"MULTIPLE ENDOCRINE NEOPLASIA, TYPE I; MEN1","MEN1 SOMATIC MUTATIONS, INCLUDED",11q13.1,,
#171400,"MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A","THYROID CARCINOMA, FAMILIAL MEDULLARY, INCLUDED",10q11.21,,
#602782,HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME,,11q25,11:130900000-135086622,
#174800,MCCUNE-ALBRIGHT SYNDROME; MAS,"POLYOSTOTIC FIBROUS DYSPLASIA, INCLUDED; PFD, INCLUDED; POFD, INCLUDED",20q13.32,,
#616541,"SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED",,5q14.2,,
*601769,VITAMIN D RECEPTOR; VDR,,12q13.11,12:47841536-47905030,7421
#166710,OSTEOPOROSIS,"FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED","5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 12q13.11, 17q21.33, 20p12.3",,
#167250,PAGET DISEASE OF BONE 3; PDB3,,5q35.3,,
*139320,GNAS COMPLEX LOCUS; GNAS,"GUANINE NUCLEOTIDE-BINDING PROTEIN, ALPHA-STIMULATING ACTIVITY POLYPEPTIDE 1, INCLUDED; GNAS1, INCLUDED;;Gs, ALPHA SUBUNIT, INCLUDED;;STIMULATORY G PROTEIN, INCLUDED;;ADENYLATE CYCLASE STIMULATORY PROTEIN, ALPHA SUBUNIT, INCLUDED;;SECRETOGRANIN VI, INCLUDED;;NEUROENDOCRINE SECRETORY PROTEIN 55, INCLUDED; NESP55, INCLUDED;;XL-ALPHA-S, INCLUDED; XLAS, INCLUDED;;A/B TRANSCRIPT, INCLUDED;;ALTERNATIVE GENE PRODUCT ENCODED BY THE XL EXON, INCLUDED; ALEX, INCLUDED",20q13.32,20:58839739-58911194,2778
*130130,"ELASTASE, NEUTROPHIL-EXPRESSED; ELANE",,19p13.3,19:850996-856249,1991
*603248,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IB; BMPR1B",,4q22.3,4:94757976-95158449,658
600908,KENNERKNECHT SYNDROME,,,,
*600778,CYCLIN-DEPENDENT KINASE INHIBITOR 1B; CDKN1B,,12p13.1,12:12717269-12722382,1027
#259100,"HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 1; PHOAR1","CRANIOOSTEOARTHROPATHY, INCLUDED; COA, INCLUDED;;FAMILIAL IDIOPATHIC OSTEOARTHROPATHY OF CHILDHOOD, INCLUDED;;CURRARINO IDIOPATHIC OSTEOARTHROPATHY, INCLUDED; CIO, INCLUDED",4q34.1,,
+133430,ESTROGEN RECEPTOR 1; ESR1,"HDL CHOLESTEROL, AUGMENTED RESPONSE OF, TO HORMONE REPLACEMENT, INCLUDED;;ATHEROSCLEROSIS, SUSCEPTIBILITY TO, INCLUDED",6q25.1-q25.2,6:151690495-152103273,2099
#145000,HYPERPARATHYROIDISM 1; HRPT1,"PARATHYROID ADENOMA, FAMILIAL, INCLUDED",1q31.2,,
240400,HYPOASCORBEMIA,"L-GULONOLACTONE OXIDASE PSEUDOGENE, INCLUDED; GULOP, INCLUDED;;L-GULONOLACTONE OXIDASE, NONFUNCTIONAL, INCLUDED;;GULO, NONFUNCTIONAL, INCLUDED",8p21.1,8:27500000-29000000,2989
*603790,"SOLUTE CARRIER FAMILY 23 (NUCLEOBASE TRANSPORTER), MEMBER 1; SLC23A1",,5q31.2,5:139367195-139384552,9963
*603791,"SOLUTE CARRIER FAMILY 23 (NUCLEOBASE TRANSPORTER), MEMBER 2; SLC23A2",,20p13,20:4852355-5010292,9962
*164160,LEPTIN; LEP,,7q32.1,7:128241201-128257628,3952
*134934,FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3,"FGFR3/TACC3 FUSION GENE, INCLUDED",4p16.3,4:1793298-1808871,2261
#304120,"OTOPALATODIGITAL SYNDROME, TYPE II; OPD2",,Xq28,,
*605131,WW DOMAIN-CONTAINING OXIDOREDUCTASE; WWOX,"FRAGILE SITE 16q23.2, INCLUDED; FRA16D, INCLUDED",16q23.1-q23.2,16:78099412-79212666,51741
#200610,"ACHONDROGENESIS, TYPE II; ACG2","HYPOCHONDROGENESIS, INCLUDED",12q13.11,,
*313700,ANDROGEN RECEPTOR; AR,,Xq12,X:67544031-67730618,367
#103580,"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A",,20q13.32,,
*139250,GROWTH HORMONE 1; GH1,,17q23.3,17:63917192-63918851,2688
*601007,LEPTIN RECEPTOR; LEPR,,1p31.3,1:65420651-65637492,3953
+168470,PARATHYROID HORMONE-LIKE HORMONE; PTHLH,"HUMORAL HYPERCALCEMIA OF MALIGNANCY, INCLUDED; HHM, INCLUDED",12p11.22,12:27958083-27972730,5744
#262500,LARON SYNDROME,,5p13-p12,,
#301500,FABRY DISEASE,"FABRY DISEASE, CARDIAC VARIANT, INCLUDED",Xq22.1,,
601477,RIBBING DISEASE,,,,
#201910,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY","HYPERANDROGENISM, NONCLASSIC TYPE, DUE TO 21-HYDROXYLASE DEFICIENCY, INCLUDED",6p21.33,,
#612847,BRACHYOLMIA TYPE 4 WITH MILD EPIPHYSEAL AND METAPHYSEAL CHANGES; BCYM4,,10q23.2-q23.3,,
*608052,TORSIN 2A; TOR2A,"PREPROSALUSIN, INCLUDED;;SALUSIN-ALPHA, INCLUDED;;SALUSIN-BETA, INCLUDED",9q34.11,9:127731523-127736376,27433
#101800,ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1,,17q24.2,,
#240300,"AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I, WITH OR WITHOUT REVERSIBLE METAPHYSEAL DYSPLASIA; APS1","AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I, AUTOSOMAL DOMINANT, INCLUDED;;POLYGLANDULAR DEFICIENCY SYNDROME, PERSIAN-JEWISH TYPE, INCLUDED",21q22.3,,
#216550,COHEN SYNDROME; COH1,,8q22.2,,
#162200,"NEUROFIBROMATOSIS, TYPE I; NF1",,17q11.2,,
*600129,"PHOSPHODIESTERASE 4D, cAMP-SPECIFIC; PDE4D",,5q11.2-q12.1,5:58969037-60522119,5144
*608272,NEURAMINIDASE 1; NEU1,,6p21.33,6:31859051-31862931,4758
#300068,ANDROGEN INSENSITIVITY SYNDROME; AIS,,Xq12,,
#614962,LEPTIN DEFICIENCY OR DYSFUNCTION; LEPD,,7q32.1,,
*190180,"TRANSFORMING GROWTH FACTOR, BETA-1; TGFB1",,19q13.2,19:41330530-41353932,7040
%264090,"PROGEROID SYNDROME, NEONATAL",,,,
#615777,DESBUQUOIS DYSPLASIA 2; DBQD2,,16p12.3,,
#102500,HAJDU-CHENEY SYNDROME; HJCYS,,1p12,,
#615849,CULLER-JONES SYNDROME; CJS,,2q14.2,,
*139605,"HAIRY/ENHANCER OF SPLIT, DROSOPHILA, HOMOLOG OF, 1; HES1",,3q29,3:194136141-194138611,3280
*605353,GHRELIN; GHRL,"OBESTATIN, INCLUDED",3p25.3,3:10285749-10292946,51738
#608594,"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1",,9q34.3,,
#227650,"FANCONI ANEMIA, COMPLEMENTATION GROUP A; FANCA","FANCONI ANEMIA, ESTREN-DAMESHEK VARIANT, INCLUDED;;ESTREN-DAMESHEK VARIANT OF FANCONI ANEMIA, INCLUDED;;ESTREN-DAMESHEK VARIANT OF FANCONI PANCYTOPENIA, INCLUDED",16q24.3,,
*190198,"NOTCH, DROSOPHILA, HOMOLOG OF, 1; NOTCH1",,9q34.3,9:136494443-136545785,4851
%236100,HOLOPROSENCEPHALY 1; HPE1,,21q22.3,21:41200000-46709983,3244
*139191,GROWTH HORMONE-RELEASING HORMONE RECEPTOR; GHRHR,,7p14.3,7:30964020-30979530,2692
#259600,"MULTICENTRIC OSTEOLYSIS, NODULOSIS, AND ARTHROPATHY; MONA",,16q12.2,,
#606170,GENITOPATELLAR SYNDROME; GTPTS,,10q22.2,,
*147440,INSULIN-LIKE GROWTH FACTOR I; IGF1,,12q23.2,12:102395866-102481785,3479
