tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	5664	0	live	PSEN2	AD3L, AD4, CMD1V, PS2, STM2	presenilin 2	AD3LP|AD5|Alzheimer disease 4|E5-1|PS-2|STM-2	1q42.13	1	NC_000001.11	226870572	226896103	plus	15	600759	
9606	Homo sapiens	348	0	live	APOE	AD2, APO-E, LDLCQ5, LPG	apolipoprotein E	apolipoprotein E3	19q13.2	19	NC_000019.10	44905749	44909395	plus	6	107741	
9606	Homo sapiens	351	0	live	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, APP	amyloid beta precursor protein	alzheimer disease amyloid protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|cerebral vascular amyloid peptide|peptidase nexin-II|preA4|protease nexin-II	21q21.3	21	NC_000021.9	25880550	26171128	minus	20	104760	
10090	Mus musculus	11820	0	live	App	Abeta, Abpp, Adap, Ag, Cvap, E030013M08Rik, betaApp	amyloid beta (A4) precursor protein	alzheimer disease amyloid A4 protein homolog|amyloidogenic glycoprotein|appican|protease nexin II	16 C3-qter	16	NC_000082.6	84954436	85173952	minus	19		
10116	Rattus norvegicus	54226	0	live	App	Abeta	amyloid beta precursor protein	ABPP|AG|alzheimer disease amyloid A4 protein homolog|amyloid A4|amyloid beta (A4) precursor protein|amyloidogenic glycoprotein	11q11	11	NC_005110.4	24425013	24641837	minus	18		
9606	Homo sapiens	8081	0	live	AD5		Alzheimer disease 5	Alzheimer disease, familial, type 5	12p11.23-q13.12	12						602096	
9606	Homo sapiens	64851	0	live	AD6		Alzheimer disease 6		10q	10						605526	
9606	Homo sapiens	780912	0	live	AD10		Alzheimer disease-10		7q36	7						609636	
9606	Homo sapiens	450086	0	live	AD9		Alzheimer disease 9		19p13.2	19						608907	
9606	Homo sapiens	114475	0	live	AD7		Alzheimer disease 7		10p13	10						606187	
9606	Homo sapiens	101290498	0	live	AD17		Alzheimer disease 17		6p21.2	6						615080	
9606	Homo sapiens	100271718	0	live	AD16		Alzheimer disease 16		Xq21.3	X						300756	
9606	Homo sapiens	100188838	0	live	AD15		Alzheimer disease-15		3q22-q24	3						611155	
9606	Homo sapiens	100188837	0	live	AD13		Alzheimer disease-13		1q21	1						611152	
9606	Homo sapiens	100188830	0	live	AD12		Alzheimer disease 12		8p12-q22	8						611073	
9606	Homo sapiens	100188795	0	live	AD11		Alzheimer disease-11		9p22.1	9						609790	
9606	Homo sapiens	100188754	0	live	AD14		Alzheimer disease 14		1q25	1						611154	
9606	Homo sapiens	353128	0	live	AD8		Alzheimer disease 8		20p	20						607116	
9606	Homo sapiens	84570	0	live	COL25A1	AMY, CFEOM5, CLAC, CLAC-P, CLACP	collagen type XXV alpha 1	alzheimer disease amyloid-associated protein|collagen, type XXV, alpha 1|collagen-like Alzheimer amyloid plaque component|collagenous Alzheimer amyloid plaque component	4q25	4	NC_000004.12	108808725	109302752	minus	52	610004	
9606	Homo sapiens	2186	0	live	BPTF	FAC1, FALZ, NURF301	bromodomain PHD finger transcription factor	bromodomain and PHD domain transcription factor|bromodomain and PHD finger-containing transcription factor|fetal Alz-50 clone 1 protein|fetal Alz-50 reactive clone 1|fetal Alzheimer antigen|nucleosome remodeling factor, large subunit	17q24.3	17	NC_000017.11	67825528	67984378	plus	34	601819	
9606	Homo sapiens	22883	0	live	CLSTN1	ALC-ALPHA, CDHR12, CST-1, CSTN1, PIK3CD, XB31alpha, alcalpha1, alcalpha2	calsyntenin 1	alcadein-alpha|alzheimer-related cadherin-like protein|cadherin-related family member 12|non-classical cadherin XB31alpha	1p36.22	1	NC_000001.11	9729021	9824526	minus	19	611321	
10090	Mus musculus	207165	0	live	Bptf	9430093H17Rik, Falz	bromodomain PHD finger transcription factor	fetal Alzheimer antigen	11 E1	11	NC_000077.6	107033081	107131922	minus	33		
10116	Rattus norvegicus	303617	0	live	Bptf	Falz	bromodomain PHD finger transcription factor	fetal Alzheimer antigen	10q32.1	10	NC_005109.4	95247818	95350133	minus	32		
10090	Mus musculus	77018	0	live	Col25a1	2700062B08Rik, CLAC-P	collagen, type XXV, alpha 1	col25a1|collagen-like Alzheimer amyloid plaque component|procollagen, type XXV, alpha 1	3 H1	3	NC_000069.6	130180339	130599884	plus	41		
9544	Macaca mulatta	100427716	0	live	APP	EGK_13348, ABPP	amyloid beta (A4) precursor protein	Alzheimer disease amyloid protein|alzheimer disease amyloid A4 protein homolog|amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)		3	NC_027895.1	20805477	21096395	plus	18		
9823	Sus scrofa	397663	0	live	APP		amyloid beta (A4) precursor protein	ABPP|alzheimer disease amyloid A4 protein homolog|amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)|amyloid beta precursor protein|amyloid precursor protein	13	13	NC_010455.4	199290846	199568764	minus	18		
9615	Canis lupus familiaris	403407	0	live	APP	ABPP	amyloid beta (A4) precursor protein	alzheimer disease amyloid A4 protein homolog|amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)		31	NC_006613.3	21351207	21614477	minus	18		
9913	Bos taurus	280722	0	live	APP		amyloid beta precursor protein	ABPP|alzheimer disease amyloid A4 protein homolog|amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)|amyloid precursor protein|protease nexin-II		1	AC_000158.1	9607340	9921258	plus	18		
9606	Homo sapiens	10452	0	live	TOMM40	C19orf1, D19S1177E, PER-EC1, PEREC1, TOM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	mitochondrial outer membrane protein|p38.5|protein Haymaker|translocase of outer membrane 40 kDa subunit homolog	19q13	19	NC_000019.10	44891220	44903689	plus	10	608061	
9986	Oryctolagus cuniculus	100009546	0	live	APP	ABPP	amyloid beta (A4) precursor protein	alzheimer disease amyloid A4 protein homolog|beta amyloid protein		14	NC_013682.1	155067483	155337561	minus	18		
121224	Pediculus humanus corporis	8236106	0	live	Phum_PHUM320320	Phum_PHUM320320	fetal alzheimer antigen, falz, putative										
6945	Ixodes scapularis	8043238	0	live	IscW_ISCW023060	IscW_ISCW023060	fetal alzheimer antigen, putative										
7176	Culex quinquefasciatus	6043987	0	live	CpipJ_CPIJ011285	CpipJ_CPIJ011285	fetal alzheimer antigen, falz										
9031	Gallus gallus	374188	0	live	PSEN2	PS2	presenilin 2 (Alzheimer disease 4)	PS-2		3	NC_006090.4	12486613	12504426	minus	12		
9598	Pan troglodytes	473931	0	live	APP		amyloid beta (A4) precursor protein	ABPP|Amyloid beta A4 protein precursor (APP) (ABPP) (Alzheimers disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (Protease nexin-II) (PN-II) (APPI) (PreA4)|alzheimer disease amyloid A4 protein homolog|amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)		21	NC_006488.3	12069961	12355422	minus	19		
9541	Macaca fascicularis	101926433	0	live	APP	ABPP	amyloid beta precursor protein	Alzheimer disease amyloid A4 protein homolog|Amyloid beta A4 protein|amyloid b-protein|amyloid beta (A4) precursor protein|amyloid beta A4 precursor protein		3	NC_022274.1	20805544	21093823	plus	18		
9913	Bos taurus	282705	0	live	PSEN1		presenilin 1	PS-1|presenilin 1 (Alzheimer disease 3)		10	AC_000167.1	85006170	85073426	plus	15		
8364	Xenopus tropicalis	448208	0	live	app	aaa, abeta, abpp, ad1i, ctfgamma, cvap, pn2, app	amyloid beta (A4) precursor protein	amyloid beta (A4) precursor protein (peptidase nexin-2, Alzheimer disease)|amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)|beta-amyloid precursor protein		Un							
28737	Elephantulus edwardii	102854216	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			Un	NW_006399964.1	3632586	3649716	minus	10		
185453	Chrysochloris asiatica	102814641	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			Un	NW_006408683.1	949000	997708	plus	10		
9713	Leptonychotes weddellii	102731288	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			Un	NW_006384577.1	659646	662301	minus	2		
89462	Bubalus bubalis	102402822	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			Un	NW_005785050.1	962986	984130	minus	14		
59894	Ficedula albicollis	101821118	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			3	NC_021674.1	16211630	16231996	minus	11		
9593	Gorilla gorilla	101137786	0	live	PSEN2		presenilin 2 (Alzheimer disease 4)			1	NC_018424.1	207061895	207087400	plus	13		
9615	Canis lupus familiaris	490382	0	live	PSEN2		presenilin 2	presenilin 2 (Alzheimer disease 4)		7	NC_006589.3	38147157	38163023	minus	10		
9615	Canis lupus familiaris	403408	0	live	PSEN1	PS-1	presenilin 1	presenilin 1 (Alzheimer disease 3)		8	NC_006590.3	46495562	46569532	plus	13		
8364	Xenopus tropicalis	549935	0	live	psen2	ad3l, ad4, ps2, stm2	presenilin 2	presenilin 2 (Alzheimer disease 4)		Un							
8364	Xenopus tropicalis	394924	0	live	psen1	X-PS-alpha, X-PS-beta, ad3, fad, ps1, s182	presenilin 1	presenilin 1 (Alzheimer disease 3)		Un							
9544	Macaca mulatta	698770	0	live	PSEN2	EGK_01590	presenilin 2	presenilin 2 (Alzheimer disease 4)		1	NC_027893.1	137853672	137880395	plus	14		
9913	Bos taurus	282010	0	live	PSEN2		presenilin 2	PS-2|presenilin 2 (Alzheimer disease 4)	16q16	16	AC_000173.1	30595985	30622407	plus	14		
9823	Sus scrofa	780410	0	live	PSEN2	PS-2	presenilin 2	presenilin 2 (Alzheimer disease 4)	10p16-p11	10	NC_010452.3	16862708	16891775	plus	15		
9598	Pan troglodytes	739740	0	live	PSEN1		presenilin 1	presenilin 1 (Alzheimer disease 3)		14	NC_006481.3	72396455	72470712	plus	11		
9598	Pan troglodytes	457790	0	live	PSEN2		presenilin 2	presenilin 2 (Alzheimer disease 4)		1	NC_006468.3	206057974	206084614	plus	14		
8355	Xenopus laevis	397713	0	live	psen2		presenilin 2	PS-2|PS-beta|presenilin 2 (Alzheimer disease 4)|presenilin beta|presenilin-beta									
9986	Oryctolagus cuniculus	100008886	0	live	PSEN1		presenilin 1	presenilin 1 (Alzheimer disease 3)|presenilin-1		20	NC_013688.1	31808035	31881510	minus	10		
