tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	2917	0	live	GRM7	GLUR7, GPRC1G, MGLU7, MGLUR7, PPP1R87	glutamate receptor, metabotropic 7	protein phosphatase 1, regulatory subunit 87	3p26.1-p25.1	3	NC_000003.12	6861097	7741531	plus	17	604101	
9606	Homo sapiens	6671	0	live	SP4	HF1B, SPR-1	Sp4 transcription factor		7p15.3	7	NC_000007.14	21428071	21514822	plus	12	600540	
9606	Homo sapiens	6570	0	live	SLC18A1	CGAT, VAT1, VMAT1	solute carrier family 18 (vesicular monoamine transporter), member 1	solute carrier family 18 (vesicular monoamine), member 1|solute carrier family 18 member 1|vesicular amine transporter 1	8p21.3	8	NC_000008.11	20144855	20183338	minus	17	193002	
9606	Homo sapiens	11178	0	live	LZTS1	F37, FEZ1	leucine zipper, putative tumor suppressor 1	F37/Esophageal cancer-related gene-coding leucine-zipper motif	8p22	8	NC_000008.11	20246165	20303981	minus	9	606551	
9606	Homo sapiens	526	0	live	ATP6V1B2	ATP6B1B2, ATP6B2, HO57, VATB, VPP3, Vma2	ATPase H+ transporting V1 subunit B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2|H+ transporting two-sector ATPase|V-ATPase B2 subunit|V-ATPase subunit B 2|endomembrane proton pump 58 kDa subunit|vacuolar H+-ATPase 56,000 subunit|vacuolar proton pump subunit B 2	8p21.3	8	NC_000008.11	20197193	20221696	plus	14	606939	
9606	Homo sapiens	9450	0	live	LY86	MD-1, MD1, MMD-1, dJ80N2.1	lymphocyte antigen 86	MD-1, RP105-associated|ly-86|protein MD-1	6p25.1	6	NC_000006.12	6588701	6654983	plus	5	605241	
9606	Homo sapiens	4289	0	live	MKLN1	TWA2	muskelin 1	muskelin 1, intracellular mediator containing kelch motifs	7q32	7	NC_000007.14	131110096	131496639	plus	20	605623	
9606	Homo sapiens	100505566	0	live	LINC00578		long intergenic non-protein coding RNA 578			3	NC_000003.12	177441921	177752704	plus	4		
9606	Homo sapiens	285780	0	live	LY86-AS1	LY86-AS, LY86AS	LY86 antisense RNA 1	LY86 antisense RNA (non-protein coding)|LY86 antisense RNA 1 (non-protein coding)	6p25.1	6	NC_000006.12	6346465	6622826	minus	8		
9606	Homo sapiens	3688	0	live	ITGB1	CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB	integrin subunit beta 1	glycoprotein IIa|integrin VLA-4 beta subunit|integrin beta 1|integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)|very late activation protein, beta polypeptide	10p11.2	10	NC_000010.11	32900318	32958365	minus	18	135630	
9606	Homo sapiens	1756	0	live	DMD	BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85	dystrophin		Xp21.2	X	NC_000023.11	31119219	33339609	minus	87	300377	
9606	Homo sapiens	133	0	live	ADM	AM, PAMP	adrenomedullin	preproadrenomedullin|proadrenomedullin N-20 terminal peptide	11p15.4	11	NC_000011.10	10304980	10307402	plus	4	103275	
9606	Homo sapiens	301	0	live	ANXA1	ANX1, LPC1	annexin A1	annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|phospholipase A2 inhibitory protein	9q21.13	9	NC_000009.12	73151731	73170393	plus	15	151690	
9606	Homo sapiens	6095	0	live	RORA	NR1F1, ROR1, ROR2, ROR3, RZR-ALPHA, RZRA	RAR related orphan receptor A	RAR-related orphan receptor A|ROR-alpha|nuclear receptor RZR-alpha|nuclear receptor subfamily 1 group F member 1|retinoic acid receptor-related orphan receptor alpha|retinoid-related orphan receptor alpha|thyroid hormone nuclear receptor alpha variant 4|transcription factor RZR-alpha	15q22.2	15	NC_000015.10	60488284	61229303	minus	23	600825	
9606	Homo sapiens	1012	0	live	CDH13	CDHH, P105	cadherin 13	H-cadherin (heart)|T-cad|T-cadherin|cadherin 13, H-cadherin (heart)|heart cadherin	16q23.3	16	NC_000016.10	82626794	83796610	plus	20	601364	
9606	Homo sapiens	9456	0	live	HOMER1	HOMERA, HOMER1B, HOMER1C, SYN47, Ves-1, HOMER1	homer scaffolding protein 1	homer homolog 1|homer, neuronal immediate early gene, 1|homer-1	5q14.2	5	NC_000005.10	79373824	79513836	minus	9	604798	
9606	Homo sapiens	1462	0	live	VCAN	CSPG2, ERVR, GHAP, PG-M, WGN, WGN1	versican	chondroitin sulfate proteoglycan 2|chondroitin sulfate proteoglycan core protein 2|glial hyaluronate-binding protein|large fibroblast proteoglycan|versican proteoglycan	5q14.3	5	NC_000005.10	83471674	83582303	plus	15	118661	
9606	Homo sapiens	5789	0	live	PTPRD	HPTP, HPTPD, HPTPDELTA, PTPD, RPTPDELTA	protein tyrosine phosphatase, receptor type D	R-PTP-delta|protein tyrosine phosphatase, receptor type, D|protein tyrosine phosphatase, receptor type, delta polypeptide	9p23-p24.3	9	NC_000009.12	8314246	10612723	minus	49	601598	
9606	Homo sapiens	55117	0	live	SLC6A15	NTT73, SBAT1, V7-3, hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	homolog of rat orphan transporter v7-3|orphan sodium- and chloride-dependent neurotransmitter transporter NTT73|orphan transporter v7-3|sodium- and chloride-dependent neurotransmitter transporter NTT73|sodium-coupled branched-chain amino-acid transporter 1|sodium/chloride dependent neurotransmitter transporter Homo sapiens orphan neurotransmitter transporter NTT7|solute carrier family 6 (neurotransmitter transporter), member 15|solute carrier family 6 member 15|solute carrier family 6, member 15|transporter v7-3	12q21.3	12	NC_000012.12	84859488	84913615	minus	15	607971	
9606	Homo sapiens	1368	0	live	CPM		carboxypeptidase M	renal carboxypeptidase|urinary carboxypeptidase B	12q14.3	12	NC_000012.12	68851175	68963240	minus	10	114860	
9606	Homo sapiens	9188	0	live	DDX21	GUA, GURDB, RH-II/GU, RH-II/GuA	DEAD-box helicase 21	DEAD (Asp-Glu-Ala-Asp) box helicase 21|DEAD (Asp-Glu-Ala-Asp) box polypeptide 21|DEAD box protein 21|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21|Gu protein|RH II/Gu|RNA helicase II/Gu alpha|gu-alpha|nucleolar RNA helicase Gu|nucleolar RNA helicase II	10q21	10	NC_000010.11	68956123	68985069	plus	16	606357	
9606	Homo sapiens	8665	0	live	EIF3F	EIF3S5, eIF3-p47	eukaryotic translation initiation factor 3 subunit F	deubiquitinating enzyme eIF3f|eIF-3-epsilon|eIF3-epsilon|eukaryotic translation initiation factor 3, subunit 5 (epsilon, 47kD)|eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa|eukaryotic translation initiation factor 3, subunit F	11p15.4	11	NC_000011.10	7987320	7996171	plus	8	603914	
9606	Homo sapiens	9267	0	live	CYTH1	B2-1, CYTOHESIN-1, D17S811E, PSCD1, SEC7	cytohesin 1	PH, SEC7 and coiled-coil domain-containing protein 1|SEC7 homolog B2-1|cytoadhesin 1|homolog of secretory protein SEC7|pleckstrin homology, Sec7 and coiled-coil domains 1	17q25	17	NC_000017.11	78674047	78782342	minus	18	182115	
9606	Homo sapiens	64067	0	live	NPAS3	MOP6, PASD6, bHLHe12	neuronal PAS domain protein 3	PAS domain-containing protein 6|basic-helix-loop-helix-PAS protein MOP6|class E basic helix-loop-helix protein 12|member of PAS protein 6|neuronal PAS3	14q13.1	14	NC_000014.9	32934909	33804176	plus	16	609430	
9606	Homo sapiens	2918	0	live	GRM8	GLUR8, GPRC1H, MGLUR8, mGlu8	glutamate receptor, metabotropic 8		7q31.3-q32.1	7	NC_000007.14	126438598	127253294	minus	27	601116	
9606	Homo sapiens	22871	0	live	NLGN1	NL1	neuroligin 1		3q26.31	3	NC_000003.12	173396490	174286644	plus	15	600568	
