tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1277	0	live	COL1A1	EDSC, OI1, OI2, OI3, OI4	collagen type I alpha 1	alpha-1 type I collagen|alpha1(I) procollagen|collagen alpha 1 chain type I|collagen alpha-1(I) chain preproprotein|collagen of skin, tendon and bone, alpha-1 chain|collagen, type I, alpha 1|pro-alpha-1 collagen type 1|type I proalpha 1|type I procollagen alpha 1 chain	17q21.33	17	NC_000017.11	50184096	50201648	minus	51	120150	
9606	Homo sapiens	1278	0	live	COL1A2	OI4	collagen type I alpha 2	alpha 2 type I procollagen|alpha 2(I) procollagen|alpha 2(I)-collagen|alpha-2 type I collagen|collagen I, alpha-2 polypeptide|collagen of skin, tendon and bone, alpha-2 chain|collagen, type I, alpha 2|type I procollagen	7q22.1	7	NC_000007.14	94394561	94431232	plus	52	120160	
9606	Homo sapiens	105317032	0	live	OI16	C16DELp11.2, DEL16p11.2	Osteogenesis imperfecta, type XVI		11p11.2	11						616229	
9606	Homo sapiens	64175	0	live	P3H1	GROS1, LEPRE1, OI8	prolyl 3-hydroxylase 1	growth suppressor 1|leprecan|leucine proline-enriched proteoglycan (leprecan) 1|leucine- and proline-enriched proteoglycan 1|procollagen-proline 3-dioxygenase	1p34.1	1	NC_000001.11	42746335	42767084	minus	16	610339	
9606	Homo sapiens	387733	0	live	IFITM5	BRIL, DSPA1, Hrmp1, OI5, fragilis4	interferon induced transmembrane protein 5	bone-restricted ifitm-like protein|bone-restricted interferon-induced transmembrane protein-like protein|dispanin subfamily A member 1	11p15.5	11	NC_000011.10	298200	299526	minus	2	614757	
9606	Homo sapiens	10491	0	live	CRTAP	CASP, LEPREL3, OI7, P3H5	cartilage associated protein	leprecan-like 3|prolyl 3-hydroxylase family member 5 (non-enzymatic)	3p22.3	3	NC_000003.12	33113958	33147773	plus	7	605497	
9606	Homo sapiens	7471	0	live	WNT1	BMND16, INT1, OI15	wingless-type MMTV integration site family member 1	proto-oncogene Int-1 homolog|wingless-type MMTV integration site family, member 1 (oncogene INT1)	12q13	12	NC_000012.12	48978453	48982613	plus	4	164820	
9606	Homo sapiens	5176	0	live	SERPINF1	EPC-1, OI12, OI6, PEDF, PIG35	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	cell proliferation-inducing gene 35 protein|serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1|serpin F1	17p13.3	17	NC_000017.11	1761965	1777565	plus	8	172860	
9606	Homo sapiens	5479	0	live	PPIB	CYP-S1, CYPB, HEL-S-39, OI9, SCYLP	peptidylprolyl isomerase B	PPIase B|S-cyclophilin|cyclophilin-like protein|epididymis secretory protein Li 39|peptidylprolyl isomerase B (cyclophilin B)|rotamase B	15q21-q22	15	NC_000015.10	64155815	64163155	minus	5	123841	
9606	Homo sapiens	60681	0	live	FKBP10	BRKS1, FKBP65, OI11, OI6, PPIASE, hFKBP65	FK506 binding protein 10	65 kDa FK506-binding protein|65 kDa FKBP|FK506 binding protein 10, 65 kDa|FK506-binding protein 10|FKBP-10|FKBP-65|PPIase FKBP10|immunophilin FKBP65|rotamase	17q21.2	17	NC_000017.11	41812262	41823217	plus	11	607063	
