tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7299	0	live	TYR	ATN, CMM8, OCA1, OCA1A, OCAIA, SHEP3	tyrosinase	LB24-AB|SK29-AB|monophenol monooxygenase|oculocutaneous albinism IA|tumor rejection antigen AB	11q14.3	11	NC_000011.10	89177858	89295759	plus	6	606933	
9606	Homo sapiens	4948	0	live	OCA2	BEY, BEY1, BEY2, BOCA, D15S12, EYCL, EYCL2, EYCL3, HCL3, P, PED, SHEP1	OCA2 melanosomal transmembrane protein	P-protein|eye color 2 (central brown)|eye color 3 (brown)|hair color 3 (brown)|melanocyte-specific transporter protein|oculocutaneous albinism II (pink-eye dilution homolog, mouse)|pink-eyed dilution protein homolog|total brown iris pigmentation	15q	15	NC_000015.10	27754873	28099340	minus	29	611409	
9606	Homo sapiens	4935	0	live	GPR143	NYS6, OA1	G protein-coupled receptor 143	ocular albinism 1|ocular albinism type 1 protein	Xp22.3	X	NC_000023.11	9725413	9765965	minus	10	300808	
10090	Mus musculus	18431	0	live	Oca2	D7H15S12, D7Icr28RN, D7Nic1, p	oculocutaneous albinism II	melanocyte-specific transporter protein|pink-eyed dilution protein	7 33.44 cM	7	NC_000073.6	56239593	56536517	plus	26		
9606	Homo sapiens	122	0	live	ADFN	ALDS	albinism-deafness syndrome		Xq26.3-q27.1	X						300700	
9606	Homo sapiens	101926885	0	live	OCA5	OCA7	oculocutaneous albinism 5 (autosomal recessive)	Albinism, oculocutaneous, type VII	4q24	4						615312	
10090	Mus musculus	18241	0	live	Gpr143	Oa1	G protein-coupled receptor 143	MOA1|homolog of human ocular albinism 1 (Nettleship-Falls)|ocular albinism type 1 protein homolog	X F2-F3	X	NC_000086.7	152781921	152808651	plus	9		
9606	Homo sapiens	4936	0	live	OA3	OAR	ocular albinism 3 (autosomal recessive)	Ocular albinism, autosomal recessive	6q13-q15	6							
9606	Homo sapiens	4941	0	live	OASD		ocular albinism and sensorineural deafness		Xp22.3	X						300650	
9606	Homo sapiens	283652	0	live	SLC24A5	JSX, NCKX5, OCA6, SHEP4	solute carrier family 24 member 5	Na(+)/K(+)/Ca(2+)-exchange protein 5|ion transporter JSX|oculocutaneous albinism 6 (autosomal recessive)|solute carrier family 24 (sodium/potassium/calcium exchanger), member 5|solute carrier family 24, member 5	15q21.1	15	NC_000015.10	48120972	48142392	plus	9	609802	
