OMIM Search - '+Diabetes +Mellitus',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
%222100,"DIABETES MELLITUS, INSULIN-DEPENDENT; IDDM","DIABETES MELLITUS, INSULIN-DEPENDENT, 1, INCLUDED; IDDM1, INCLUDED;;INSULIN-DEPENDENT DIABETES MELLITUS 1, INCLUDED",6p21.3,6:30500000-36600000,
#222300,WOLFRAM SYNDROME 1; WFS1,,4p16.1,,
#125853,"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM","INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED;;DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST, INCLUDED","2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p22.3, 6p21.31, 6q23.2, 7p13, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 17q25.3, 19p13.2, 19q13.2, 20q12-q13.1, 20q13.12, 20q13.13",,
*600937,"POTASSIUM CHANNEL, INWARDLY RECTIFYING, SUBFAMILY J, MEMBER 11; KCNJ11",,11p15.1,11:17364823-17389330,3767
*590050,"TRANSFER RNA, MITOCHONDRIAL, LEUCINE, 1; MTTL1",,,,4567
*138079,GLUCOKINASE; GCK,,7p13,7:44144270-44189422,2645
*600509,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 8; ABCC8",,11p15.1,11:17392884-17476844,6833
#601410,"DIABETES MELLITUS, TRANSIENT NEONATAL, 1",,"6p22.1, 6q24.2",,
*600733,PANCREAS/DUODENUM HOMEOBOX PROTEIN 1; PDX1,,13q12.2,13:27919993-27926313,3651
*147670,INSULIN RECEPTOR; INSR,,19p13.2,19:7112254-7293999,3643
*176730,INSULIN; INS,"INS-IGF2 SPLICED READ-THROUGH TRANSCRIPTS, INCLUDED; INSIGF, INCLUDED",11p15.5,11:2159778-2161208,3630
#606176,"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM","DIABETES MELLITUS, PERMANENT NEONATAL, WITH NEUROLOGIC FEATURES, INCLUDED;;DEVELOPMENTAL DELAY, EPILEPSY, AND NEONATAL DIABETES, INCLUDED; DEND, INCLUDED","7p13, 11p15.5, 11p15.1, 11p15.1",,
#612227,"DIABETES MELLITUS, KETOSIS-PRONE; KPD",,7q32.1,,
#520000,"DIABETES AND DEAFNESS, MATERNALLY INHERITED; MIDD",,,,
*606201,WFS1 GENE; WFS1,,4p16.1,4:6269849-6303264,7466
*142410,HNF1 HOMEOBOX A; HNF1A,,12q24.31,12:120977786-121002511,6927
#249270,THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME; TRMA,,1q24.2,,
#304790,"IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED; IPEX","ISLETS OF LANGERHANS, ABSENCE OF, INCLUDED",Xp11.23,,
*601487,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR-GAMMA; PPARG,"PPARG1, INCLUDED;;PPARG2, INCLUDED;;PPARG3, INCLUDED;;PAX8/PPARG FUSION GENE, INCLUDED",3p25.2,3:12287849-12471012,5468
#125852,"DIABETES MELLITUS, INSULIN-DEPENDENT, 2",,11p15.5,,
%269200,"AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE II; APS2",,,,
*147940,ISLET AMYLOID POLYPEPTIDE; IAPP,,12p12.1,12:21372867-21379979,3375
*602228,TRANSCRIPTION FACTOR 7-LIKE 2; TCF7L2,"TCF7L2/VTI1A FUSION GENE, INCLUDED",10q25.2-q25.3,10:112950218-113167677,6934
#610582,"DIABETES MELLITUS, TRANSIENT NEONATAL, 3","DIABETES MELLITUS, TYPE II, AUTOSOMAL DOMINANT, INCLUDED",11p15.1,,
#500002,MITOCHONDRIAL MYOPATHY WITH DIABETES,,,,
#602782,HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME,,11q25,11:130900000-135086622,
#241080,WOODHOUSE-SAKATI SYNDROME,,2q31.1,,
