tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	10913	0	live	EDAR	DL, ECTD10A, ECTD10B, ED1R, ED3, ED5, EDA-A1R, EDA1R, EDA3, HRM1	ectodysplasin A receptor	EDA-A1 receptor|anhidrotic ectodysplasin receptor 1|downless homolog|downless, mouse, homolog of|ectodermal dysplasia receptor|ectodysplasin 1, anhidrotic receptor|ectodysplasin-A receptor	2q13	2	NC_000002.12	108894471	108989372	minus	14	604095	
9606	Homo sapiens	1896	0	live	EDA	ECTD1, ED1, ED1-A1, ED1-A2-A1, EDA-A2, EDA1, EDA2, HED, HED1, ODT1, STHAGX1, TNLG7C, XHED, XLHED, EDA	ectodysplasin A	X-linked anhidroitic ectodermal dysplasia protein|oligodontia 1|tumor necrosis factor ligand 7C	Xq12-q13.1	X	NC_000023.11	69616067	70039472	plus	11	300451	
9606	Homo sapiens	10804	0	live	GJB6	CX30, DFNA3, DFNA3B, DFNB1B, ECTD2, ED2, EDH, HED, HED2	gap junction protein beta 6	connexin 30|connexin-30|ectodermal dysplasia 2, hidrotic (Clouston syndrome)|gap junction protein, beta 6 (connexin 30)|gap junction protein, beta 6, 30kDa	13q12	13	NC_000013.11	20221962	20232395	minus	6	604418	
9606	Homo sapiens	8626	0	live	TP63	AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L	tumor protein p63	CUSP|amplified in squamous cell carcinoma|chronic ulcerative stomatitis protein|keratinocyte transcription factor KET|transformation-related protein 63|tumor protein p53-competing protein|tumor protein p63 deltaN isoform delta	3q28	3	NC_000003.12	189566861	189897279	plus	20	603273	
9606	Homo sapiens	8517	0	live	IKBKG	AMCBX1, FIP-3, FIP3, Fip3p, IKK-gamma, IMD33, IP, IP1, IP2, IPD2, NEMO, ZC2HC9	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	I-kappa-B kinase subunit gamma|IKKAP1|IKKG|IkB kinase gamma subunit|NF-kappa-B essential modifier|NFkappaB essential modulator|ikB kinase subunit gamma|ikB kinase-associated protein 1|incontinentia pigmenti|inhibitor of nuclear factor kappa-B kinase subunit gamma	Xq28	X	NC_000023.11	154541204	154568573	plus	15	300248	
9606	Homo sapiens	1913	0	live	EEC1	EEC	ectrodactyly, ectodermal dysplasia and cleft lip/palate syndrome 1	Ectrodactyly, ectodermal dysplasia, cleft lip/palate, 1	7q11.2-q21.3	7						129900	
9606	Homo sapiens	5818	0	live	NECTIN1	CD111, CLPED1, ED4, HIgR, HV1S, HVEC, OFC7, PRR, PRR1, PVRL1, PVRR, PVRR1, SK-12, nectin-1	nectin cell adhesion molecule 1	ectodermal dysplasia 4 (Margarita Island type)|herpes simplex virus type 1 sensitivity|herpes virus entry mediator C|herpesvirus Ig-like receptor|nectin 1|poliovirus receptor-like 1|poliovirus receptor-related 1 (herpesvirus entry mediator C)|poliovirus receptor-related protein 1	11q23.3	11	NC_000011.10	119638098	119728725	minus	10	600644	
9606	Homo sapiens	128178	0	live	EDARADD	ECTD11A, ECTD11B, ED3, EDA3	EDAR-associated death domain	EDAR-associated death domain protein|crinkled homolog|ectodysplasia A receptor associated death domain|ectodysplasin A receptor associated adapter protein	1q42.3	1	NC_000001.11	236394380	236484708	plus	7	606603	
9606	Homo sapiens	1914	0	live	EEC2		ectrodactyly, ectodermal dysplasia and cleft lip/palate syndrome 2			19							
9606	Homo sapiens	101101771	0	live	ECTD7		Ectodermal dysplasia 7, hair/nail type									614929	
9606	Homo sapiens	101101770	0	live	ECTD6		Ectodermal dysplasia 6, hair/nail type		17p12-q21.2	17						614928	
9606	Homo sapiens	101101769	0	live	ECTD5		Ectodermal dysplasia 5, hair/nail type		10q24.32-q25.1	10						614927	
9606	Homo sapiens	101101768	0	live	ECTD8		Ectodermal dysplasia 8, hair/tooth/nail type		18q22.1-q22.3	18						602401	
9606	Homo sapiens	100505394	0	live	EDSS2		Ectodermal dysplasia-syndactyly syndrome 2		7p21.2-p14.3	7						613576	
10090	Mus musculus	13608	0	live	Edar	ED1R, ED3, ED5, EDA-A1R, EDA3, dl	ectodysplasin-A receptor	anhidrotic ectodysplasin receptor 1|downless|ectodermal dysplasia receptor	10 B3	10	NC_000076.6	58600780	58675696	minus	13		
9913	Bos taurus	616179	0	live	EDA	ED1	ectodysplasin A	Ectodysplasin 1|ectodermal dysplasia 1, anhidrotic|ectodermal dysplasia protein|ectodysplasin-1		X	AC_000187.1	85691506	86100195	minus	9		
9913	Bos taurus	281405	0	live	PKP1		plakophilin 1	B6P|armadillo|band 6|band-6 protein|plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)		16	AC_000173.1	81683409	81721837	plus	12		
9615	Canis lupus familiaris	607140	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			7	NC_006589.3	1921143	1966910	minus	14		
8496	Alligator mississippiensis	102567363	0	live	PKP1	Y1Q_010683	plakophilin 1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)|plakophilin 1 (ectodermal dysplasia/skin fragility syndrome) isoform A|plakophilin 1 (ectodermal dysplasia/skin fragility syndrome) isoform B		Un							
7719	Ciona intestinalis	494373	0	live	LOC494373		ectodermal dysplasia/anhidrotic-like			7	NC_020172.2	1333210	1338022	plus	8		
144197	Stegastes partitus	103360406	0	live	pkp1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_007578166.1	247693	265178	plus	15		
29078	Eptesicus fuscus	103302956	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_007370910.1	862027	888910	minus	13		
9478	Tarsius syrichta	103269545	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_007253390.1	971562	1019300	plus	14		
60711	Chlorocebus sabaeus	103230335	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			25	NC_023666.1	28083358	28129356	minus	14		
1230840	Orycteropus afer afer	103197231	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006921662.1	8120852	8171399	plus	13		
7868	Callorhinchus milii	103179099	0	live	pkp1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006890086.1	3091345	3116746	minus	13		
48698	Poecilia formosa	103149624	0	live	pkp1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006800171.1	331759	347232	minus	15		
9365	Erinaceus europaeus	103112618	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006804090.1	1043947	1083324	plus	13		
118797	Lipotes vexillifer	103091291	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006783542.1	1280042	1324258	plus	15		
176946	Python bivittatus	103049943	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006532088.1	250506	308489	plus	14		
310752	Balaenoptera acutorostrata scammoni	103013484	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006725443.1	5579966	5621166	minus	14		
9755	Physeter catodon	102987680	0	live	PKP1		plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)			Un	NW_006724249.1	1239963	1273968	plus	14		
8469	Chelonia mydas	102942653	0	live	PKP1	UY3_01814	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	Plakophilin-1		Un	NW_006602229.1	6694081	6745302	plus	14		
