tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
8364	Xenopus tropicalis	493287	0	live	htt	hd, huntington, it15	huntingtin	Huntington disease		Un							
9606	Homo sapiens	3064	0	live	HTT	HD, IT15	huntingtin	huntington disease protein	4p16.3	4	NC_000004.12	3074510	3243960	plus	67	613004	
10090	Mus musculus	15194	0	live	Htt	AI256365, C430023I11Rik, Hd, Hdh, IT15	huntingtin	HD protein homolog|Huntington disease gene homolog|huntington disease protein homolog	5 17.92 cM	5	NC_000071.6	34761736	34912534	plus	67		
9606	Homo sapiens	53369	0	live	HDL3	HLN2	Huntington-like neurodegenerative disorder 2		4p15.3	4						604802	
10116	Rattus norvegicus	29424	0	live	Htt	Hd, Hdh	huntingtin	HD protein homolog|Huntington disease gene homolog|huntingtin (Huntington disease)|huntington disease protein homolog	14q21	14	NC_005113.4	81105139	81254637	minus	68		
9606	Homo sapiens	55893	0	live	ZNF395	HDBP-2, HDBP2, HDRF-2, PBF, PRF-1, PRF1, Si-1-8-14	zinc finger protein 395	HD gene regulatory region-binding protein 2|HD-regulating factor 2|Huntington's disease gene regulatory region-binding protein 2|huntington disease gene regulatory region-binding protein 2|papillomavirus regulatory factor 1|papillomavirus regulatory factor PRF-1|papillomavirus-binding factor	8p21.1	8	NC_000008.11	28345585	28386460	minus	10	609494	
6239	Caenorhabditis elegans	176224	0	live	hipr-1	CELE_ZK370.3	Huntington interacting protein related 1			III	NC_003281.10	8720204	8725011	plus	11		
10090	Mus musculus	54614	0	live	Prpf40b	2610317D23Rik, Hypc	pre-mRNA processing factor 40B	PRP40 pre-mRNA processing factor 40 homolog A|PRP40 pre-mRNA processing factor 40 homolog B|huntingtin yeast partner C|huntingtin-interacting protein C|huntington yeast partner C	15 F3	15	NC_000081.6	99295087	99317018	plus	29		
6945	Ixodes scapularis	8023795	0	live	IscW_ISCW000676	IscW_ISCW000676	huntington associated protein-1 domain, putative										
7668	Strongylocentrotus purpuratus	105444274	0	live	LOC105444274		huntington interacting protein related 1-like			Un							
