OMIM Search - 'depression',,,,,
Downloaded:,"Feb 15, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#168605,PERRY SYNDROME,,2p13.1,,
#608516,MAJOR DEPRESSIVE DISORDER; MDD,"SEASONAL AFFECTIVE DISORDER, INCLUDED; SAD, INCLUDED","6p21.31, 12q21.1, 12q22-q23.2, 13q14.2, 15q25.3-q26.2",,
#269880,SHORT SYNDROME,,5q13.1,,
%608520,MAJOR DEPRESSIVE DISORDER 1,,12q22-q23.2,12:92200000-103500000,431708
%608691,MAJOR DEPRESSIVE DISORDER 2,,15q25.3-q26.2,15:84700000-98000000,431709
%125480,MAJOR AFFECTIVE DISORDER 1; MAFD1,,18p,,4095
*182138,"SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER, SEROTONIN), MEMBER 4; SLC6A4",,17q11.2,17:30194318-30235967,6532
*607478,TRYPTOPHAN HYDROXYLASE 2; TPH2,,12q21.1,12:71938845-72035296,121278
*138247,"GLUTAMATE RECEPTOR, IONOTROPIC, AMPA 2; GRIA2",,4q32.1,4:157220583-157366074,2891
*601011,"CALCIUM CHANNEL, VOLTAGE-DEPENDENT, P/Q TYPE, ALPHA-1A SUBUNIT; CACNA1A","CACNA1A C-TERMINAL POLYPEPTIDE, INCLUDED;;ALPHA-1A C-TERMINAL POLYPEPTIDE, INCLUDED;;ALPHA-1ACT, INCLUDED",19p13.13,19:13206441-13506459,773
*607093,"5,10-METHYLENETETRAHYDROFOLATE REDUCTASE; MTHFR",,1p36.22,1:11785729-11806102,4524
*605204,TORSIN 1A; TOR1A,,9q34.11,9:129812941-129824244,1861
%607834,ANXIETY,"HARM AVOIDANCE, INCLUDED",17q11.2,,
#609286,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 3; PEOA3",,10q24.31,,
*604473,"GLUTAMATE RECEPTOR, METABOTROPIC, 1; GRM1",,6q24.3,6:145964768-146437597,2911
*605210,DISRUPTED IN SCHIZOPHRENIA 1; DISC1,,1q42.2,1:231626814-232041271,27185
#141500,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1","MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA, INCLUDED;;MIGRAINE, SPORADIC HEMIPLEGIC, INCLUDED",19p13.13,,
#128100,"DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT; DYT1",,9q34.11,,
#181500,SCHIZOPHRENIA; SCZD,,"1p36.2, 1p36.22, 1q32.1, 1q42.2, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6p22.3, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 12q24.11, 13q14.2, 13q32, 13q33.2, 14q32.33, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3",,
#159900,"DYSTONIA 11, MYOCLONIC; DYT11",,7q21.3,,
%157300,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",,4q24,4:100100000-106700000,192115
