tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	2812	0	live	GP1BB	BDPLT1, BS, CD42C, GPIBB, GPIbbeta	glycoprotein Ib platelet beta subunit	GP-Ib beta|antigen CD42b-beta|glycoprotein Ib (platelet), beta polypeptide|nuclear localization signal deleted in velocardiofacial syndrome	22q11.21	22	NC_000022.11	19723543	19724774	plus	2	138720	
9606	Homo sapiens	7122	0	live	CLDN5	AWAL, BEC1, CPETRL1, TMVCF	claudin 5	TMDVCF|transmembrane protein deleted in VCFS|transmembrane protein deleted in velocardiofacial syndrome	22q11.21	22	NC_000022.11	19523024	19525337	minus	1	602101	
9606	Homo sapiens	8026	0	live	DGS2	DGCR2	DiGeorge syndrome/velocardiofacial syndrome complex 2		10p14-p13	10						601362	
9606	Homo sapiens	421	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome		22q11.21	22	NC_000022.11	19966603	20016802	minus	27	602269	
9606	Homo sapiens	64976	0	live	MRPL40	L40mt, MRP-L22, MRP-L40, MRPL22, NLVCF, URIM	mitochondrial ribosomal protein L40	nuclear localization signal-containing protein deleted in velocardiofacial syndrome|up-regulated in metastasis	22q11.2	22	NC_000022.11	19432513	19436077	plus	4	605089	
9606	Homo sapiens	1714	0	live	DGCR	CATCH22, DGS, VCF	DiGeorge syndrome chromosome region	DiGeorge syndrome chromosome region (velocardiofacial syndrome)	22q11.21-q11.23	22						188400	
10090	Mus musculus	18100	0	live	Mrpl40	Nlvcf	mitochondrial ribosomal protein L40	L40mt|MRP-L40|nuclear localization signal protein absent in velo-cardio-facial patients|nuclear localization signal-containing protein deleted in velocardiofacial syndrome homolog	16 11.69 cM	16	NC_000082.6	18872018	18876637	minus	4		
8355	Xenopus laevis	398186	0	live	arvcf	Xarvcf, p120	armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syncrome|armadillo repeat gene deletes in velocardiofacial syndrome|catenin arvcf-2ABC protein									
8355	Xenopus laevis	398929	0	live	cldn5	claudin-5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)										
8364	Xenopus tropicalis	100038219	0	live	arvcf	Xarvcf	armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome		Un							
9615	Canis lupus familiaris	486420	0	live	CLDN5		claudin 5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)		26	NC_006608.2	32769798	32771554	plus	2		
9031	Gallus gallus	395119	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velo-cardio-facial syndrome|armadillo repeat gene deletes in velocardiofacial syndrome		15	NC_006102.4	1060477	1269188	minus	26		
9544	Macaca mulatta	712399	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome|armadillo repeat protein deleted in velo-cardio-facial syndrome		10	NC_027902.1	61699472	61755068	minus	20		
9615	Canis lupus familiaris	486417	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome		26	NC_006608.3	29314219	29359087	plus	19		
9598	Pan troglodytes	458656	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome|armadillo repeat protein		22	NC_006489.3	18396773	18448226	minus	21		
9669	Mustela putorius furo	101692758	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat protein deletes in velocardiofacial syndrome		Un							
9483	Callithrix jacchus	100412657	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome		1	NC_013896.1	184397161	184417800	minus	18		
59729	Taeniopygia guttata	100223801	0	live	ARVCF		armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat gene deletes in velocardiofacial syndrome		15	NC_011479.1	7603714	7736947	plus	19		
7955	Danio rerio	572216	0	live	arvcfa	si:ch211-242f23.2	armadillo repeat gene deleted in velocardiofacial syndrome a			10	NC_007121.6	464958	503839	plus	17		
8496	Alligator mississippiensis	102575159	0	live	ARVCF	Y1Q_007282	armadillo repeat gene deleted in velocardiofacial syndrome	armadillo repeat protein deleted in velo-cardio-facial syndrome homolog|armadillo repeat protein deleted in velocardiofacial syndrome|hypothetical protein		Un							
7955	Danio rerio	564669	0	live	arvcfb	si:ch211-173n20.1, wu:fc11a08	armadillo repeat gene deleted in velocardiofacial syndrome b			5	NC_007116.6	25662975	26085264	minus	27		
9913	Bos taurus	617453	0	live	CLDN5		claudin 5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)		17	AC_000174.1	74749250	74750524	minus	1		
