tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1493	0	live	CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12	cytotoxic T-lymphocyte associated protein 4	CD152 isoform|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated protein 4|cytotoxic T-lymphocyte-associated serine esterase-4|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4	2q33	2	NC_000002.12	203867788	203873960	plus	4	123890	
9606	Homo sapiens	387082	0	live	SUMO4	IDDM5, SMT3H4, SUMO-4, dJ281H8.4	small ubiquitin-like modifier 4	SMT3 suppressor of mif two 3 homolog 2|SMT3 suppressor of mif two 3 homolog 4|insulin-dependent diabetes mellitus 5|small ubiquitin-like modifier 4 protein	6q25	6	NC_000006.12	149400359	149401046	plus	1	608829	
9606	Homo sapiens	3767	0	live	KCNJ11	BIR, HHF2, IKATP, KIR6.2, MODY13, PHHI, TNDM3	potassium voltage-gated channel subfamily J member 11	beta-cell inward rectifier subunit|inward rectifier K(+) channel Kir6.2|inwardly rectifying potassium channel KIR6.2|potassium channel inwardly rectifing subfamily J member 11|potassium channel, inwardly rectifying subfamily J member 11|potassium channel, inwardly rectifying subfamily J, member 11|potassium inwardly-rectifying channel, subfamily J, member 11	11p15.1	11	NC_000011.10	17364824	17389331	minus	4	600937	
9606	Homo sapiens	6833	0	live	ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, SUR1delta2, TNDM2	ATP binding cassette subfamily C member 8	ATP-binding cassette transporter sub-family C member 8|ATP-binding cassette, sub-family C (CFTR/MRP), member 8|sulfonylurea receptor (hyperinsulinemia)|sulfonylurea receptor 1	11p15.1	11	NC_000011.10	17392885	17476845	minus	40	600509	
10090	Mus musculus	109533	0	live	Tanidd1		TallyHo associated non-insulin dependent diabetes mellitus 1		19 48.46 cM	19							
9606	Homo sapiens	6927	0	live	HNF1A	HNF-1A, HNF1, IDDM20, LFB1, MODY3, TCF-1, TCF1	HNF1 homeobox A	HNF-1-alpha|albumin proximal factor|hepatic nuclear factor 1|interferon production regulator factor|liver-specific transcription factor LF-B1|transcription factor 1, hepatic	12q24.2	12	NC_000012.12	120977787	121002512	plus	9	142410	
10090	Mus musculus	109534	0	live	Tanidd2		TallyHo associated non-insulin dependent diabetes mellitus 2		13 59.69 cM	13							
10090	Mus musculus	109535	0	live	Tanidd3		TallyHo associated non-insulin dependent diabetes mellitus 3		16 2.71 cM	16							
9606	Homo sapiens	7952	0	live	TNDM	DMTN, TNDM1	diabetes mellitus, transient neonatal			6							
9606	Homo sapiens	3408	0	live	IDDM9		insulin-dependent diabetes mellitus 9		3q22.3-q25.1	3							
9606	Homo sapiens	8691	0	live	IDDM17		insulin-dependent diabetes mellitus 17		10q25	10						603266	
10116	Rattus norvegicus	326380	0	live	Iddm2	Lyp	Insulin dependent diabetes mellitus QTL 2	lymphopenia associated with insulin-dependent diabetes mellitus	4	4							
9606	Homo sapiens	3407	0	live	IDDM8		insulin-dependent diabetes mellitus 8		6q27	6						600883	
10116	Rattus norvegicus	369171	0	live	Iddm14		Insulin dependent diabetes mellitus QTL 14	Insulin-dependent diabetes mellitus QTL 14	4	4							
9606	Homo sapiens	3403	0	live	IDDM4		insulin-dependent diabetes mellitus 4		11q13	11						600319	
9606	Homo sapiens	3406	0	live	IDDM7		insulin-dependent diabetes mellitus 7		2q31	2						600321	
9606	Homo sapiens	3414	0	live	IDDM15		insulin-dependent diabetes mellitus 15		6q21	6						601666	
9606	Homo sapiens	3405	0	live	IDDM6		insulin-dependent diabetes mellitus 6		18q21	18						601941	
10090	Mus musculus	112358	0	live	Nidd5		non-insulin-dependent diabetes mellitus 5		2 31.66 cM	2							
9606	Homo sapiens	3402	0	live	IDDM3		insulin-dependent diabetes mellitus 3		15q26	15						600318	
9606	Homo sapiens	4813	0	live	NIDDM2		non-insulin-dependent diabetes mellitus (common, type 2) 2		12q24.2	12						601407	
9606	Homo sapiens	3410	0	live	IDDM11		insulin-dependent diabetes mellitus 11		14q24.3-q31	14						601208	
9606	Homo sapiens	3412	0	live	IDDM13		insulin-dependent diabetes mellitus 13		2q34	2						601318	
10116	Rattus norvegicus	326559	0	live	Iddm8	Iddm4	Insulin dependent diabetes mellitus QTL 8		6 1.9 cM	6							
9606	Homo sapiens	57044	0	live	IDDM18		insulin-dependent diabetes mellitus 18		5q31.1-q33.1	5						605598	
9606	Homo sapiens	4812	0	live	NIDDM1		non-insulin-dependent diabetes mellitus (common, type 2) 1		2q	2						601283	
9606	Homo sapiens	3415	0	live	IDDM16		insulin-dependent diabetes mellitus 16		14q32.32-q32.33	14							
9606	Homo sapiens	8245	0	live	IDDMX		Diabetes mellitus, insulin-dependent, X-linked, susceptibility to		Xp11	X						300136	
10090	Mus musculus	100035948	0	live	T2dm2sa		type 2 diabetes mellitus 2 in SMXA RI mice			2							
