tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	26053	0	live	AUTS2	FBRSL2, MRD26	autism susceptibility candidate 2	autism-related protein 1	7q11.22	7	NC_000007.14	69598475	70793068	plus	23	607270	
9606	Homo sapiens	94313	0	live	AUTS5		Autism, susceptibility to, 5		2q	2						606053	
9606	Homo sapiens	554314	0	live	AUTS6		Autism, susceptibility to, 6		17q21	17						609378	
9606	Homo sapiens	282553	0	live	AUTS8	AUTS2	Autism, susceptibility to, 8	Autism, susceptibility to, 2, formerly	3q25-q27	3						607373	
9606	Homo sapiens	100188832	0	live	AUTS1		Autism, susceptibility to, 1		7q22	7						209850	
9606	Homo sapiens	387577	0	live	AUTS3		Autism, susceptibility to, 3		13q14.2-q14.1	13						608049	
10090	Mus musculus	319974	0	live	Auts2	2700063G02Rik, A730011F23Rik, D830032G16Rik	autism susceptibility candidate 2		5 G2	5	NC_000071.6	131437682	132542343	minus	19		
9606	Homo sapiens	100529118	0	live	DELXP22.11	AUTSX4, CXDELp22.11	Autism, X-linked, susceptibility to, 4									300830	
9606	Homo sapiens	100188820	0	live	AUTS11		Autism, susceptibility to, 11		1q24.2	1						610836	
9606	Homo sapiens	100188816	0	live	AUTS7		Autism, susceptibility to, 7		17q21	17						610676	
9606	Homo sapiens	100188317	0	live	AUTS13		autism, susceptibility to, 13		12q14.2	12						610908	
9606	Homo sapiens	100188314	0	live	AUTS12		autism, susceptibility to, 12		21p13-q11	21						610838	
9606	Homo sapiens	100187724	0	live	DEL16P11.2	AUTS14, AUTS14A, C16DELp11.2, C16DUPp11.2, DUP16p11.2	autism, susceptibility to, 14		16p11.2	16						611913	
7955	Danio rerio	368890	0	live	auts2a	auts2, si:ch211-103d22.3, si:zc103d22.3, wu:fj83b10	autism susceptibility candidate 2a	autism susceptibility candidate 2|autism-related		10	NC_007121.6	27220991	27780091	minus	20		
9606	Homo sapiens	205428	0	live	C3orf58	DIA1, GoPro49, HASF	chromosome 3 open reading frame 58	Golgi Protein of 49 kDa|Golgi protein GoPro49|UPF0672 protein C3orf58|deleted in autism 1|hypoxia and AKT-induced stem cell factor|hypoxia and Akt induced stem cell factor	3q24	3	NC_000003.12	143971798	143992368	plus	4	612200	
9598	Pan troglodytes	463457	0	live	AUTS2		autism susceptibility candidate 2			7	NC_006474.3	68129248	69314509	plus	20		
9031	Gallus gallus	417481	0	live	AUTS2		autism susceptibility candidate 2			19	NC_006106.4	1325415	1988311	minus	21		
48699	Poecilia latipinna	106946456	0	live	auts2		autism susceptibility candidate 2			Un							
48701	Poecilia mexicana	106915848	0	live	auts2		autism susceptibility candidate 2			Un							
52670	Austrofundulus limnaeus	106530310	0	live	auts2		autism susceptibility candidate 2			Un							
30608	Microcebus murinus	105871160	0	live	AUTS2		autism susceptibility candidate 2			Un							
9545	Macaca nemestrina	105466343	0	live	AUTS2		autism susceptibility candidate 2			Un							
441894	Struthio camelus australis	104138847	0	live	FBRSL1	N308_04233	fibrosin-like 1	Autism susceptibility 2		Un							
8081	Poecilia reticulata	103476108	0	live	auts2		autism susceptibility candidate 2			LG14	NC_024344.1	18016542	18375007	plus	24		
48698	Poecilia formosa	103142101	0	live	auts2		autism susceptibility candidate 2			Un	NW_006800032.1	1131292	1479098	plus	24		
7918	Lepisosteus oculatus	102697583	0	live	auts2		autism susceptibility candidate 2			LG22	NC_023200.1	5004811	5323879	plus	21		
8153	Haplochromis burtoni	102312196	0	live	auts2		autism susceptibility candidate 2			Un							
303518	Pundamilia nyererei	102202986	0	live	auts2		autism susceptibility candidate 2			Un							
9541	Macaca fascicularis	102129166	0	live	AUTS2		autism susceptibility candidate 2			3	NC_022274.1	52015981	53224396	plus	20		
8090	Oryzias latipes	101174450	0	live	auts2		autism susceptibility candidate 2			14	NC_019872.1	23699871	24058030	plus	23		
8128	Oreochromis niloticus	100698981	0	live	auts2		autism susceptibility candidate 2			LG10	NC_022208.1	3621964	3940085	minus	22		
743375	Polistes dominula	107067271	0	live	LOC107067271		autism susceptibility gene 2 protein-like			Un							
79782	Cimex lectularius	106661434	0	live	LOC106661434		autism susceptibility gene 2 protein-like			Un							
8030	Salmo salar	106603524	0	live	LOC106603524		autism susceptibility gene 2 protein-like			ssa04	NC_027303.1	49690274	50143174	minus	22		
8030	Salmo salar	106585083	0	live	LOC106585083		autism susceptibility gene 2 protein-like			ssa24	NC_027323.1	12079727	12459774	minus	21		
