OMIM Search - '+Velocardiofacial',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#192430,VELOCARDIOFACIAL SYNDROME,,22q11.21,,
#188400,DIGEORGE SYNDROME; DGS,"DIGEORGE SYNDROME CHROMOSOME REGION, INCLUDED; DGCR, INCLUDED;;TAKAO VCF SYNDROME, INCLUDED;;CATCH22, INCLUDED",22q11.21,,
%601362,DIGEORGE SYNDROME/VELOCARDIOFACIAL SYNDROME COMPLEX 2,,10p14-p13,10:6600000-17300000,8026
*605089,MITOCHONDRIAL RIBOSOMAL PROTEIN L40; MRPL40,,22q11.21,22:19432512-19436076,64976
*602101,CLAUDIN 5; CLDN5,,22q11.21,22:19523023-19525336,7122
*602054,T-BOX 1; TBX1,,22q11.21,22:19756702-19783592,6899
+116790,CATECHOL-O-METHYLTRANSFERASE; COMT,"CATECHOL-O-METHYLTRANSFERASE ACTIVITY, LOW, IN RED CELLS, INCLUDED",22q11.21,22:19941739-19969974,1312
#608363,CHROMOSOME 22q11.2 DUPLICATION SYNDROME,,22q11.2,22:17400000-25500000,
#217095,CONOTRUNCAL HEART MALFORMATIONS; CTHM,"TRUNCUS ARTERIOSUS COMMUNIS, INCLUDED;;CONOTRUNCAL ANOMALY FACE SYNDROME, INCLUDED; CAFS, INCLUDED;;DOUBLE-OUTLET RIGHT VENTRICLE, INCLUDED; DORV, INCLUDED;;PERSISTENT TRUNCUS ARTERIOSUS, INCLUDED; PTA, INCLUDED;;INTERRUPTED AORTIC ARCH, INCLUDED","5q35.1, 8p21.2, 18q11.2, 19p13.11, 22q11.21",,
#600850,SCHIZOPHRENIA 4; SCZD4,,22q11.21,,
150360,"LARYNGEAL WEB, FAMILIAL",,,,
#145410,"OPITZ GBBB SYNDROME, TYPE II; GBBB2",,22q11.23,,
#611867,"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",,22q11.2,22:17400000-25500000,
#181500,SCHIZOPHRENIA; SCZD,,"1p36.2, 1p36.22, 1q32.1, 1q42.2, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6p22.3, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 12q24.11, 13q14.2, 13q32, 13q33.2, 14q32.33, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3",,
#214800,CHARGE SYNDROME,,"7q21.11, 8q12.2",,
*601755,DIGEORGE SYNDROME CRITICAL REGION GENE 14; DGCR14,,22q11.21,22:19130278-19144725,8220
*190315,"SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, CITRATE TRANSPORTER), MEMBER 1; SLC25A1",,22q11.21,22:19175574-19178862,6576
#147920,KABUKI SYNDROME 1; KABUK1,,12q13.12,,
#239500,"HYPERPROLINEMIA, TYPE I; HYRPRO1",,22q11.21,,
*138720,"GLYCOPROTEIN Ib, PLATELET, BETA POLYPEPTIDE; GP1BB",,22q11.21,22:19723542-19724773,2812
*601273,"CLATHRIN, HEAVY POLYPEPTIDE-LIKE 1; CLTCL1",,22q11.21,22:19179472-19291724,8218
*601845,GOOSECOID HOMEOBOX 2; GSC2,,22q11.21,22:19148990-19150282,2928
*602724,SEPTIN 5; SEPT5,"PNUTL1/MLL FUSION GENE, INCLUDED",22q11.21,22:19714463-19723321,5413
*602269,ARMADILLO REPEAT GENE DELETED IN VCFS; ARVCF,,22q11.21,22:19966602-20016801,421
