tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	2312	0	live	FLG	ATOD2	filaggrin	epidermal filaggrin	1q21.3	1	NC_000001.11	152302163	152325257	minus	4	135940	
10090	Mus musculus	20331	0	live	seb		seborrheic dermatitis										
9606	Homo sapiens	64069	0	live	ATOD1	ATOD	Dermatitis, atopic		3q21	3						603165	
9606	Homo sapiens	117188	0	live	ATOD5	ATPD5	Dermatitis, atopic, 5		13q12-q14	13						605844	
9606	Homo sapiens	114477	0	live	ATOD6		Dermatitis, atopic, 6		5q31-q33	5						605845	
9606	Homo sapiens	117187	0	live	ATOD3		Dermatitis, atopic, 3		20p	20						605804	
9606	Homo sapiens	23197	0	live	FAF2	ETEA, UBXD8, UBXN3B	Fas associated factor family member 2	UBX domain containing 8|UBX domain protein 3B|UBX domain-containing protein 3B|UBX domain-containing protein 8|expressed in T-cells and eosinophils in atopic dermatitis	5q35.2	5	NC_000005.10	176448306	176510074	plus	11		
10090	Mus musculus	493048	0	live	Derms		dermatitis susceptibility			14							
9606	Homo sapiens	105463126	0	live	ATOD9		Dermatitis, atopic, 9		3p24	3						613519	
9606	Homo sapiens	105463125	0	live	ATOD8		Dermatitis, atopic, 8		4q22.1	4						613518	
9606	Homo sapiens	100310755	0	live	ATOD7		Dermatitis, atopic, susceptibility to, 7		11q13.5	11						613064	
9606	Homo sapiens	56946	0	live	EMSY	C11orf30, GL002	EMSY, BRCA2 interacting transcriptional repressor	EMSY BRCA2-interacting transcriptional repressor|EMSY, BRCA2-interacting transcriptional repressor|protein EMSY	11q13.5	11	NC_000011.10	76444928	76552899	plus	23	608574	
9606	Homo sapiens	3596	0	live	IL13	IL-13, P600	interleukin 13		5q31	5	NC_000005.10	132658173	132661109	plus	4	147683	
10090	Mus musculus	76577	0	live	Faf2	2210404D11Rik, AI462440, Ubxd8, mKIAA0887	Fas associated factor family member 2	UBX domain containing 8|UBX domain-containing protein 8|protein expressed in T-cells and eosinophils in atopic dermatitis	13 B1	13	NC_000079.6	54621775	54664063	plus	13		
10116	Rattus norvegicus	291000	0	live	Faf2	2210404d11rik, RGD1306577, Ubxd8	Fas associated factor family member 2	UBX domain containing 8|UBX domain-containing protein 8|protein expressed in T-cells and eosinophils in atopic dermatitis	17p14	17	NC_005116.4	10485650	10527882	minus	12		
9031	Gallus gallus	416225	0	live	FAF2	UBXD8	Fas associated factor family member 2	UBX domain containing 8|protein expressed in T-cells and eosinophils in atopic dermatitis		13	NC_006100.4	10392760	10406537	minus	11		
8364	Xenopus tropicalis	734096	0	live	faf2	etea, ubxd8, ubxn3b	Fas associated factor family member 2	UBX domain-containing protein 8|expressed in T-cells and eosinophils in atopic dermatitis etea		Un							
9606	Homo sapiens	11127	0	live	KIF3A	FLA10, KLP-20	kinesin family member 3A	kinesin family protein 3A|microtubule plus end-directed kinesin motor 3A	5q31	5	NC_000005.10	132689161	132737633	minus	20	604683	
9606	Homo sapiens	5017	0	live	OVOL1	HOVO1	ovo like zinc finger 1	ovo homolog-like 1|ovo-like 1(Drosophila)|ovo-like zinc finger 1	11q13	11	NC_000011.10	65787034	65797219	plus	7	602313	
9606	Homo sapiens	3107	0	live	HLA-C	D6S204, HLA-JY3, HLAC, HLC-C, PSORS1	major histocompatibility complex, class I, C	HLA class I histocompatibility antigen, C alpha chain|HLA class I histocompatibility antigen, Cw-15 alpha chain|HLA class I histocompatibility antigen, Cw-18 alpha chain|MHC class I antigen Cw*15|MHC class I antigen Cw*18|MHC class I antigen heavy chain HLA-C|human leukocyte antigen-C alpha chain|major histocompatibility antigen HLA-C	6p21.3	6	NC_000006.12	31268749	31272136	minus	8	142840	
10090	Mus musculus	106025	0	live	Sharpin	0610041B22Rik, AW121341, RBCKL1, SIPL1, cpdm	SHANK-associated RH domain interacting protein	mSIPL1|protein kinase C-interacting protein RBCC like 1|shank-associated RH domain-interacting protein|shank-interacting protein-like 1	15 35.75 cM	15	NC_000081.6	76347040	76351115	minus	9		
9606	Homo sapiens	9173	0	live	IL1RL1	DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1	interleukin 1 receptor like 1	growth stimulation-expressed|homolog of mouse growth stimulation-expressed|interleukin 1 receptor-like 1|interleukin 1 receptor-related protein	2q12	2	NC_000002.12	102311502	102352366	plus	13	601203	
9606	Homo sapiens	1591	0	live	CYP24A1	CP24, CYP24, HCAI, P450-CC24	cytochrome P450 family 24 subfamily A member 1	1,25-@dihydroxyvitamin D3 24-hydroxylase|24-OHase|cytochrome P450 24A1|cytochrome P450, family 24, subfamily A, polypeptide 1|cytochrome P450, subfamily XXIV (vitamin D 24-hydroxylase)|cytochrome P450-CC24|exo-mitochondrial protein|vitamin D 24-hydroxylase|vitamin D(3) 24-hydroxylase	20q13	20	NC_000020.11	54153449	54173985	minus	12	126065	
9606	Homo sapiens	10111	0	live	RAD50	NBSLD2, hRad50, RAD50	RAD50 double strand break repair protein	RAD50 homolog, double strand break repair protein	5q31	5	NC_000005.10	132556924	132644621	plus	25	604040	
9606	Homo sapiens	2720	0	live	GLB1	EBP, ELNR1, MPS4B	galactosidase beta 1	acid beta-galactosidase|elastin receptor 1, 67kDa|lactase	3p21.33	3	NC_000003.12	32996608	33097202	minus	17	611458	
9606	Homo sapiens	1959	0	live	EGR2	AT591, CMT1D, CMT4E, KROX20	early growth response 2	KROX-20, Drosophila, homolog (early growth response-2)|early growth response protein 2|zinc finger protein Krox-20	10q21.1	10	NC_000010.11	62811996	62919895	minus	11	129010	
9606	Homo sapiens	4689	0	live	NCF4	NCF, P40PHOX, SH3PXD4	neutrophil cytosolic factor 4	NCF-4|SH3 and PX domain-containing protein 4|neutrophil NADPH oxidase factor 4|neutrophil cytosolic factor 4, 40kDa|p40-phox	22q13.1	22	NC_000022.11	36860988	36878017	plus	12	601488	
9606	Homo sapiens	84433	0	live	CARD11	BENTA, BIMP3, CARMA1, IMD11, PPBL	caspase recruitment domain family member 11	CARD-containing MAGUK protein 1|bcl10-interacting maguk protein 3|carma 1|caspase recruitment domain family, member 11	7p22	7	NC_000007.14	2906075	3043945	minus	26	607210	
9606	Homo sapiens	7148	0	live	TNXB	EDS3, HXBL, TENX, TN-X, TNX1, TNXB2, TNXBS, VUR8, XB, XBS, TNXB	tenascin XB	growth-inhibiting protein 45|hexabrachion-like protein|tenascin XB1|tenascin XB2	6p21.3	6	NC_000006.12	32041155	32109374	minus	44	600985	
9606	Homo sapiens	7919	0	live	DDX39B	BAT1, D6S81E, UAP56	DEAD-box helicase 39B	56 kDa U2AF65-associated protein|ATP-dependent RNA helicase p47|DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B|HLA-B-associated transcript 1 protein|nuclear RNA helicase (DEAD family)|spliceosome RNA helicase BAT1	6p21.3	6	NC_000006.12	31530219	31542475	minus	11	142560	
9606	Homo sapiens	8809	0	live	IL18R1	CD218a, CDw218a, IL-1Rrp, IL18RA, IL1RRP	interleukin 18 receptor 1	CD218 antigen-like family member A|IL-18R-1|IL-18R1|IL1 receptor-related protein|IL18Ralpha2|IL1R-rp|cytokine receptor	2q12	2	NC_000002.12	102356283	102398777	plus	13	604494	
