tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	3662	0	live	IRF4	LSIRF, MUM1, NF-EM5, SHEP8	interferon regulatory factor 4	lymphocyte-specific interferon regulatory factor|multiple myeloma oncogene 1	6p25.3	6	NC_000006.12	391739	411443	plus	10	601900	
9606	Homo sapiens	7468	0	live	WHSC1	MMSET, NSD2, REIIBP, TRX5, WHS	Wolf-Hirschhorn syndrome candidate 1	IL5 promoter REII region-binding protein|multiple myeloma SET domain containing protein type III|nuclear SET domain-containing protein 2|nuclear receptor binding SET domain protein 2|probable histone-lysine N-methyltransferase NSD2|trithorax/ash1-related protein 5	4p16.3	4	NC_000004.12	1871396	1982207	plus	29	602952	
9606	Homo sapiens	595	0	live	CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	11q13	11	NC_000011.10	69641105	69654474	plus	6	168461	
9606	Homo sapiens	26579	0	live	MYEOV	OCIM	myeloma overexpressed	myeloma overexpressed (in a subset of t(11;14) positive multiple myelomas)|myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)|oncogene in multiple myeloma	11q13	11	NC_000011.10	69294138	69297287	plus	3	605625	
10090	Mus musculus	107823	0	live	Whsc1	5830445G22Rik, 9430010A17Rik, AW555663, C130020C13Rik, D030027O06Rik, D930023B08Rik, MMSET, NSD2l, mKIAA1090, Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)	IL5 promoter REII region-binding protein|multiple myeloma SET domain-containing protein|nuclear SET domain-containing protein 2|probable histone-lysine N-methyltransferase NSD2|trithorax/ash1-related protein 5|wolf-Hirschhorn syndrome candidate 1 protein homolog	5 B1	5	NC_000071.6	33820775	33897966	plus	24		
9606	Homo sapiens	8754	0	live	ADAM9	CORD9, MCMP, MDC9, Mltng	ADAM metallopeptidase domain 9	ADAM metallopeptidase domain 9 (meltrin gamma)|cellular disintegrin-related protein|cone rod dystrophy 9|metalloprotease/disintegrin/cysteine-rich protein 9|myeloma cell metalloproteinase	8p11.22	8	NC_000008.11	38996965	39105261	plus	24	602713	
9606	Homo sapiens	150678	0	live	MYEOV2		myeloma overexpressed 2	helicase/primase complex protein	2q37.3	2	NC_000002.12	240126563	240136347	minus	5		
10090	Mus musculus	11502	0	live	Adam9	AU020942, MDC9, Mltng, mKIAA0021	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	a disintegrin and metalloproteinase domain 9 (meltrin gamma)|metalloprotease/disintegrin/cysteine-rich protein 9|myeloma cell metalloproteinase	8 13.7 cM	8	NC_000074.6	24949611	25016933	minus	23		
9606	Homo sapiens	11061	0	live	LECT1	BRICD3, CHM-I, CHM1, MYETS1	leukocyte cell derived chemotaxin 1	BRICHOS domain containing 3|chondromodulin I|chondromodulin-1|chondromodulin-I|multiple myeloma tumor suppressor 1	13q14.3	13	NC_000013.11	52703264	52739812	minus	7	605147	
10090	Mus musculus	66915	0	live	Myeov2	1110002M09Rik	myeloma overexpressed 2		1 D	1	NC_000067.6	92637145	92641985	minus	3		
9606	Homo sapiens	79169	0	live	C1orf35	MMTAG2	chromosome 1 open reading frame 35	multiple myeloma transforming 2	1q42.13	1	NC_000001.11	228100727	228105411	minus	9		
9606	Homo sapiens	58485	0	live	TRAPPC1	BET5, MUM2	trafficking protein particle complex 1	BET5 homolog|MUM-2|melanoma ubiquitous mutated 2|multiple myeloma protein 2	17p13.1	17	NC_000017.11	7930345	7931999	minus	5	610969	
9031	Gallus gallus	770635	0	live	MYEOV2	null	myeloma overexpressed 2			9	NC_006096.4	5217892	5220751	plus	5		
8364	Xenopus tropicalis	448732	0	live	myeov2		myeloma overexpressed 2	myeloma overexpressed gene 2 protein homolog		Un							
10116	Rattus norvegicus	681389	0	live	Myeov2		myeloma overexpressed 2		9q36	9	NC_005108.4	99813332	99818262	minus	3		
8355	Xenopus laevis	100037056	0	live	myeov2		myeloma overexpressed 2										
59729	Taeniopygia guttata	100190547	0	live	MYEOV2		myeloma overexpressed 2	multiple myeloma overexpression gene 2-like|putative multiple myeloma overexpression gene 2 variant 2		9	NC_011473.1	1512876	1514715	minus	3		
10029	Cricetulus griseus	100769752	0	live	Myeov2	I79_005294	myeloma overexpressed 2	Myeloma overexpressed gene 2 protein-like|myeloma-overexpressed gene 2 protein homolog		2	NW_003613726.1	242237	246243	minus	3		
7998	Ictalurus punctatus	100528681	0	live	myov2		myeloma overexpressed gene 2 protein-like protein										
72004	Bos mutus	102267042	0	live	MYEOV2		myeloma overexpressed 2	Myeloma-overexpressed 2 protein|myeloma-overexpressed gene 2 protein homolog		Un							
7955	Danio rerio	393820	0	live	myeov2	zgc:77808	myeloma overexpressed 2			24	NC_007135.6	26139453	26157378	minus	3		
246437	Tupaia chinensis	102470008	0	live	MYEOV2	TREES_T100020681	myeloma overexpressed 2	Myeloma-overexpressed 2 protein like protein|myeloma-overexpressed gene 2 protein homolog		Un							
59463	Myotis lucifugus	102440950	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
9940	Ovis aries	101121062	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		25	NC_019482.2	29622448	29622976	minus	1		
443821	Cerapachys biroi	105274712	0	live	LOC105274712	X777_15077	myeloma-overexpressed gene 2 protein homolog	Myeloma-overexpressed gene 2 protein-like protein		Un							
9615	Canis lupus familiaris	100682558	0	live	MYEOV2		myeloma overexpressed 2			25	NC_006607.3	50299500	50301923	minus	2		
9544	Macaca mulatta	698069	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		12	NC_027904.1	122846868	122852388	minus	3		
9913	Bos taurus	617407	0	live	MYEOV2		myeloma overexpressed 2			3	AC_000160.1	120123114	120127712	minus	3		
9669	Mustela putorius furo	101694166	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
8932	Columba livia	106145746	0	live	MYEOV2	A306_04000	myeloma overexpressed 2	Myeloma overexpressed gene 2 protein		Un							
9545	Macaca nemestrina	105473796	0	live	MYEOV2		myeloma overexpressed 2			Un							
8010	Esox lucius	105022062	0	live	myeov2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		LG21	NC_025988.2	18730083	18733106	minus	3		
482537	Galeopterus variegatus	103602271	0	live	MYEOV2		myeloma overexpressed 2			Un	NW_007730190.1	134303	139500	plus	3		
118797	Lipotes vexillifer	103087159	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006797916.1	1161891	1164586	minus	3		
7994	Astyanax mexicanus	103032467	0	live	myeov2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
310752	Balaenoptera acutorostrata scammoni	103008184	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006727908.1	14203617	14208486	minus	3		
9755	Physeter catodon	102988160	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006713727.1	276846	281633	plus	3		
74533	Panthera tigris altaica	102962155	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
230844	Peromyscus maniculatus bairdii	102924360	0	live	Myeov2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006501460.1	2651103	2656091	plus	3		
9685	Felis catus	102902235	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		C1	NC_018730.2	220890130	220894697	minus	3		
28737	Elephantulus edwardii	102862994	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006399877.1	944835	948410	plus	3		
185453	Chrysochloris asiatica	102823433	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_006408832.1	92259	95976	minus	3		
225400	Myotis davidii	102761302	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
7918	Lepisosteus oculatus	102688471	0	live	myeov2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		LG14	NC_023192.1	13356455	13360545	minus	3		
419612	Camelus ferus	102510643	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
89462	Bubalus bubalis	102414325	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_005785756.1	1216786	1376470	plus	3		
7897	Latimeria chalumnae	102363015	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
59538	Pantholops hodgsonii	102331108	0	live	MYEOV2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un	NW_005812826.1	212136	215168	plus	3		
109478	Myotis brandtii	102245562	0	live	MYEOV2		myeloma overexpressed 2			Un							
8083	Xiphophorus maculatus	102227443	0	live	myeov2		myeloma overexpressed 2	myeloma-overexpressed gene 2 protein homolog		Un							
