OMIM Search - 'psoriasis',,,,,
Downloaded:,"Mar 12, 2016",,,,
"Copyright (c) 1966-2016 Johns Hopkins University OMIM, data are provided for research purposes only.",,,,,
,,,,,
MIM Number,Title,Included Titles,Cytogenetic Location,Genomic Coordinates (From NCBI/GRCh38),Entrez Gene ID
#177900,"PSORIASIS 1, SUSCEPTIBILITY TO; PSORS1",,6p21.33,,
#614204,"PSORIASIS 14, PUSTULAR; PSORS14",,2q14.1,,
%603935,"PSORIASIS 4, SUSCEPTIBILITY TO; PSORS4",,1q21,1:143200000-155100000,10547
*605507,INTERLEUKIN 36 RECEPTOR ANTAGONIST; IL36RN,,2q14.1,2:113058637-113064743,26525
#602723,PSORIASIS 2; PSORS2,,17q25.3,,
*607211,CASPASE RECRUITMENT DOMAIN-CONTAINING PROTEIN 14; CARD14,,17q25.3,17:80169991-80209330,79092
#616106,"PSORIASIS 15, PUSTULAR, SUSCEPTIBILITY TO; PSORS15",,2q36.1,,
#614070,"PSORIASIS 13, SUSCEPTIBILITY TO; PSORS13",,6q21,,
%610707,"PSORIASIS 8, SUSCEPTIBILITY TO; PSORS8",,16q,16:36800000-90338345,140454
%612599,"PSORIASIS 11, SUSCEPTIBILITY TO; PSORS11",,5q31.1-q33.1,5:131200000-153300000,100271719
%605606,"PSORIASIS 7, SUSCEPTIBILITY TO; PSORS7",,1p,,65245
%604316,"PSORIASIS 5, SUSCEPTIBILITY TO; PSORS5",,3q21,3:122200000-129500000,63870
%612410,"PSORIASIS 10, SUSCEPTIBILITY TO; PSORS10",,18p11.23,18:7200000-8500000,503613
%612950,"PSORIASIS 12, SUSCEPTIBILITY TO; PSORS12",,20q13,20:43100000-64444167,
%601454,"PSORIASIS 3, SUSCEPTIBILITY TO; PSORS3",,4q,4:50000000-190214555,7889
%607857,"PSORIASIS 9, SUSCEPTIBILITY TO; PSORS9",,4q31-q34,4:138500000-182300000,359825
%605364,"PSORIASIS 6, SUSCEPTIBILITY TO; PSORS6",,19p13,,63869
309480,MENTAL RETARDATION AND PSORIASIS,,,,
*613526,SPR1 GENE,,,,170680
*613525,SEEK1 GENE,,6p21.33,6:31114830-31140091,170679
*605168,FATTY ACID-BINDING PROTEIN 5; FABP5,,8q21.13,8:81280482-81284776,2171
*602593,CORNEODESMOSIN; CDSN,,6p21.33,6:31115087-31120474,1041
*605310,COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1,,6p21.33,6:31142438-31158237,54535
*605580,INTERLEUKIN 23-ALPHA; IL23A,,12q13.3,12:56334157-56340409,51561
#607507,"PSORIATIC ARTHRITIS, SUSCEPTIBILITY TO","PSORIATIC ARTHRITIS, SUSCEPTIBILITY TO, 1; PSORAS1","6p21.33, 16q12.1",,
*142840,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C; HLA-C",,6p21.33,6:31268748-31272135,3107
*607043,TRAF3-INTERACTING PROTEIN 2; TRAF3IP2,,6q21,6:111555377-111606873,10758
*607562,INTERLEUKIN 23 RECEPTOR; IL23R,,1p31.3,1:67138639-67259978,149233
*123885,S100 CALCIUM-BINDING PROTEIN A8; S100A8,"S100A8/S100A9 COMPLEX, INCLUDED;;CALPROTECTIN, INCLUDED",1q21.3,1:153390031-153422577,6279
*123886,S100 CALCIUM-BINDING PROTEIN A9; S100A9,"S100A9/S100A8 COMPLEX, INCLUDED;;CALPROTECTIN, INCLUDED",1q21.3,1:153357853-153361026,6280
*135940,FILAGGRIN; FLG,"PROFILAGGRIN, INCLUDED",1q21.3,1:152302162-152325256,2312
*605956,NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN PROTEIN 2; NOD2,,16q12.1,16:50693580-50733080,64127
*607130,REGULATORY ASSOCIATED PROTEIN OF MTOR; RPTOR,,17q25.3,17:80544824-80966372,57521
*191160,TUMOR NECROSIS FACTOR; TNF,,6p21.33,6:31575566-31578335,7124
#605803,"DERMATITIS, ATOPIC, 2; ATOD2",,1q21.3,,
*612451,RING FINGER PROTEIN 114; RNF114,,20q13.13,20:49936376-49953884,55905
*615781,"ADAPTOR-RELATED PROTEIN COMPLEX 1, SIGMA-3 SUBUNIT; AP1S3",,2q36.1,2:223755329-223837601,130340
*605384,INTERLEUKIN 21; IL21,,4q27,4:122612627-122621056,59067
